"A.11068" "A.15235" "A.26659" "A.26670" "A.26693" "A.28156" "A.28739" "A.29008" "A.29011" "A.29594" "A.29845" "A.32469" "A.32470" "A.32591" "B.04585" "B.06239" "B.06247" "B.06260" "B.06262" "B.06263" "B.06266" "B.06267" "B.06268" "B.06270" "B.06271" "B.06277" "B.06281" "B.06282" "B.06421" "B.10269" "B.10302" "B.10991" "B.15605" "B.16200" "B.16208" "B.20044" "B.28151" "B.28382" "B.28832" "B.28930" "B.30042" "B.15192" "C.03063" "C.11112" "C.12100" "C.12111" "C.15086" "C.16010" "C.16073" "C.16088" "C.99134" "E.02945" "E.02951" "E.10317" "E.10608" "E.11050" "E.11051" "E.11053" "E.19639" "E.19663" "E.24635" "F.10242" "F.15611" "F.15621" "F.15626" "F.15669" "F.16253" "F.16307" "F.16317" "F.21801" "F.30139" "F.30886" "F.32590" "G.10007" "G.11021" "G.11044" "G.11059" "G.11082" "G.11090" "G.11114" "G.12088" "G.15087" "H.0C046" "H.0C048" "H.0C064" "H.0C072" "H.0C083" "H.0C084" "H.0C085" "H.0C096" "H.0C730" "H.DC005" "H.DC022" "H.DC023" "H.DC027" "H.DC029" "H.DC040" "H.DC092" "H.DC107" "H.DC110" "H.DC112"
"astro" 0.134309275548705 0.083576107692856 0.150705485707268 0.142947265408153 0.211554058818125 0.152227482612634 0.13565315087355 0.104415395905881 0.125374625978385 0.146661234622129 0.137875786005393 0.403115036411583 0.136535761185389 0.143321426296833 0.140440568996756 0.143683388609348 0.129723879990179 0.135282997343554 0.101441392909085 0.106106545771441 0.153564601314333 0.131352183150471 0.179147641046957 0.24217150356699 0.111919590742467 0.121814790944111 0.326252770236074 0.204053897121673 0.122325822555794 0.151567378575301 0.130998836704389 0.144400645080962 0.238988465106956 0.138072092632366 0.130880180180575 0.12936929098388 0.139358347119078 0.261866030113324 0.256385676153156 0.135289748979455 0.120368984283828 0.170050822729495 0.143739821154338 0.134445124474548 0.154663976658225 0.129211519748828 0.144576255775546 0.13942313017611 0.140084550268956 0.13177122419063 0.142695114203187 0.182645947464477 0.177051170650377 0.328365603072666 0.114990466904937 0.165383243458753 0.140662313995036 0.126965985669802 0.154318487253143 0.124534422155445 0.169309692676387 0.166880803373104 0.209022046322847 0.113515673333887 0.107660338607091 0.198245027340925 0.146213735021398 0.246996706748696 0.212599254377741 0.298831980039793 0.327860253091759 0.16858934272434 0.194975287138645 0.146822905363061 0.180283423854051 0.106485933238187 0.260356621590722 0.18409229585485 0.182948780180929 0.157795974356504 0.153326259575025 0.146364154786432 0.233704766450675 0.142777481934172 0.173709884972055 0.123349635462149 0.338059591436845 0.347044018662588 0.160917907846454 0.130798609267909 0.168275129551776 0.115966502418661 0.17044139076576 0.187918952896584 0.216094032603807 0.157065950378696 0.17216308772967 0.27543545414326 0.337798984195342 0.165986141445544 0.211954866781121
"endo" 0.0444822986356166 0.0495267768903526 0.0522800299028796 0.0406279856804557 0.0520201684828002 0.0405638976994971 0.0584552962396307 0.0388957583105054 0 0.0549984420168576 0 0.0702030025608701 0.0582998290317018 0.0535747144825265 0.0552604456247476 0.0387029999266856 0.0339312154490151 0.0721019143510364 0.0420004534958685 0.0491145890400584 0.048567856264587 0.0608840709064508 0.0731049428084699 0.075644775789955 0.0456925069499665 0.047677576556907 0 0.0656577134569858 0.0398276895932739 0.0420851877470529 0.0466207581893969 0.0582515737779734 0.0845515490203586 0.0457256253631583 0.0648472429069944 0.0631562722037987 0.0531162929408989 0.0934292696509604 0.059992826706125 0.0453153067293364 0.0569445240676938 0.0455018877049907 0.0546615866814814 0.0436424586830841 0.0699012580844853 0.0486983391408726 0.0463368040781479 0.0433850901538044 0 0.0423493678447653 0.0503989577978789 0 0.0738625830939679 0.13414477436978 0.0552992375803292 0.046831069313722 0.0462877495848768 0.0532175809054131 0.0581660295858483 0.0453391407817737 0 0.0771965714016665 0.11967271425121 0.040953255073853 0 0.0805314762891159 0 0 0.0878443998677464 0.128275222628343 0.171423504635246 0 0 0 0 0.0360381469190089 0.0896787925193894 0.0673188994936202 0 0.0530404444577907 0.0480405129994155 0 0.0852399571551809 0.0589866626993703 0.0650721705986452 0.0630249470961492 0.111233284535425 0 0.0679135929503288 0 0.0721831139541434 0.0658653819321153 0.0641048607096264 0 0.136318129992181 0.0629950208885783 0.0664581804050275 0.14030310589762 0 0 0.0691826083983157
"microglia" 0.0107568528769007 0.0125334071722495 0.0121773344567281 0 0.0113054311572758 0.00980704265523361 0 0.00960055928211213 0.013992904864007 0.0132140897899102 0.00765582967172487 0.0155912332627593 0.0203582680790508 0 0.0244947664022353 0.00836708161805593 0.00827632847479403 0.0117294467125277 0.01315285906135 0.0131166428886996 0.0129335184239435 0.0208017451661993 0.0284199505822697 0.0183237135483791 0.0116375844537449 0.00876279504617006 0 0.0287531171728674 0.0119847944771686 0 0.0103170504725171 0.0180088242820104 0.0161133415627278 0.0129266126933967 0.0163817096119163 0.02625797560645 0.0188463976743086 0.0291312433265106 0.0145006652885623 0.00719829768158406 0.027076989073253 0.0122273250097928 0.0187503489839135 0.0134931831533582 0.00949387909250024 0.0213886914094703 0.0196817016482362 0.0149230808155787 0.0152161763742132 0.0129824355069808 0.0133856600805388 0.0140292815231314 0.0185857355959209 0.0431466663306337 0.0162074876102008 0.00668392624378861 0.0108053076766171 0.0198691730190029 0.0136203008071641 0.00927188387836175 0.0105248037840924 0.0179065723016153 0 0 0.00907062192229852 0 0.0157589631380614 0 0.0243007957600144 0 0.021910007251551 0.0191893856823268 0.012062125178268 0.0221217816315734 0.0173914909723757 0.0104575404403209 0.0193359536946358 0.0220345756132102 0.0183281697962592 0.0184230484353021 0.0179384421487779 0.0100766261393906 0.0221306005794755 0.014994739508442 0.0199035069942111 0.0149199035830358 0.0207474044972181 0.0325111242022048 0.0145371222182425 0.0239411296689357 0.0187741236655769 0.0186479765041523 0.0149568739579372 0.021727458184573 0.0285674518911588 0.0183749693340526 0.0141225812810223 0.0296360574864429 0.0195962825207188 0.0301529347276421 0.0131969446768099
"neuro" 0.763282222997366 0.76481612250784 0.698296285678468 0.730241683444188 0.664000601339207 0.74145669781941 0.629338885612943 0.768039433821141 0.709239308921801 0.626015871615012 0.628488669902613 0.418069616407136 0.617180870432121 0.64835992169023 0.686697188571351 0.753835386607428 0.785474579399791 0.713270560775746 0.75086499816861 0.686655338949998 0.715141287260055 0.521266992045704 0.587078398590007 0.511146217507027 0.672086121478699 0.749511310160149 0.340856911290959 0.572275700432885 0.63939164971327 0.74932327765835 0.688958236173291 0.641329009766889 0.530283873144236 0.696681571893365 0.686583065665206 0.583723829076361 0.682405151179188 0.401747765359184 0.538776693037249 0.736289700029145 0.712883245385227 0.633357816397317 0.57547247373993 0.634076523648173 0.681054409027012 0.459039263022637 0.499350880002366 0.70051172311619 0.684684592119009 0.653590907468602 0.674597524108926 0.714204658757249 0.406464728223597 0.393251693933079 0.671637532021716 0.69452378300989 0.753200851458118 0.717618972396116 0.728979112603995 0.610701770290882 0.725564966460152 0.614243130382315 0.561369442519491 0.78668864873624 0.744470833152216 0.645672223545834 0.753213861968208 0.559984343391557 0.510310996147273 0.323708265708999 0.237683208985673 0.678093576143206 0.747438864304338 0.711463086622934 0.705392496111791 0.753507289139537 0.52510329342271 0.525852558571395 0.657687503448802 0.617151347226764 0.539496544593688 0.762951697774706 0.396886952090662 0.670030700484699 0.576625651920347 0.586340084989317 0.331093886145533 0.478062052710198 0.577546294187341 0.672126555506983 0.397578317356608 0.62118486496645 0.600639105206149 0.650046045723257 0.357410268701172 0.674819921746606 0.516425334035984 0.24116388591282 0.330459021223408 0.578559123613815 0.617331195905098
"oligo" 0.0471693499414117 0.0895475857367021 0.0865408642546561 0.0861830654672028 0.0611197402025919 0.0559448792132253 0.176552667273876 0.0790488526803605 0.151393160235807 0.159110361956092 0.22597971442027 0.0930211113576509 0.167625271271737 0.154743937530411 0.0931070304049108 0.0554111432384821 0.0425939966862207 0.0676150808171352 0.0925402963650867 0.145006883349802 0.0697927367370819 0.265695008731176 0.132249066972297 0.152713789587648 0.158664196375122 0.0722335272926633 0.332890318472967 0.129259571815589 0.186470043660493 0.0570241560192962 0.123105118460406 0.138009947092164 0.130062771165722 0.106594097417714 0.101307801635308 0.197492632129511 0.106273811086527 0.21382569155002 0.130344138814908 0.0759069465804799 0.0827262571899984 0.138862148158404 0.207375769440337 0.174342710040836 0.0848864771377773 0.341662186678192 0.290054358495703 0.101756975738317 0.160014681237822 0.159306064989022 0.118922743809469 0.0891201122551426 0.324035782436137 0.101091262293842 0.141865275882817 0.0865779779738464 0.0490437772853521 0.0823282880096662 0.0449160697498497 0.210152782893538 0.0946005370793693 0.123772922541299 0.109935796906452 0.0588424228560201 0.138798206318395 0.0755512728241256 0.0848134398723328 0.193018949859747 0.164944553847225 0.249184531622865 0.24112302603577 0.134127695450127 0.0455237233787487 0.119592226382432 0.0969325890617822 0.0935110902629466 0.105525338772543 0.200701670466925 0.14103554657401 0.15358918552364 0.241198240683094 0.080607521299471 0.262037723724007 0.113210415373316 0.164688785514742 0.212365428869349 0.198865833384979 0.142382804425009 0.179085082797633 0.173133705556172 0.343189315471895 0.178335274178621 0.149857769360527 0.140307543195585 0.261610116811681 0.0867441376520673 0.230830816548296 0.313461496559857 0.312145712060531 0.225301800212999 0.0883343842386548
