"A.10315" "A.11068" "A.15235" "A.26659" "A.26670" "A.26693" "A.28156" "A.28739" "A.29008" "A.29011" "A.29594" "A.29845" "A.32469" "A.32470" "A.32591" "B.04585" "B.06239" "B.06247" "B.06260" "B.06262" "B.06263" "B.06266" "B.06267" "B.06268" "B.06270" "B.06271" "B.06277" "B.06281" "B.06282" "B.06421" "B.10269" "B.10302" "B.10991" "B.15605" "B.16200" "B.16208" "B.20044" "B.28151" "B.28382" "B.28832" "B.28930" "B.30042" "B.15192" "C.03063" "C.11112" "C.12100" "C.12111" "C.15086" "C.16010" "C.16073" "C.16088" "C.99134" "E.02945" "E.02951" "E.10317" "E.10608" "E.11050" "E.11051" "E.11053" "E.19639" "E.19663" "E.24635" "F.10242" "F.15611" "F.15621" "F.15626" "F.15669" "F.16253" "F.16307" "F.16317" "F.21801" "F.30139" "F.30886" "F.32590" "G.10007" "G.11021" "G.11044" "G.11059" "G.11082" "G.11090" "G.11114" "G.12088" "G.15087" "H.0C046" "H.0C048" "H.0C064" "H.0C072" "H.0C083" "H.0C084" "H.0C085" "H.0C096" "H.0C730" "H.DC005" "H.DC022" "H.DC023" "H.DC027" "H.DC029" "H.DC040" "H.DC092" "H.DC107" "H.DC110" "H.DC112"
"astro" 0.0291092239348047 0.0248389971656958 0.0120483149677091 0.0237354775206012 0.0227004990648331 0.0372698065497262 0.0286770331862587 0.0162471083075914 0.0178510354321838 0.0163575955620961 0.0202050848645858 0.0159446724684294 0.0628688142608888 0.0182921447203155 0.0185432056115787 0.0341139967684006 0.0389364435765712 0.0341479717171325 0.0225008700546706 0.0159423668857864 0.0143917841220379 0.0251970141051919 0.0128882713732732 0.0245451518109246 0.0283932977521424 0.0146203895811316 0.0213052810691456 0.0243663973111769 0.0305057173098327 0.0165244990534384 0.0284733259558912 0.0185525599810536 0.0205284934384946 0.034288042758582 0.0218146267990013 0.0217577939491097 0.0165962226766256 0.0217359467054465 0.0276255584749708 0.0345047190211736 0.0251030129380027 0.021709091439936 0.0245570146633733 0.017567623454905 0.017488555994019 0.0388021438715467 0.0122459579965876 0.0146698818690177 0.0217959107612453 0.0177677735365675 0.0178293274288838 0.0212800779585007 0.0278440776950243 0.0168787845449631 0.0413470210046799 0.0232130493862031 0.0269783514396774 0.0258793828799414 0.021976431945145 0.0306171234986673 0.0140309169113369 0.0234350040930772 0.0229892579103756 0.0210167593068246 0.0222677996683965 0.0144710187987859 0.0253578263461699 0.0246373410810342 0.021569914823914 0.0257484165963377 0.0199409156768409 0.0605363305079291 0.0229828850687428 0.0325853848047611 0.0229830436428073 0.0294745053501788 0.0173410589667264 0.0355511477731062 0.0204940433329182 0.0244356656050344 0.021266176244915 0.0178733942421014 0.0246906269745492 0.0232064596530494 0.0228437262436378 0.0210958868152726 0.0128778217213142 0.0280164843910655 0.0369019042703515 0.0183797546156126 0.016201815202939 0.0160921658652129 0.0143144499356833 0.0229407650272853 0.018318979222595 0.024686219116973 0.0246090651623283 0.0177516664077067 0.0270760220651127 0.0290338184073577 0.0189058577113571 0.0297814389745575
"oligo" 0.221837971210931 0.313408395674563 0.288472649422044 0.314275944294291 0.24506965284066 0.352259051587631 0.2351029766554 0.225507208570198 0.214969349955887 0.254435609979191 0.228390008399894 0.212684120153138 0.439142582127868 0.221529326743792 0.244586345810306 0 0 0 0.405260133460296 0.237679646243978 0.222191685751223 0.323954916057519 0.180975978606246 0.334191677630936 0.378178988996679 0.189437110852768 0.254644352890115 0.319021810610352 0.285628247679921 0.151682993848064 0.243702369009662 0.235968332653634 0.270869535695161 0.367273689996837 0.232574308092745 0.270070061515943 0.233470682900658 0.233050746974736 0.340252957763591 0.296508482241501 0.261513081299258 0.259171292768325 0.213394702556987 0.200128038774765 0.17856906212104 0 0.130966187103838 0.154492036931594 0.235994972910894 0.223831217634636 0.181601693368169 0.247498451468113 0.35046042005934 0.206688559687033 0.565778271938636 0 0.272134220419282 0.311704951727124 0.275085598930483 0.351763367006918 0.176248010012264 0.34748318964924 0.354924880096714 0.553513543605949 0.194108477839134 0.156078164311447 0.460713142460168 0.258032179005574 0.453511429333723 0.274928911534469 0.474494007811908 0 0.293472293554681 0.394886296834142 0.26893506580364 0.2875371994884 0.184700860700603 0.464496348427091 0.307309718317086 0.26170104987474 0.266557059051891 0.175561318154523 0.235279610801159 0.295977113259946 0.276334799471108 0.329678394939112 0.248259520866395 0.573371794683422 0.512875267415868 0.331834815952207 0.261009701625418 0.199602049212346 0.250485567778219 0.281105534842219 0.486100463985464 0.311592413533305 0.333234152727009 0.26784383437923 0.350031408348528 0.361477466833424 0.283606930630898 0.426904954658663
"microglia" 0.000243188538498233 0.000349524132024434 0.0003863117998065 0.000342557034341269 0 0.000383829569216359 0.000349025383103931 0 0.000309362612622781 0.000356657489875709 0.000333974125455033 0 0.000449438044171352 0.000508999826248824 0 0.00123204348715038 0.000442550225842604 0.000369965733449722 0.000337736045062856 0.000394060379482691 0.0003512695846684 0.000443798037957433 0.000382527726684613 0.000833120092407282 0.000381557367962904 0.000268085020933956 0.000261578222129364 0 0.000914861033960016 0.000290509470539495 0 0.000265397773371749 0.000542902691934929 0.000392281053718402 0.000371008178235931 0.000506850193177726 0.000684897169368597 0.000590186797598754 0.000581856149193011 0 0.00021495893522304 0.00109659972839432 0.000318351206919688 0.000431025945393544 0.000323521720178752 0 0.000374514518004356 0.000368905368717206 0.000465474856052648 0.000377066884562703 0.00031783536799219 0.000376805736174059 0.000387870230734976 0.000306367639266574 0.00130892907187142 0.00052733511458816 0.000169165205529501 0.000383245256132573 0.000712815116226638 0.000520374918848866 0.000176679207924908 0.000254178586421122 0.000423966746516853 0 0 0 0 0.000519076560627235 0 0.000556981445536373 0 0 0.000505344479613905 0.000361124366715419 0.000696341276494269 0.000572108261511172 0.000314547729274367 0.000493770866702565 0.000467396011608889 0.000484608140114854 0.000488516828761239 0.000374701382709777 0.00030629770565395 0.000390505699462803 0.000437336382745694 0.000464006220377685 0.000292757789881676 0.000293724573125815 0.000650308893670683 0.00029901135005024 0.000581996589392772 0.000316956615136871 0.000440614511567217 0.000384370580704417 0.000418039253681117 0.000436933510216012 0.00061458266727656 0.000256456929186774 0.000417925407873914 0.000286169357481005 0.00062673104201084 0.00033629462343489
"endo" 0.521428196068252 0.484603827523843 0.388664951617472 0.362032483806688 0.404416959400921 0.369776518506991 0.506028756534592 0.223745163776541 0.457264399992441 0.274666723320079 0.261190950451402 0.198624851557349 0.175507571963322 0.261580483200699 0.261375203737886 0.492715028346691 0.648212946994156 0.746062362175023 0.3389624891071 0.411356674148023 0.291342353026297 0.407717732489273 0.151289258303876 0.24081086261126 0.175873604738214 0.301815998272716 0.437639688775371 0.0578052433441503 0.261790328137611 0.253164680878507 0.51123957411288 0.314651419533701 0.281551973517324 0.194156199839865 0.366273974398143 0.35968115707294 0.22111747587396 0.347533602595966 0.100103594485179 0.211130072437373 0.413657429218442 0.405453454383975 0.301371195370245 0.217248072727482 0.275786437963167 0.527304907256195 0.121651034519447 0.16378426978404 0.389043030521336 0.295705423273541 0.298855000147999 0.345200513685411 0.325797454794136 0.0943347236379389 0.142971667192301 0.373613059408892 0.355926050306915 0.476746173146984 0.393348554977555 0.469575688390167 0.221720301554812 0.327222568738726 0.22668182710402 0.151512820314963 0.535285874081637 0.35045703743611 0.271437272789206 0.404820116310873 0.145584578403041 0.171913173749316 0.0534411102696083 0 0.283255810686062 0.415995295142979 0.322708252459966 0.344431138500155 0.457554286635407 0.199821700147534 0.17004133245544 0.28861482892637 0.264146533813306 0.191042116780419 0.438066831737497 0.0946282009290794 0.326556601649869 0.210291272627485 0.194857189717117 0 0.118040407119526 0.199187172532204 0.254768129475233 0.0940114585372951 0.244303162868584 0.240415956567169 0.189720071402332 0.0980723627480818 0.349947481127264 0.156604488504397 0.0470144643434061 0 0.184758798278409 0.271302997803624
"neuro" 0.227381420247514 0.176799255503874 0.310427772192968 0.299613537344079 0.327812888693586 0.240310793786436 0.229842208240645 0.534500519345669 0.309605852006865 0.454183413648757 0.489879982158663 0.572746355821084 0.32203159360375 0.498089045508945 0.475495244840229 0.471938931397758 0.312408059203431 0.219419700374395 0.23293877133287 0.33462725234273 0.471722907515774 0.242686539310059 0.65446396398992 0.399619187854472 0.417172551145002 0.493858416272451 0.286149099043238 0.598806548734321 0.421160845838675 0.578337316749451 0.216584730921567 0.43056229005824 0.426507094657086 0.403889786350998 0.378966082531874 0.347984137268829 0.528130721379388 0.397089516926253 0.531436033127066 0.457856726299952 0.299511517609074 0.31256956167937 0.460358736202475 0.564625239097455 0.527832422201595 0.433892948872259 0.734762305862123 0.666684906046631 0.352700610950472 0.462318518670692 0.501396143686956 0.385644151151801 0.295510177220766 0.681791564490798 0.248594110792511 0.602646556090317 0.344792212628597 0.185286246989819 0.30887659903059 0.147523446185399 0.587824092313662 0.301605058932536 0.394980068142373 0.273956876772263 0.248337848410832 0.478993779453658 0.242491758404456 0.311991287041892 0.379334077439322 0.526852516674341 0.452123966241643 0.939463669492071 0.3997836662109 0.156171898851402 0.384677296817093 0.337985048399756 0.340089245967989 0.299637032785567 0.501687509882947 0.424763847453741 0.447541714061126 0.615148469440247 0.301656632781141 0.585797720458463 0.373827536252639 0.438470439397753 0.543712709905293 0.398317996352387 0.331532112300584 0.450299245549926 0.467438357107018 0.689977369770009 0.490456204905946 0.455153372982623 0.305442446135927 0.565212071091424 0.291594718316122 0.55754355377948 0.57546017983508 0.609202545401737 0.512101682337325 0.271674313939721
