"A.10315" "A.11068" "A.15235" "A.26659" "A.26670" "A.26693" "A.28156" "A.28739" "A.29008" "A.29011" "A.29594" "A.29845" "A.32469" "A.32470" "A.32591" "B.04585" "B.06239" "B.06247" "B.06260" "B.06262" "B.06263" "B.06266" "B.06267" "B.06268" "B.06270" "B.06271" "B.06277" "B.06281" "B.06282" "B.06421" "B.10269" "B.10302" "B.10991" "B.15605" "B.16200" "B.16208" "B.20044" "B.28151" "B.28382" "B.28832" "B.28930" "B.30042" "B.15192" "C.03063" "C.11112" "C.12100" "C.12111" "C.15086" "C.16010" "C.16073" "C.16088" "C.99134" "E.02945" "E.02951" "E.10317" "E.10608" "E.11050" "E.11051" "E.11053" "E.19639" "E.19663" "E.24635" "F.10242" "F.15611" "F.15621" "F.15626" "F.15669" "F.16253" "F.16307" "F.16317" "F.21801" "F.30139" "F.30886" "F.32590" "G.10007" "G.11021" "G.11044" "G.11059" "G.11082" "G.11090" "G.11114" "G.12088" "G.15087" "H.0C046" "H.0C048" "H.0C064" "H.0C072" "H.0C083" "H.0C084" "H.0C085" "H.0C096" "H.0C730" "H.DC005" "H.DC022" "H.DC023" "H.DC027" "H.DC029" "H.DC040" "H.DC092" "H.DC107" "H.DC110" "H.DC112"
"astro" 0.375944691605782 0.383031131492443 0.173645956185078 0.404679933127241 0.346121282008626 0.63833666808017 0.398817971954412 0.293587754478554 0.220935326151649 0.262997416874633 0.351920313140085 0.34197250849255 0.904895955145876 0.33486493952396 0.315957029283177 0.475954015340769 0.450591480686232 0.379809610948621 0.485903543517175 0.201394124895993 0.176151825114439 0.439753873098689 0.209881572845837 0.502751894433049 0.609885518280657 0.145354004631769 0.287500565343029 0.571208802320152 0.563079337288558 0.191476682805364 0.389862944302533 0.289460242459979 0.443562467601432 0.577468941380932 0.349224600122329 0.396174584745336 0.261305693667909 0.379875753230608 0.605157777024911 0.601889700837788 0.404465556535423 0.325070823749863 0.37426299979321 0.235044131105976 0.285326985030955 0.494953274119487 0.190452527985599 0.241096597737988 0.351848816373842 0.282236622276019 0.263596588693823 0.313140077636185 0.508754072076489 0.253019840626557 0.895793177347512 0.333707206126492 0.392371929435928 0.439084086296931 0.403985221254306 0.531143121699981 0.17221617211603 0.467617309074776 0.519001084337264 0.594052704505589 0.263186247022949 0.130900952152083 0.557642382636723 0.348113159510441 0.502238355582675 0.475623960560759 0.535682121460664 0.764237249389344 0.478887945558549 0.507193755481132 0.441226204613916 0.491527244642211 0.196663322288132 0.744265682265798 0.441436133604595 0.459667876524619 0.391089858614309 0.277354685907606 0.36163869455529 0.586921431647973 0.463238091734074 0.46563195270548 0.179129866059579 0.709002759252107 0.816124248314016 0.36492139901602 0.301581671617254 0.286516403849133 0.228453733729818 0.461611357694173 0.420438487644364 0.593433400803838 0.480531637755493 0.329083860648505 0.532083741664607 0.607536904215394 0.361327079147753 0.656842981012983
"oligo" 0.0491071459423082 0.0134709516422576 0.174870626187738 0.110283191562577 0.140220279028023 0 0.028602312904933 0.418278096270796 0.138712761199985 0.325676872690162 0.318128161117818 0.42974473030249 0 0.357151526569912 0.335564179147181 0.133353034690519 0.0104298127853633 0 0.0269653502626035 0.200002306230895 0.382633384580808 0.0505201213268592 0.513086617303209 0.163188591574485 0.209442891515992 0.420580667742195 0.126270632245456 0.395031180188392 0.167296501236198 0.423789404604825 0.0263755409037505 0.255967166962362 0.227185880423417 0.143362534182315 0.189741138002205 0.136206937092578 0.370971541033579 0.160530443470338 0.265208758588249 0.172636351395541 0.06887430518922 0.0725234904755257 0.296605035029114 0.444827056112798 0.396058989603567 0.0710951474345084 0.613613243167851 0.501989244143668 0.180175667430316 0.348827558354432 0.353156873252734 0.245188226998954 0.0982773787060387 0.58445707717383 0.0146054476992378 0.262127062442754 0.118870629786047 0 0.0937174282155822 0 0.468506512188084 0.104330096166726 0.205177716383568 0.14892999945358 0.0579573070142667 0.370920737963557 0.0614499966148308 0.133666342350553 0.277926524999843 0.322604920452238 0.380795490214335 0.204671391362081 0.194579868220856 0 0.16957637720772 0.103454239682185 0.194270009979147 0.0622353454511843 0.319574812152474 0.222184201641224 0.290136356853132 0.44762625046356 0.102776432639523 0.334439337845036 0.138234612567012 0.299084982403732 0.483905630581089 0.239047716078884 0.0582540036110779 0.363725937537251 0.331689423446274 0.560189503091495 0.444611668173793 0.228804402977539 0.245045362553515 0.316472102557749 0.083493535369516 0.460031386048184 0.39350466270851 0.356870445852474 0.364748991766849 0.041602068278524
"microglia" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"endo" 0 0 0 0 0 0 0 0 0 3.54635972190676e-05 0 0 0.00217061982514379 0 0 0 0 0 0 0 0 0 0.000516435624774186 0 0 0 0 0.0141426152817354 0 0 0 0 0 0.00405353222874771 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00415631215210132 0.00550169003733588 0 0 0 0 0 0 0 0 0.0236945584522884 0 0 0 0 0.020600883901325 0 0.0549447461540763 0.0303203500731932 0 0.00246130186892333 0 0 0 0 0 0 0 0 0 0 0 0 0 0.014939744549975 0.00838632496687445 0 0 0.00895217094359321 0 0 0.00762393628573 0 0 0 0.0385190668927735 0.00852898796496488 0.00482378420133304 0
"neuro" 0.57494816245191 0.603497916865299 0.651483417627185 0.485036875310182 0.513658438963351 0.36166333191983 0.572579715140654 0.28813414925065 0.640351912648366 0.411290246837986 0.329951525742097 0.228282761204959 0.0929334250289798 0.307983533906127 0.348478791569641 0.390692949968712 0.538978706528405 0.620190389051379 0.487131106220222 0.598603568873112 0.441214790304753 0.509726005574452 0.27651537422618 0.334059513992466 0.180671590203351 0.434065327626036 0.586228802411515 0.0196174022097212 0.269624161475244 0.384733912589811 0.583761514793717 0.454572590577659 0.329251651975151 0.275114992208005 0.461034261875465 0.467618478162086 0.367722765298512 0.459593803299054 0.12963346438684 0.225473947766671 0.526660138275357 0.602405685774611 0.329131965177676 0.320128812781226 0.318614025365479 0.433951578446004 0.19593422884655 0.256914158118343 0.467975516195841 0.368935819369549 0.383246538053443 0.44167169536486 0.392968549217473 0.158366770047512 0.0840996849159139 0.404165731430754 0.488757440778026 0.560915913703069 0.502297350530111 0.468856878300019 0.359277315695886 0.428052594758498 0.275821199279167 0.233322737588543 0.678856445962784 0.49817830988436 0.380907620748446 0.518220498139006 0.199234235516157 0.201771118987003 0.0285776421709243 0.000771009175381339 0.326532186220596 0.490344942649945 0.389197418178365 0.405018515675604 0.609066667732722 0.193498972283017 0.238989054242931 0.318147921834156 0.318773784532559 0.275019063628834 0.535584872805188 0.0786392305069904 0.398527295698914 0.235283064890788 0.336964503359331 0.0370097801190333 0.117235423108032 0.271352663446729 0.366728904936472 0.144341922115779 0.326934598096389 0.309584239328287 0.326892213516392 0.0900944966384131 0.435974826874991 0.210884753303311 0.0358925287341095 0.027063661967167 0.269100144884065 0.301554950708494
