"A.10315" "A.11068" "A.15235" "A.26659" "A.26670" "A.26693" "A.28156" "A.28739" "A.29008" "A.29011" "A.29594" "A.29845" "A.32469" "A.32470" "A.32591" "B.04585" "B.06239" "B.06247" "B.06260" "B.06262" "B.06263" "B.06266" "B.06267" "B.06268" "B.06270" "B.06271" "B.06277" "B.06281" "B.06282" "B.06421" "B.10269" "B.10302" "B.10991" "B.15605" "B.16200" "B.16208" "B.20044" "B.28151" "B.28382" "B.28832" "B.28930" "B.30042" "B.15192" "C.03063" "C.11112" "C.12100" "C.12111" "C.15086" "C.16010" "C.16073" "C.16088" "C.99134" "E.02945" "E.02951" "E.10317" "E.10608" "E.11050" "E.11051" "E.11053" "E.19639" "E.19663" "E.24635" "F.10242" "F.15611" "F.15621" "F.15626" "F.15669" "F.16253" "F.16307" "F.16317" "F.21801" "F.30139" "F.30886" "F.32590" "G.10007" "G.11021" "G.11044" "G.11059" "G.11082" "G.11090" "G.11114" "G.12088" "G.15087" "H.0C046" "H.0C048" "H.0C064" "H.0C072" "H.0C083" "H.0C084" "H.0C085" "H.0C096" "H.0C730" "H.DC005" "H.DC022" "H.DC023" "H.DC027" "H.DC029" "H.DC040" "H.DC092" "H.DC107" "H.DC110" "H.DC112"
"astro" 0.352796523477384 0.432058648706017 0.106075855820706 0.40390142031041 0.396530980940057 0.594193144170947 0.431670765667959 0.2126091031757 0.24010976802991 0.22267757653206 0.365421414650518 0.282572938510826 0.854349132627779 0.369058793470188 0.344414237190472 0.372361415891108 0.454193565942759 0.418148250177777 0.330110202687504 0.186394386831788 0.211364045944898 0.496451831451783 0.121938625104858 0.435888059296131 0.539601876919293 0.20082932232701 0.330830159314413 0.102063007920743 0.504917797260784 0.285573160158005 0.529109331347695 0.281271759217887 0.35182040387473 0.510797114270005 0.374421076964877 0.425092810190031 0.337150545077888 0.221749508211794 0.372237780150778 0.337219805781818 0.349273125264761 0.275938745623792 0.420297512968777 0.351069972587365 0.344822015230901 0.446870124304826 0.191735988787488 0.311412971142495 0.438223778475924 0.380599341884305 0.357604488785278 0.433656360429853 0.494715621225328 0.144423996996893 0.761693464779429 0.319551632653413 0.363036075111825 0.439881363364963 0.358589282926178 0.518411089542471 0.20288723224688 0.427221332681307 0.312762204216597 0.340880796581412 0.291846284781065 0.136656574748357 0.336215245666132 0.428271060220903 0.509724077511884 0.10755232838668 0.0269700247365402 0.481609254431172 0.394266133106392 0.517401950213418 0.454359203189845 0.50035399558901 0.276119600269485 0.668858105841416 0.408406056378656 0.446706864417611 0.433211918061365 0.351821312797581 0.43252689124056 0.48279043819582 0.434508826663976 0.399359380494186 0.165222643310171 0.560491752420909 0.652360584845093 0.28342589205036 0.210828308639338 0.207370849132921 0.246054776537937 0.452158311720219 0.381937090686679 0.576305414642442 0.436291058748821 0.361863508681359 0.140978729388856 0.537165174225509 0.366508970068911 0.570315965762033
"oligo" 0.0806397622310048 0 0.109605384422873 0.0500389040244605 0.0846253158193164 0 0.00334455117572652 0.326328351558164 0.0904484194526628 0.216918061790141 0.198527396505221 0.310316721434428 0 0.219610428340621 0.19778791039825 0.127052754360534 0.00100594351605329 0 0.0480209887714336 0.115876791615317 0.196776032907986 0.00319427364413084 0.552136672070009 0.135087788135496 0.155123652121971 0.304128676172344 0.0599802170400437 0.532095510069038 0.101990855818917 0.274332560728999 0 0.206597406129649 0.158556617371952 0.169815452410434 0.0911157535126289 0.0845756067865936 0.291318043629006 0.237308243035083 0.338802940953361 0.355460646617631 0.050533108236542 0.0904926474770906 0.177815576579857 0.298186941581664 0.235259249638125 0.0789806932868562 0.589238104864502 0.445290487052262 0.0701057045037939 0.180409069967294 0.204967811087331 0.108012878257651 0.0371332585603692 0.584881025377498 0 0.179995392504946 0.157329717784771 0 0.0800596461130676 0 0.359909896578721 0.0565316312333708 0.265213126399409 0.205455551165559 0.0393479383904289 0.282827830332788 0.198448042988665 0.0576171055540975 0.183955888477439 0.509978757523187 0.544756263270111 0.271673758637407 0.144651801724857 0 0.0911100441210873 0.0323911746367805 0.0895615652069223 0.0442436088540671 0.259645427287239 0.120724591624306 0.157906716979888 0.366129695964884 0.0283820205751102 0.276913225358793 0.0881761859568738 0.219091381668293 0.399483645450889 0.223121955769408 0.108364378261343 0.289939515580514 0.258208999867397 0.583429746162528 0.277282405983754 0.13706316950546 0.164076545408045 0.256601953020349 0.0602397437134471 0.327118621959838 0.528229592766958 0.296435039002775 0.315512142402972 0.0131143296705586
"microglia" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00232734616419423 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"endo" 0.132459387918355 0.0781736055666696 0.16020221170126 0.104889677168034 0.110056457354349 0.0939541180913108 0.0939217914182196 0.200650998318503 0.112922213218384 0.173086181190609 0.10724213409503 0.136371653100342 0.0649448750442209 0.0841713877268882 0.119447332289743 0.135213375847503 0.0733308759831846 0.0576500665327801 0.15916373854262 0.141294942755441 0.117238345054463 0.0708925904216862 0.24711513530062 0.158126035794635 0.165740981471285 0.130900238464552 0.0897779185722096 0.365841482010219 0.135809955407903 0.0764392907043417 0.0351425524810584 0.155003553274703 0.12988014169115 0.192753133378743 0.0810465293236242 0.0704003080993382 0.0637071907794654 0.242592863644702 0.288959278895862 0.29314791432309 0.115715252377052 0.157646103235325 0.110719325473221 0.0700690650917094 0.0778187394766229 0.126496711684325 0.120099395465734 0.078520528328044 0.0549049766186194 0.0655925027161317 0.0574275479369419 0.0573478656698393 0.0901831808347329 0.27069497762561 0.15830327202529 0.0767486939658232 0.175431602012431 0.0845558056684189 0.095940334590792 0.0665487426090206 0.14927054273471 0.126767562895587 0.217345106743695 0.324632537754392 0.108432776709047 0.159341532529218 0.266177696020842 0.0742152438761533 0.183161873729113 0.382468914090132 0.428273711993349 0.246716986931421 0.131175147992927 0.0907547769878898 0.058700371408632 0.0923228964071647 0.0683431730622759 0.106880315018423 0.151199560443782 0.109266336117512 0.0741770702693661 0.0600212846371319 0.0638031133126259 0.176085437542817 0.0748206721641528 0.154453287423159 0.177880230316254 0.216386291809683 0.173891969025618 0.181708440291837 0.133806816170307 0.209199404704551 0.0954580299464751 0.0993543822174291 0.160838756101964 0.104866604829627 0.0982008993388351 0.142311684063821 0.330791677844185 0.166399786771716 0.115503813932052 0.0964849129707946
"neuro" 0.434104326373256 0.489767745727313 0.624116548055161 0.441169998497096 0.408787245886278 0.311852737737742 0.471062891738095 0.260411546947633 0.556519599299043 0.38731818048719 0.328809054749231 0.270738686954404 0.0807059923279996 0.327159390462303 0.338350520121535 0.365372453900855 0.471469614558003 0.524201683289443 0.462705069998443 0.556433878797454 0.474621576092653 0.4294613044824 0.0788095675245133 0.270898116773738 0.139533489487451 0.364141763036095 0.519411705073333 0 0.257281391512396 0.363654988408654 0.435748116171247 0.357127281377761 0.359742837062168 0.126634299940818 0.45341664019887 0.419931274924038 0.307824220513641 0.298349385108421 0 0.0141716332774617 0.484478514121646 0.473595157499598 0.291167584978145 0.280674020739261 0.342099995654351 0.347652470723993 0.0989265108822768 0.164776013477199 0.436765540401663 0.373399085432269 0.380000152190449 0.400982895642657 0.37796793937957 0 0.0800032631952814 0.423704280875818 0.304202605090973 0.475562830966618 0.465410736369962 0.415040167848509 0.287932328439689 0.389479473189736 0.2046795626403 0.129031114498636 0.560373000119459 0.421174062389637 0.199159015324361 0.439896590348846 0.123158160281565 0 0 0 0.329906917175824 0.391843272798693 0.395830381280436 0.374931933367045 0.565975661461317 0.180017970286093 0.180748955890323 0.323302207840571 0.334704294689381 0.222027706600404 0.475287974871704 0.0642108989025708 0.402494315214997 0.227095950414361 0.257413480922686 0 0.0653830678679467 0.244926152077288 0.397155875322958 0 0.381204787531835 0.311424136556892 0.293147607803312 0.0622260275075823 0.405268298198897 0.168706185294982 0 0 0.202475073596065 0.320084791596614
