"A.10315" "A.11068" "A.15235" "A.26659" "A.26670" "A.26693" "A.28156" "A.28739" "A.29008" "A.29011" "A.29594" "A.29845" "A.32469" "A.32470" "A.32591" "B.04585" "B.06239" "B.06247" "B.06260" "B.06262" "B.06263" "B.06266" "B.06267" "B.06268" "B.06270" "B.06271" "B.06277" "B.06281" "B.06282" "B.06421" "B.10269" "B.10302" "B.10991" "B.15605" "B.16200" "B.16208" "B.20044" "B.28151" "B.28382" "B.28832" "B.28930" "B.30042" "B.15192" "C.03063" "C.11112" "C.12100" "C.12111" "C.15086" "C.16010" "C.16073" "C.16088" "C.99134" "E.02945" "E.02951" "E.10317" "E.10608" "E.11050" "E.11051" "E.11053" "E.19639" "E.19663" "E.24635" "F.10242" "F.15611" "F.15621" "F.15626" "F.15669" "F.16253" "F.16307" "F.16317" "F.21801" "F.30139" "F.30886" "F.32590" "G.10007" "G.11021" "G.11044" "G.11059" "G.11082" "G.11090" "G.11114" "G.12088" "G.15087" "H.0C046" "H.0C048" "H.0C064" "H.0C072" "H.0C083" "H.0C084" "H.0C085" "H.0C096" "H.0C730" "H.DC005" "H.DC022" "H.DC023" "H.DC027" "H.DC029" "H.DC040" "H.DC092" "H.DC107" "H.DC110" "H.DC112"
"oligodendrocytes" 0.130829442450626 0.125109401039433 0.0896783869240656 0.136473382981994 0.13040508391554 0.173357400432284 0.138085833389743 0.127595313224371 0.106163922992703 0.115653104688503 0.134985544293942 0.123972239595557 0.284049759653566 0.128322925310696 0.131773457759712 0.128825947408069 0.131627384676044 0.124001679945451 0.126349189999899 0.102985782640287 0.106665339584387 0.138393449649613 0.127809768447114 0.155734543623932 0.193759028097915 0.111278172578063 0.117863304279171 0.234091161885388 0.168623981490082 0.118960259110427 0.137505761456297 0.123369198283956 0.131917533288533 0.189532185984081 0.127953862379577 0.122005355509224 0.122438329656288 0.129127662342495 0.208421443118163 0.197600394886261 0.12544233587017 0.115761558425242 0.148667981629752 0.134451915166579 0.127036805090075 0.139533668560917 0.12813112118014 0.137426838795463 0.129550522379103 0.126308984315928 0.124782975032059 0.132054519959344 0.150731104784906 0.159578690964398 0.248742652463331 0.11189017768828 0.145065848969491 0.129729586324392 0.120106649156759 0.138258634064801 0.120847452700801 0.142551773853016 0.145995567526598 0.170785829143921 0.111541787821859 0.105294090217386 0.163778729462604 0.129234002116968 0.181677951701258 0.174092002328218 0.232491006094191 0.260494408441103 0.140669764468448 0.158779057885441 0.12738740513294 0.150277623781115 0.10707245942955 0.204632134029535 0.159589571115154 0.15107441857257 0.142169000243842 0.141086621562806 0.130232327569703 0.196320461770178 0.129604744849066 0.151256084760012 0.119360898972081 0.255745991220951 0.236014380328473 0.145918975075531 0.118735006890453 0.156663490476084 0.114278185161544 0.149757298180828 0.150528510994083 0.187862108949502 0.140353544330072 0.152711327874962 0.231660410765646 0.24095757634949 0.13805144296937 0.173307149314625
"astrocytes" 0.0283479573739976 0.031715971456488 0.0337609978082636 0.0350178687727919 0.0297631293698695 0.0354780440069655 0.0298649677364848 0.0379616209390434 0.0290040921757735 0.0355886358142572 0.0365617460606102 0.0380018751854271 0.0456998380639358 0.0378044250802759 0.0355399786322776 0.0363237025397066 0.0292298044246532 0.0269728369130844 0.0432475786845236 0.0306400308551447 0.0337448607443801 0.03344753296526 0.0405700477976136 0.0441876479375694 0.0462371450492181 0.0323030789847706 0.0327536324574108 0.0594889535961384 0.041420899237216 0.0302150459323346 0.0302063895390043 0.0326578255806943 0.0379133602383397 0.0489396761470978 0.0322035443665782 0.0401497843407661 0.0403511573621513 0.0356685680759175 0.0546966401184705 0.0397125511264926 0.0319535625418564 0.0376140486804274 0.0324054497172719 0.0369760533718043 0.0316847880184737 0.0425966668032072 0.0358414050934649 0.0346494730813277 0.0311524303955365 0.0330844002699247 0.0310067988264728 0.0342842833547159 0.0353584542663362 0.047455576384082 0.070320937551436 0.0369082850312489 0.0329109698208001 0.032455386623579 0.0352594795628315 0.0379385224354078 0.0327760335823907 0.0354946371351785 0.0454135405590393 0.0630168946276464 0.0300771215431849 0.0277313159725108 0.0466604464548008 0.0305125915205032 0.053276655915408 0.0503972600407045 0.0701568212798308 0.0903019387719187 0.0378673749340803 0.0364047865890323 0.0376145342323516 0.0327534880830468 0.0278994220619156 0.0517182962956305 0.0432466038950462 0.0350960340635946 0.0362073677588964 0.0347201483956696 0.0293965694858834 0.0515015738407261 0.0379176196799953 0.0417551049176035 0.0402547238225811 0.0640220233875144 0.059690697449872 0.0432172658199453 0.038414401443288 0.0466654787160272 0.0410214497217132 0.0403439007100357 0.048955873251569 0.0716634763991277 0.039366831910923 0.0424479016545962 0.0778466664378337 0.0560221911622482 0.0500637079424912 0.042364666750995
"OPC" 0.00845443058634261 0.0106979265267573 0.0116679683494803 0.0115787104127168 0.00957272984649198 0.0113346052271165 0.010123046200041 0.00874934661740569 0.00994270286932565 0.0121113846501611 0.0119650410516838 0.0091506460442241 0.0142803309261824 0.0155131203846627 0.00968772211579467 0.0176005845141375 0.00930939294321793 0.00935928638583593 0.0115328755774713 0.0118715933054466 0.0120412871369139 0.0117999576216301 0.0164249835791038 0.0194990279874937 0.0150079466360275 0.0111563767062597 0.00964579570085279 0.0120721938298638 0.0195172392236569 0.0114922864816727 0.0087521012473534 0.010472013030882 0.0145510783176369 0.0138193187900458 0.011791371515565 0.0138378137370791 0.0185341646934114 0.0148228180056829 0.0204368771111016 0.0131089465784137 0.00888843991281642 0.0185190930808212 0.0116139307410136 0.014655708400243 0.0121269679194145 0.0106309244077639 0.0167478744618645 0.0157892259929864 0.0128030662602766 0.0126269030047558 0.0119279551611953 0.0120097913165102 0.0121259773475649 0.0159873720197697 0.027246175294021 0.0135196977724923 0.00852246271107248 0.0107944941832452 0.0153894189183368 0.0123735461533868 0.0101883273158137 0.0105118971977193 0.0146514117742921 0.0123208565644337 0.00974745292135069 0.00988477085998254 0.0110633396216104 0.0128143201171996 0.00978451924104407 0.0176918776260998 0.0147605189895914 0.0196947111685346 0.0144189897056261 0.0112141839790812 0.0158532709952159 0.0135205128230487 0.0104144253822508 0.0155973476323644 0.0167005327940625 0.0142617008279289 0.0146990027154443 0.0146897436523 0.010067837133019 0.0173060806090687 0.0128798117414431 0.0153524903696123 0.0131619190609377 0.0175111021176637 0.0204285264570132 0.0129917986103059 0.0164216043518812 0.0158889224963835 0.0146180126928938 0.012988042825489 0.0156882908523574 0.0206560134003585 0.0146186863614735 0.0128383029981043 0.0224017368880049 0.0160018192999808 0.0193993929084302 0.012195638278853
"microglia" 0.706591936589835 0.710365684367817 0.710775470602006 0.665846227067876 0.681441152604206 0.637158115401433 0.691715417157406 0.623314743877441 0.71356364375529 0.650354198180716 0.622306033260761 0.606726497480198 0.478450839736743 0.619302283215684 0.633509897057953 0.661680914256286 0.700011231463345 0.722437913471685 0.673612837079871 0.701760871071841 0.664575488883064 0.675918449466303 0.563897942595993 0.594376762248476 0.542282114789825 0.654152627875802 0.701063546999126 0.40494068464761 0.584114701063288 0.6351514394602 0.694169978170463 0.663780331353201 0.632926874521349 0.557806931102134 0.665675038924569 0.663984378627931 0.602390275068863 0.653964688240612 0.475600061602634 0.556965165400568 0.68922090606268 0.677834361996741 0.623632177210652 0.594427055158416 0.628555243283226 0.653270049739594 0.530150745396186 0.550952372008788 0.668057983188896 0.638271817428344 0.640986157910956 0.652322035455881 0.652603321354634 0.482702386958096 0.463188003670378 0.657397180797274 0.659474542125825 0.701657227964966 0.682822847732401 0.691188517343585 0.614181111824227 0.65671513034318 0.61297876052513 0.576756646584672 0.718094622025672 0.678328471274555 0.622210753776576 0.683034325981413 0.5369665288156 0.53784700842767 0.419402387434239 0.363818736097788 0.629999006001778 0.668976912025396 0.653456785049657 0.646585017044906 0.70414311400019 0.552756721114667 0.557601521253853 0.615505299699596 0.616912134323475 0.572207555963211 0.689576224117017 0.474747676444992 0.655085462920089 0.589761151064391 0.602772153497942 0.42379527845095 0.489392422455263 0.595564694916143 0.63230846386629 0.483202879623213 0.62580583397756 0.605266224268088 0.602656049641506 0.454411150948324 0.649817434652234 0.553987094253806 0.362756436044765 0.397546461715728 0.568474282916301 0.611616568745462
"neurons" 0.0480824658168514 0.0483623760274118 0.0735530886157714 0.0731274057198718 0.0718703066008588 0.0573098737178212 0.0538906646183494 0.120093634003161 0.0684047271089075 0.103634316118818 0.111724889737798 0.138871739042296 0.0805290370405178 0.116953347322014 0.108784708260002 0.0773668916814129 0.0536423992785109 0.0449300428598381 0.0624505078197131 0.0762320073409886 0.104202998532864 0.0624879441663703 0.164318701926938 0.0984426133133702 0.110219286846309 0.111630389692671 0.0643093303529016 0.186580352351252 0.0966687025326776 0.125927264422096 0.0544408278010398 0.0931513704628979 0.101239912678865 0.09787479275026 0.084259826289743 0.0821451853155755 0.132407387254592 0.0830679109191572 0.142801155243006 0.0971985517107663 0.0661698431354545 0.0697901013986939 0.100812898983773 0.136151673053821 0.119597077541768 0.0720354282537863 0.19952367390296 0.175554134749755 0.0815860614568364 0.109308716605405 0.112227601254019 0.0910245875010207 0.0713930947211421 0.193618810012809 0.0855696457166517 0.102941236629192 0.072561342044722 0.0490158393414849 0.0706408359397112 0.0470755913909571 0.136821769506814 0.0742188252878654 0.0942832519123597 0.0868583837278511 0.0552239136034585 0.0989644201924317 0.0659815645516446 0.0691002513824471 0.121884523370959 0.114801079729391 0.162723577654294 0.169665141564146 0.0944435844013883 0.0459940361701261 0.0887524189410976 0.0760450128542359 0.0766949387818719 0.0867425874901103 0.133936593895752 0.0982760847790251 0.109521600054396 0.152532425346826 0.0674212035036972 0.166137034249352 0.0876966132294186 0.115783003089002 0.138179479205606 0.139817565280898 0.0988949140796427 0.123920117825781 0.113589965521462 0.202096840546738 0.122083697522544 0.107418554194182 0.0973226855868442 0.169492353687579 0.0728252060980911 0.147618909124078 0.201498209361202 0.179512614466252 0.137652007764975 0.0736898332863989
"endothelial" 0.0776937671823475 0.0737486405820935 0.0805640877004132 0.0779564050447499 0.0769475976630337 0.0853619612143792 0.0763200708979755 0.0822853413385771 0.0729209110980008 0.0826583605475442 0.082456745595205 0.0832770026522979 0.0969901945790544 0.082103898686668 0.0807042361742604 0.0782019596003885 0.0761797872142293 0.0722982404241059 0.0828070108385217 0.0765097147862923 0.078770025118391 0.0779526661308239 0.0869785556532378 0.0877594048891591 0.0924944785807046 0.0794793541624342 0.0743643902105377 0.102826653689748 0.0896544764530794 0.0782537045932701 0.0749249417858428 0.076569261288368 0.0814512409552758 0.0920270952263822 0.0781163565239674 0.0778774824694247 0.0838786859646936 0.083348352416135 0.0980438228066245 0.0954143902974985 0.0783249124770226 0.0804808364180747 0.082867561717537 0.0833375948491361 0.0809991181470427 0.0819332622347315 0.0896051799653836 0.0856279553716801 0.0768499363193519 0.0803991783756422 0.0790685118152979 0.0783047824125284 0.0777880475254172 0.100657163660845 0.104932585304183 0.0773434220815129 0.0814648343280888 0.0763474655623323 0.075780768689961 0.0731651886118622 0.0851853050699536 0.0805077361830413 0.0866774677025813 0.090261389351476 0.0753151020844745 0.0797969314831332 0.0903051661327639 0.0753045088814689 0.0964098209557312 0.105170771847916 0.100465688547853 0.0960250639565092 0.082601280488679 0.0786310233509234 0.0769355856487373 0.0808183454136479 0.0737756403442209 0.0885529134376934 0.0889251770461326 0.0857864620572855 0.0804908949039471 0.0847635050791875 0.0733058381906798 0.093987173085684 0.0768157475799887 0.0860921657993786 0.0862708254408526 0.0991080395420233 0.095579059229736 0.078387147752294 0.0805305579266254 0.095482388141554 0.0821928209237452 0.0842259798213765 0.0848485896736397 0.0959148966151085 0.0830182966472064 0.0903964640944532 0.103836540502548 0.1099593370063 0.0863591654984326 0.0868261436236659
