"A.10315" "A.11068" "A.15235" "A.26659" "A.26670" "A.26693" "A.28156" "A.28739" "A.29008" "A.29011" "A.29594" "A.29845" "A.32469" "A.32470" "A.32591" "B.04585" "B.06239" "B.06247" "B.06260" "B.06262" "B.06263" "B.06266" "B.06267" "B.06268" "B.06270" "B.06271" "B.06277" "B.06281" "B.06282" "B.06421" "B.10269" "B.10302" "B.10991" "B.15605" "B.16200" "B.16208" "B.20044" "B.28151" "B.28382" "B.28832" "B.28930" "B.30042" "B.15192" "C.03063" "C.11112" "C.12100" "C.12111" "C.15086" "C.16010" "C.16073" "C.16088" "C.99134" "E.02945" "E.02951" "E.10317" "E.10608" "E.11050" "E.11051" "E.11053" "E.19639" "E.19663" "E.24635" "F.10242" "F.15611" "F.15621" "F.15626" "F.15669" "F.16253" "F.16307" "F.16317" "F.21801" "F.30139" "F.30886" "F.32590" "G.10007" "G.11021" "G.11044" "G.11059" "G.11082" "G.11090" "G.11114" "G.12088" "G.15087" "H.0C046" "H.0C048" "H.0C064" "H.0C072" "H.0C083" "H.0C084" "H.0C085" "H.0C096" "H.0C730" "H.DC005" "H.DC022" "H.DC023" "H.DC027" "H.DC029" "H.DC040" "H.DC092" "H.DC107" "H.DC110" "H.DC112"
"oligodendrocytes" 0 0 0 0 0 0 0 0.0128198459397272 0 0 0 0.0432352041549527 0 0 0 0 0 0 0 0 0 0 0.105092420980337 0 0 0.0107222617673822 0 0.0586994882758847 0 0.00575365173044135 0 0 0 0 0 0 0.0495908808751535 0 0.031084277528043 0 0 0 0 0.0530256859127312 0 0 0.167517328179177 0.117899534265513 0 0 0 0 0 0.130441714454177 0 0 0 0 0 0 0.0555873146041733 0 0 0 0 0 0 0 0 0.0266090225376804 0.0471307378942823 0.00190086591711285 0 0 0 0 0 0 0.0301131883900962 0 0 0.0674049155020172 0 0.0607678882883322 0 0 0.0739605578028614 0 0 0 0.0141447991328237 0.155038076334647 0.0299904168165465 0 0 0.0912274011408701 0 0.0687421740701015 0.0687274644893786 0.0830478745458749 0.0443681920591905 0
"astrocytes" 0 0.12661915995809 0 0 0 0.388003908869445 0.135462746151362 0 0 0 0 0 0.616397204463791 0 0 0 0.152823160684524 0.135276013965738 0 0 0 0.197833757665258 0 0 0 0 0 0 0 0 0.271927203817259 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0297883101087972 0 0 0 0.0429126656419454 0 0.18103110475863 0 0 0.102817237653743 0 0.163760349518728 0 0 0 0 0 0 0 0.00544149193321035 0 0 0 0 0 0.229118154642868 0 0.0540257136919565 0 0.0206664681249386 0 0 0 0 0.143901144781581 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.18491242075461
"OPC" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"microglia" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0156585576988361 0 0 0 0 0 0 0 0.00481866447436581 0 0 0 0 0.00727369093505336 0 0 0 0 0 0 0 0 0 0 0 0 0.0113556927716532 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0145970270205544 0 0 0 0 0.00718554408161322 0
"neurons" 0.933799500267896 0.87338084004191 1 0.913780819820243 0.907614130175357 0.611996091130555 0.864537253848638 0.987180154060273 1 1 0.950042965997792 0.956764795845047 0.0448356894961185 0.95651097503191 0.950297345966135 0.946075363414658 0.847176839315476 0.864723986034262 1 1 1 0.802166242334742 0.894907579019663 0.877462238896514 0.709256720545778 0.989277738232618 0.97781002394753 0.941300511724115 0.819953505901825 0.994246348269559 0.728072796182741 0.99918375254229 0.980136811412382 0.828037816649152 0.940509889436137 0.901256238436704 0.943213259531357 1 0.867176578193591 0.880947093862724 0.945114235726736 0.992726309064947 0.85406464322869 0.902316487745309 0.973810201365788 0.914105493763494 0.832482671820823 0.846466449447909 0.881033362020322 0.937372469941227 0.948738517370004 0.875762009767807 0.781553075889322 0.869558285545823 0.350801523355596 0.982857394846497 0.897924245175464 0.897182762346257 0.968766348760321 0.828076225763349 0.944412685395827 0.876469424539463 0.982998931688795 1 1 1 0.927327753445349 0.8678115541849 0.805042755444811 0.97339097746232 0.952869262105718 0.78565563775131 0.931588789767587 0.770881845357132 0.877592613118961 0.803878716004717 1 0.607576565624031 0.879029106643131 0.866897224337947 0.893589311486542 0.890681644043435 0.856098855218419 0.751061088935954 0.858710999556015 0.917201255127289 0.926039442197139 0.623116054193007 0.575811425590082 0.982009695618 0.985855200867176 0.844961923665353 0.970009583183453 0.858226009246383 0.933035855931015 0.584817322495393 0.876426859969231 0.825859804073584 0.931272535510621 0.626746997633831 0.88412631301423 0.675171211698726
"endothelial" 0.0662004997321034 0 0 0.0862191801797569 0.0923858698246432 0 0 0 0 0 0.0499570340022083 0 0.33876710604009 0.04348902496809 0.049702654033865 0.0539246365853421 0 0 0 0 0 0 0 0.122537761103486 0.290743279454222 0 0.0221899760524703 0 0.164387936399338 0 0 0.000816247457709718 0.0198631885876185 0.171962183350848 0.0594901105638626 0.098743761563296 0.00237719511912319 0 0.101739144278366 0.119052906137276 0.054885764273264 0 0.14593535677131 0.0446578263419594 0.0261897986342124 0.0858945062365064 0 0.035634016286578 0.0891783278708811 0.0626275300587729 0.051261482629996 0.124237990232193 0.175534258468732 0 0.456811679114122 0.0171426051535031 0.102075754824536 0 0.0312336512396793 0.00816342471792275 0 0.123530575460537 0.0170010683112048 0 0 0 0.0726722465546508 0.12674695388189 0.194957244555189 0 0 0.212443496331578 0.068411210232413 0 0.122407386881039 0.142095570303326 0 0.371756966251031 0.0908577049667729 0.133102775662052 0.106410688513458 0.0419134404545481 0 0.188171022775714 0.141289000443985 0.082798744872711 0 0.376883945806993 0.424188574409918 0.0179903043820003 0 0 0 0.141773990753617 0.0669641440689845 0.309358249343182 0.123573140030769 0.105398021856314 0 0.290205127820294 0.0643199508449665 0.139916367546664
