"A.10315" "A.11068" "A.15235" "A.26659" "A.26670" "A.26693" "A.28156" "A.28739" "A.29008" "A.29011" "A.29594" "A.29845" "A.32469" "A.32470" "A.32591" "B.04585" "B.06239" "B.06247" "B.06260" "B.06262" "B.06263" "B.06266" "B.06267" "B.06268" "B.06270" "B.06271" "B.06277" "B.06281" "B.06282" "B.06421" "B.10269" "B.10302" "B.10991" "B.15605" "B.16200" "B.16208" "B.20044" "B.28151" "B.28382" "B.28832" "B.28930" "B.30042" "B.15192" "C.03063" "C.11112" "C.12100" "C.12111" "C.15086" "C.16010" "C.16073" "C.16088" "C.99134" "E.02945" "E.02951" "E.10317" "E.10608" "E.11050" "E.11051" "E.11053" "E.19639" "E.19663" "E.24635" "F.10242" "F.15611" "F.15621" "F.15626" "F.15669" "F.16253" "F.16307" "F.16317" "F.21801" "F.30139" "F.30886" "F.32590" "G.10007" "G.11021" "G.11044" "G.11059" "G.11082" "G.11090" "G.11114" "G.12088" "G.15087" "H.0C046" "H.0C048" "H.0C064" "H.0C072" "H.0C083" "H.0C084" "H.0C085" "H.0C096" "H.0C730" "H.DC005" "H.DC022" "H.DC023" "H.DC027" "H.DC029" "H.DC040" "H.DC092" "H.DC107" "H.DC110" "H.DC112"
"oligodendrocytes" 0.00949033391915642 0 0.0316037308702345 0.0284160180061896 0.033220772109154 0 0 0.154717352767382 0.0293265132139812 0.0986583918955919 0.112072892938497 0.188836674019373 0.023349901745463 0.153781038374718 0.111534622016517 0.0543114089225886 0 0 0.00783108643933386 0.0465403261348612 0.0982094897045658 0.00722412858948889 0.313773605035741 0.0686472148541114 0.109021714797403 0.149641577060932 0.0193620883395281 0.355633362510942 0.0748713640659456 0.172183001742001 0 0.078902082257787 0.0838100686498856 0.0792163543441227 0.0595675966627792 0.0578942723501897 0.199554276163061 0.0733553269939841 0.198801089918256 0.179463073226784 0.0149982560167422 0.0237219209914795 0.111016225448335 0.210383281791772 0.154322725992678 0.0257629463127864 0.397413163659122 0.322733557179538 0.0525800711743772 0.127513030528667 0.138604903646069 0.0789848619768477 0.0209738519818904 0.358715785140976 0.0284202048095731 0.103555134716364 0.0466173455744719 0 0.031054807776898 0 0.207225630538514 0.0279105333588224 0.108062709966405 0.0461857297937432 0.00289804162641609 0.119419237749546 0.0595626434698562 0.024255140579102 0.144451038575668 0.219031246839923 0.40069134379951 0.246783465644676 0.075974025974026 0 0.0699700756908995 0.0334684642217404 0.0460040003478563 0.047663118926423 0.16048632218845 0.082962962962963 0.110532676396765 0.267298670836591 0.0228966986155485 0.196014339940953 0.0544949962156253 0.123398196487897 0.209483167377904 0.183657485967889 0.0668736565560067 0.153547510433854 0.124137931034483 0.390764133360944 0.165472779369628 0.0881925522252498 0.0942596216568819 0.208678881388621 0.0251566696508505 0.220301332818234 0.327952233524989 0.276111311890134 0.219343696027634 0.0243411595591759
"astrocytes" 0.136994727592267 0.14006898292252 0.0447342207733406 0.147519459814311 0.148489550059323 0.270214307899368 0.161658031088083 0.119755761276344 0.0755328218243819 0.0865200328557087 0.137858769931663 0.123717272465714 0.627210727083574 0.146350639578631 0.14184590253199 0.149003703050608 0.136062861869313 0.132497605989379 0.100416336241079 0.081004847950639 0.073769024171889 0.160195051471916 0.106796116504854 0.203289124668435 0.320908887396463 0.0836917562724014 0.103552597458726 0.248468175565837 0.213588154993174 0.108095718346016 0.191799622576771 0.116417139907073 0.126906941266209 0.226895229982964 0.13286085942406 0.15126643720766 0.121459745565976 0.119542014360567 0.271716621253406 0.294682962498694 0.122253226369027 0.096146398140976 0.185027042413891 0.139630774997657 0.124096498638881 0.134088354802455 0.105976843642432 0.144183290539206 0.144039145907473 0.134028294862249 0.125395820139329 0.152537845057881 0.200776124919154 0.156410784111957 0.377516971579795 0.106309718515968 0.183171405651128 0.130926724137931 0.124835048825548 0.175731839537405 0.096601421754796 0.169566048556681 0.162653975363942 0.128688443698806 0.0835162905067182 0.0617967332123412 0.212033345415005 0.149055812001679 0.260059347181009 0.150672464354333 0.267607662393778 0.40678894059677 0.15417439703154 0.200378071833648 0.159831015666256 0.18808334118978 0.0837464127315419 0.327047663118926 0.177203647416413 0.18479012345679 0.160825508970903 0.140930414386239 0.153443379481718 0.267503163222269 0.16600790513834 0.168106312292359 0.0849691797060218 0.453726667536875 0.417602101743492 0.150344559836941 0.0950804597701149 0.158210809691447 0.097958452722063 0.180199818346957 0.167101543813873 0.252266152362584 0.1680393912265 0.191616766467066 0.232419283502875 0.362004577761715 0.173958933026291 0.250023957834212
"OPC" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"microglia" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"neurons" 0.853514938488576 0.85993101707748 0.923662048356425 0.824064522179499 0.818289677831523 0.729785692100631 0.838341968911917 0.725526885956273 0.895140664961637 0.814821575248699 0.75006833712984 0.687446053514913 0.349439371170963 0.699868322046652 0.746619475451493 0.796684888026803 0.863937138130687 0.867502394010621 0.890959555908009 0.8724548259145 0.828021486123545 0.832580819938595 0.579430278459405 0.728063660477454 0.570069397806134 0.766666666666667 0.877085314201746 0.329123421282981 0.71154048094088 0.719721279911983 0.808200377423229 0.80468077783514 0.789282990083905 0.657048551959114 0.80757154391316 0.79083929044215 0.678985978270963 0.807102658645449 0.486648501362398 0.525853964274522 0.862748517614231 0.875096824167312 0.703956732137774 0.649985943210571 0.721580775368441 0.782830465980807 0.496609992698446 0.533083152281256 0.803380782918149 0.738458674609084 0.735999276214602 0.768477292965272 0.778250023098956 0.460176991150443 0.45506846162697 0.790135146767668 0.770211248774401 0.869073275862069 0.844110143397554 0.824268160462595 0.69617294770669 0.802523418084496 0.729283314669653 0.745781111220764 0.913585667866866 0.818784029038113 0.728404011115138 0.826689047419219 0.593827893175074 0.547375872181211 0.19760910269336 0.272378866684916 0.769851576994434 0.799621928166352 0.770198908642845 0.778448194588479 0.870249586920602 0.62505784359093 0.662310030395137 0.732246913580247 0.728641814632332 0.59177091477717 0.823659921902733 0.521826233656685 0.779497098646035 0.69093497864262 0.705547652916074 0.330244093460384 0.480534989252448 0.696107929729205 0.780781609195402 0.433319527852558 0.736568767908309 0.731607629427793 0.738638834529246 0.437897782063645 0.80680393912265 0.5880819007147 0.334144183989385 0.326948560414408 0.606697370946076 0.725634882606612
"endothelial" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000793021411578113 0 0 0 0 0 0 0 0 0.0667750406402401 0 0 0 0 0 0.036839863713799 0 0 0 0 0.0428337874659401 0 0 0.00503485670023238 0 0 0 0.0573182329039509 0 0 0 0 0 0 0 0.0246964395966248 0.138994361983661 0 0 0 0 0 0 0 0 0.0793447152866871 0 0 0 0 0.00166172106824926 0.0829204166245323 0.134091891113352 0.0740487270736381 0 0 0 0 0 0.0002313743637205 0 0 0 0 0 0.0146562631800928 0 0.0175605125771239 0 0.0323717530348518 0.0349892524480535 0 0 0.0177055290950507 0 0 0 0.101157184185149 0 0 0.105484298982751 0.0349355499337429 0 0
