"A.28156" "A.28739" "A.29008" "A.29011" "A.29594" "A.29845" "A.32469" "A.32470" "A.32591" "B.04585" "B.06239" "B.06247" "B.06260" "B.06262" "B.06263" "B.06266" "B.06267" "B.06268" "B.06270" "B.06271" "B.06277" "B.06281" "B.06282" "B.06421" "B.10269" "B.10302" "B.10991" "B.15605" "B.16200" "B.16208" "B.20044" "B.28151" "B.28382" "B.28832" "B.28930" "B.30042" "B.15192" "C.03063" "C.11112" "C.12100" "C.12111" "C.15086" "C.16010" "C.16073" "C.16088" "C.99134" "E.02945" "E.02951" "E.10317" "E.10608" "E.11050" "E.11051" "E.11053" "E.19639" "E.19663" "E.24635" "F.10242" "F.15611" "F.15621" "F.15626" "F.15669" "F.16253" "F.16307" "F.16317" "F.21801" "F.30139" "F.30886" "F.32590" "G.10007" "G.11021" "G.11044" "G.11059" "G.11082" "G.11090" "G.11114" "G.12088" "G.15087" "H.0C046" "H.0C048" "H.0C064" "H.0C072" "H.0C083" "H.0C084" "H.0C085" "H.0C096" "H.0C730" "H.DC005" "H.DC022" "H.DC023" "H.DC027" "H.DC029" "H.DC040" "H.DC092" "H.DC107" "H.DC110" "H.DC112"
"oligodendrocytes" 0 0.0187900153275129 0 0 0.0209030982403013 0.111633879624105 0.0120363264110292 0.0442720711249569 0.0134853439171036 0 0 0 0 0 0 0 0.185081747191753 0 0.0272879609554199 0.0217682883474908 0 0.2996018389788 0 0.0387776749305217 0 0 0 0 0 0 0.0937265281706803 0 0.136655531732212 0.0165681012084041 0 0 0 0.153207899514214 0.0359928443671348 0 0.359754264004837 0.247868200110286 0 0 0.0202076823759085 0 0 0.381836956289887 0.0169587856394756 0.0179442813220321 0 0 0 0 0.0867097163448613 0 0 0 0 0 0 0 0.0679777666885056 0.0168900882753616 0.159937300951842 0.20576239887154 0 0 0 0 0 0 0.109666228812955 0 0.00812914011169751 0.198213557517385 0 0.274482969466081 0 0.0189895421377495 0.107196322997153 0.154707160605564 0.0195639662098265 0.0441213879604366 0.0242465806677743 0.42903589484093 0.0576020420136032 0.034149446250584 0 0.26933326964877 0 0.229639742659181 0.399946501811472 0.236649584155905 0.166164816455044 0
"astrocytes" 0.174695993531341 0.0615861102981511 0.0459627159394964 0 0.123066457113292 0.0321879264799588 0.889211853121881 0.0897989341556235 0.104066603989673 0.106458656941608 0.178458808349392 0.137558356895929 0.0585527432642426 0 0 0.22612461481907 0.057294313397166 0.221068822444674 0.501910920420773 0.00486372149272115 0.141061902011218 0.297680460791456 0.236786010043933 0.0154208700738554 0.180204413646279 0.0469906023100298 0.0724656699799009 0.364696918384238 0.143606980585014 0.131044993515816 0 0.065288461985072 0.429019249523081 0.460237079138178 0.212946726775645 0 0.189889176666302 0.0602429274048825 0.110505795043959 0.183027589541209 0.0935534417881018 0.13479410458731 0.218914065490431 0.151232143953785 0.104157104638315 0.166367309351391 0.243875183929692 0 0.832726017411629 0.0519522807768035 0.149054534855773 0.199034864689804 0.100178275721124 0.1419401612657 0.0617190950754154 0.222723143842155 0.0788362100391484 0.297678741028336 0.114266429840973 0 0.307414023644688 0.165888693372472 0.404073902257022 0.0955026322799491 0.707413954052946 0.517408321719907 0.106587988495359 0.288337120071064 0.120142262973832 0.204389376828075 0.0962118393450052 0.51558650769011 0.173185398228653 0.195641036956749 0.119005824802468 0.0763699184492141 0.14340747359787 0.488977484888797 0.18123927523655 0.13501388293594 0 0.785894911695244 0.800123599527974 0.0819204952061473 0 0.0970316634843494 0.00847743078884097 0.203706736434467 0.202189065912619 0.433337510684229 0.20185260385154 0.230514425824048 0.159786706109216 0.641191033032254 0.0779982104459872 0.413725305083282
"OPC" 0 0 0 0 0 0 0.00445493655249906 0 0 0 0 0 0 0 0 0 0 0 0.0124680399403153 0 0 0.0271979588757325 0.0133343015589916 0 0 0 0 0.00491757837400585 0 0 0 0.000102203029252893 0.0214703738152591 0.00353048208301417 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0209839230344243 0.0269835750761692 0 0 0 0 0 0 0 0.0100293963451037 0 0 0 0.00377322358982745 0 0.00796923397923171 0.0445063421844432 0 0.00367206195231437 0 0 0 0 0 0.0033404707536536 0.00525967752042969 0 0 0 0 0.00995933452481745 0 0 0 0.0128884355432404 0 0 0.00246703177550724 0.00550516656007276 0 0.00201343670147683 0 0.00504290695297366 0 0 0.0244866640974513 0.0200661097027418 0 0
"microglia" 0 0 0 0 0 0 0.00920234188431235 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000257536324534497 0 0 0.0198019440692453 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00871481446949589 0 0 0 0 0 0 0 0 0 0 0.000288058917622858 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0156730701079951 0 0 0 0 0 0 0 0 0 0 0.00218727739667377 0 0 0 0 0 0
"neurons" 0.825304006468659 0.913523130127399 0.954037284060503 1 0.830880206704904 0.767204953225985 0 0.783609964926881 0.831993371000685 0.844312096237938 0.821541191650608 0.862441643104071 0.941447256735757 1 1 0.77387538518093 0.757623939411081 0.778931177555326 0.431718089224855 0.943034162626441 0.858938097988782 0 0.650470477742292 0.9078992997424 0.819795586353721 0.949409056406548 0.880073935634665 0.579044681692624 0.852482753725519 0.739456458246749 0.759024320428169 0.934609334985675 0.306679637160288 0.460828208293816 0.787053273224354 0.983976384911299 0.713535619244404 0.670938482676593 0.844297087862545 0.816972410458791 0.498187151103207 0.487870692557703 0.781085934509569 0.848767856046215 0.875635212985776 0.776004439345741 0.706343687091434 0.476032452916833 0 0.862110914884674 0.815871926490169 0.800965135310196 0.899821724278876 0.790285256640693 0.851571188579723 0.777276856157845 0.832459993446071 0.702321258971664 0.885733570159027 1 0.687165307792476 0.834111306627528 0.519979097075241 0.800607296136293 0 0 0.780862341646156 0.711662879928936 0.749884523029334 0.686894955123764 0.903788160654995 0.427013524250191 0.640817232111268 0.780709209884958 0.762657283173581 0.579643996875137 0.85659252640213 0.183273764600506 0.78487538862696 0.79375059539895 0.843667079820067 0 0.10737932583815 0.762508043360367 0.902764386162211 0.338922402588748 0.875452735419709 0.669355332412529 0.795206339844663 0 0.762514009888927 0.42572635829571 0 0 0.549489010021214 0.540479780628867
"endothelial" 0 0.00610074424693737 0 0 0.0251502379415027 0.0889732406699505 0.0850945420302786 0.0823190297925389 0.0504546810925375 0.0492292468204539 0 0 0 0 0 0 0 0 0.0266149894586369 0.030333827533347 0 0.375519741354011 0.0994092106547831 0.0379021552532225 0 0.00360034128342179 0.0472028580608995 0.0513408215491321 0.00391026568946654 0.10969660416819 0.147249151401151 0 0.10617520776916 0.0588361292765874 0 0.0160236150887013 0.0965752040892938 0.115610690404311 0.00920427272636136 0 0.0485051431038534 0.129467002744701 0 0 0 0.0576282513028683 0.0497811289788739 0.121146667758856 0.123331621872727 0.0679925230164906 0.0350735386540579 0 0 0.0590597676241114 0 0 0.0786744001696767 0 0 0 0.00164744497300883 0 0 0.0424936411239534 0.132360686077588 0.273157217456239 0.112549669858485 0 0.129973213996834 0.108715668048161 0 0.0540594973060454 0.0710714633266948 0.0236497531582933 0.110207751912253 0.145772527158265 0 0.0433064465197983 0.0182122660284949 0.0522459795273608 0.0491365971827796 0.0465094921559509 0.0729331084240501 0.111450073473049 0.0705220013945073 0.129504872525899 0.0584677917778465 0.0907750482009432 0.0026045942427179 0.290099035317354 0.0356333862595331 0.114119473221061 0.415780127981861 0.102093273109099 0.206347963077755 0.0457949142878516
