"A.10315" "A.11068" "A.15235" "A.26659" "A.26670" "A.26693" "A.28156" "A.28739" "A.29008" "A.29011" "A.29594" "A.29845" "A.32469" "A.32470" "A.32591" "B.04585" "B.06239" "B.06247" "B.06260" "B.06262" "B.06263" "B.06266" "B.06267" "B.06268" "B.06270" "B.06271" "B.06277" "B.06281" "B.06282" "B.06421" "B.10269" "B.10302" "B.10991" "B.15605" "B.16200" "B.16208" "B.20044" "B.28151" "B.28382" "B.28832" "B.28930" "B.30042" "B.15192" "C.03063" "C.11112" "C.12100" "C.12111" "C.15086" "C.16010" "C.16073" "C.16088" "C.99134" "E.02945" "E.02951" "E.10317" "E.10608" "E.11050" "E.11051" "E.11053" "E.19639" "E.19663" "E.24635" "F.10242" "F.15611" "F.15621" "F.15626" "F.15669" "F.16253" "F.16307" "F.16317" "F.21801" "F.30139" "F.30886" "F.32590" "G.10007" "G.11021" "G.11044" "G.11059" "G.11082" "G.11090" "G.11114" "G.12088" "G.15087" "H.0C046" "H.0C048" "H.0C064" "H.0C072" "H.0C083" "H.0C084" "H.0C085" "H.0C096" "H.0C730" "H.DC005" "H.DC022" "H.DC023" "H.DC027" "H.DC029" "H.DC040" "H.DC092" "H.DC107" "H.DC110" "H.DC112"
"oligodendrocytes" 0.017421205777902 0.0124955400201047 0.0404382294030858 0.0433977886572155 0.041686501895901 0.0141982751671229 0.0177537679137941 0.130852170093444 0.0476160410507983 0.103959312846995 0.123941741621347 0.184615122339085 0.0288843650308917 0.158071973350576 0.110790461800279 0.051126978323669 0.0198450868585114 0.0123282377826804 0.0239204440695262 0.057409291697665 0.113188094705079 0.0258247639775553 0.271158834724232 0.0585441676731442 0.0831194305700071 0.159678481459719 0.0403438910243196 0.273264980490102 0.0706310489311847 0.178329000611352 0.019323214196866 0.0715163987619414 0.0892226083819984 0.0615065361375814 0.0755638432244692 0.0683843202010345 0.222750653454879 0.0481823845236668 0.143379452314641 0.094926594603532 0.0280205894171965 0.0311555068575058 0.11099267552996 0.215134035445198 0.161943549606439 0.0282371961182192 0.360990758750709 0.294777417143223 0.0686974127843261 0.1276830587535 0.144356770820552 0.0910347174080909 0.0331893206957024 0.342706853011077 0.0450121184148878 0.115019427304719 0.0372104594471347 0.012423522056703 0.0414430667367789 0.00118900680712061 0.201668714204288 0.0345596411429731 0.0831322144698702 0.0545525155651396 0.0179871115570041 0.115566678307357 0.0234385428221374 0.0408002123445459 0.140092895837397 0.144087229346673 0.218729915562608 0.262811934142828 0.0803020385592583 0.00637693922436297 0.0837944706218399 0.0483237791410288 0.0662524653755658 0.0402919526941373 0.147169885884036 0.0846254852013376 0.14302778228723 0.286476389221463 0.0422188212635402 0.170516973605994 0.063228480627199 0.12497854254172 0.21938775405474 0.146397321510442 0.0464553627079662 0.152493872840742 0.131884817742217 0.373733606916735 0.185760114493807 0.0906007800575181 0.0989807406816652 0.198027836459357 0.032004395920428 0.200183432329957 0.324107795675004 0.248616626876485 0.209815374240542 0.032518941121198
"astrocytes" 0.211674115411851 0.186575993044541 0.047747249843577 0.220921815899219 0.212464195267366 0.323909220715451 0.20498629583758 0.209053526777722 0.122110063435757 0.121319936828281 0.220385919196547 0.183475913390567 0.684721656408995 0.219122637381451 0.239183107434887 0.20810275824508 0.216722364931643 0.179642850301324 0.134508418517081 0.105810802503125 0.107738537996574 0.21853353021616 0.153879113250769 0.260543635364374 0.415867693838114 0.137726345220979 0.150461172574485 0.482117414016019 0.268727429151464 0.161705228755587 0.213510565603513 0.20459972964703 0.190031291217824 0.324496483537943 0.214348556338016 0.21600706171868 0.183684043912456 0.202246715333795 0.372542426733307 0.413962127850746 0.202143027067882 0.104923235822437 0.304907181837957 0.19287905255496 0.207081930282119 0.218369854876651 0.162428425427891 0.218463483419971 0.227024528453595 0.215156796664413 0.217572172951886 0.22208215398901 0.246861812747047 0.18097032888162 0.598123278329022 0.176668664479443 0.23544821224825 0.208524926102905 0.153348505343452 0.248296856007209 0.167156941690745 0.247848867319094 0.205050235145946 0.331274488853598 0.136603151165827 0.095364602492162 0.297192659204379 0.199501764805644 0.39774728248779 0.220514050875278 0.519149923860275 0.624304638770418 0.227396458531443 0.263813123627801 0.235376575421448 0.271250117208584 0.147188746488643 0.461694775377749 0.244301066714063 0.264686134669818 0.229169109340125 0.209630528997866 0.185888308315888 0.369175715621236 0.219047871537247 0.235346677915873 0.128525608228027 0.594384326668806 0.588952836944959 0.209264245672112 0.128219645221749 0.199354863125592 0.159629914861345 0.273723713980284 0.246076720879961 0.442121576700808 0.246296925743322 0.289991999733156 0.543391152090158 0.563186171014748 0.211387299991416 0.380124711751961
"OPC" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0165501759054196 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"microglia" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0084730794231691 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0125979069086441 0.0114239531496494 0 0 0 0 0.001770165982719 0 0 0 0 0 0 0 0 0 0 0 0 0.00380965615187853 0 0 0 0.0022449775708148 0.00109908333352049 0 0 0.00331792836673617 0 0 0 0 0 0 0 0 0 0 0 0.0239078726340114 0 0 0 0 0 0 0 0 0 0.00133919706013134 0.00165334173379516 0 0 0 0 0 0 0 0 0 0.0062366941107519 0 0 0 0 0.00162044795215158 0
"neurons" 0.770904678810247 0.800928466935355 0.911814520753337 0.733442361238459 0.745849302836733 0.661892504117426 0.777259936248626 0.659415341066829 0.830273895513445 0.764466792611198 0.655621285874791 0.627230408641254 0.277144247132747 0.616741471956396 0.650026430764835 0.732297184008082 0.763432548209845 0.808028911915996 0.841571137413393 0.833896506343675 0.76699651415002 0.755641705806284 0.574962052025 0.680912196962482 0.466756418470655 0.701256668195534 0.803686597155357 0.2373106970974 0.660641521917351 0.652992516945334 0.767166220199621 0.712363925756915 0.720746100400178 0.613996980324475 0.710087600437515 0.698095392840515 0.571354607448834 0.749570900142538 0.479147149720851 0.491111277545721 0.769836383514922 0.862151091337339 0.579904271827178 0.591986911999841 0.625366688225904 0.752268788845395 0.4765808158214 0.486759099436806 0.704278058762079 0.644971084386352 0.631887349507916 0.676240149015877 0.708998455302845 0.476322818107302 0.320496605533429 0.708311908215838 0.727341328304615 0.779051551840392 0.802963450348954 0.748460157404122 0.618500944482941 0.708075012272661 0.701353696118109 0.584628368136467 0.845409737277169 0.776378712603973 0.674450201253337 0.75969802284981 0.418372058756815 0.61884854387263 0.2010693497939 0.0491504760479723 0.692301502909299 0.729809937147836 0.653962579796404 0.680426103650388 0.786558788135791 0.489878283852092 0.6085290474019 0.650688380128845 0.627803108372646 0.498653115081072 0.771892870420572 0.454971238187848 0.716384450775423 0.638021437808612 0.624614896722878 0.247279564150997 0.338920055346737 0.623723175137274 0.739895537036034 0.426911529957673 0.650177342869924 0.635675505962198 0.63976362983378 0.320238938049947 0.72169867833625 0.504222606280204 0.113787840861634 0.188197202108767 0.559191690700912 0.580129425101547
"endothelial" 0 0 0 0.00223803420510633 0 0 0 0.00067896206200453 0 0.0102539577135261 5.10533073145577e-05 0.00467855562909288 0.00924973142736592 0.00606391731157699 0 0 0 0 0 0.00288339945553451 0.0120768531483274 0 0 0 0.0342564571212244 0.00133850512376837 0.00550833924583893 0.00730690839647812 0 0.00697325368772683 0 0.0115199458341138 0 0 0 0.0049153183311261 0.0107867420341814 0 0.0049309712312012 0 0 0 0.00419587080490546 0 0.00560783188553798 0.00112416015973447 0 0 0 0.012189060195735 0.00618370671964542 0.010642979587022 0.0109504112544057 0 0.0325583415707829 0 0 0 0 0.000954896448027241 0.0126733996220263 0.00951647926527228 0.00714592589933933 0.029544627444795 0 0.0126900065965079 0.00491859672014675 0 0.0437877629179984 0 0.0610508107832172 0.0637329510387819 0 0 0.00295850152629631 0 0 0.00813498807602231 0 0 0 0.00523996669959908 0 0.00533607258492171 0 0 0.0274717409943548 0.0119387876697554 0.025671745000338 0.014518706349871 0 0 0.00443262777492269 0 0.0151789086045933 0.0333749546791366 0 0.00560196165668249 0.0187132113732048 0 0.017985187114978 0.00722692202529437
