celltype	G-11044	A-28156	B-06247	A-11068	B-10269	A-15235	C-12100	B-06262	H-0C048	E-19639	B-28151	H-DC005	C-16073	C-16010	C-99134	E-11051	A-29008	F-15621	A-26670	G-15087	A-32469	G-11059	B-28832	F-16317	E-02951	H-0C730	B-28930	B-06266	A-10315	B-06239	H-0C046	H-DC040	H-0C084	H-DC107	H-0C083	H-DC092	F-30139	H-DC027	B-06281	F-21801	B-06421	C-15086	H-0C096	G-12088	C-03063	C-12111	A-29011	A-28739	A-29845	B-06267	B-15192	C-11112	C-16088	H-0C072	A-32591	B-10302	B-06263	E-10608	E-19663	B-06271	F-15626	B-06282	B-28382	E-10317	E-11053	G-10007	B-04585	B-30042	B-06268	A-32470	B-16208	B-20044	H-DC110	B-06260	F-10242	H-0C085	H-DC023	F-15669	A-26693	E-11050	F-16307	A-29594	H-DC022	F-15611	B-15605	E-02945	B-06270	G-11021	A-26659	F-16253	G-11090	F-32590	E-24635	B-06277	B-16200	B-10991	F-30886	G-11082	H-DC029	G-11114	H-0C064	H-DC112
astrocytes	0	0.09831197507331949	0.11489503508580637	0.08037160349386424	0.11250098897016418	0	0.10140063045246837	0.013367842313875855	0	0.09278556062106981	0.04536763651737559	0.02551881760665168	0.09618364041493453	0.1605331744712898	0.08950357593541046	0.12956384103195204	0.14484440763419973	0.19966679787680763	0.18485309620416798	0.20305628619745905	0.8173033045186533	0.675364719389218	0.28021360187500305	0.24039064143634073	0.06031088547383157	0.1354028195119287	0.15425729907957414	0.23751362437735815	0.2089927779592041	0.20572791923477	0.3535140012906634	0.18225574592097102	0.4445833555278294	0.446831249541165	0.5718969102163812	0.34611385698990216	0.3600570413289696	0.29553325452716644	0.44682001048412695	0.4155745275394648	0.1433133593735144	0.04306498077927334	0	0.15658142084878715	0.0834149213602004	0.08569900091876516	0	0.1299308545812148	0.04149589402291659	0.058082031501918686	0.22345275078273585	0.13800709371025155	0.1094791805967589	0.14575840755574865	0.19323841071462478	0.2138907025283958	0.019072794118226464	0.022227362512405917	0	0.04486817332396884	0.10132765119214712	0.27118621743101734	0.30981381988757634	0.34951348935882137	0.06475410769321303	0.02266211731073871	0.023133903014903177	0.06854633796162568	0.16838731330036094	0.03222556869329977	0.0746941558064369	0.0020695294721833077	0	0.19153369437113774	0.068711592614496525	0.13588625137982244	0.12589637239859108	0.40423142132652007	0.3471929317579646	0.34085947782550535	0.33796932715415035	0.21836242846658746	0.2611794416376136	0.3123182925958095	0.3727276721915652	0.32046546221452515	0.3395119649786069	0.31810282750347535	0.23670139166117052	0.2264333498805112	0.20039259444491106	0.3577583372893586	0.3012076261650797	0.2231574196800391	0.26315999012183294	0.19788793741504643	0.2319814657843552	0.21298672225544568	0.18196086874191345	0.2715982941597376	0.3054524174580349	0.37418483466310615
endothelial	0	0	0	0	0	0.14202011452874871	0.21659951143316536	0.16801345566706924	0.1972481688255064	0	0.0996257620089418	0.06234816236090561	0.029888588451074324	0	0	0	0.1109813438021011	0.01893037852907222	0	0	0	0.002787495726296308	0	0	0.14622347085552442	0.150750737429264	0.15315016117395958	0.04939763990494733	0	0	0	0.039503133958476766	0.1373563741210537	0.1137186303080265	0.21958112578918224	0.2833782168676907	0.2007353047900568	0.22569099778741175	0.12527966528442058	0.15825291236207348	0	0	0	0	0.02890679270531342	0	0.28228788485789363	0.1955490574620901	0.2145757376277998	0.22743760903846144	0	0	0	0.06338003787354435	0.08058434329012357	0.1527902588019031	0.13097799265092147	0.07433478450736378	0	0	0	0	0.09112198313526647	0	0.08750695515199289	0.1479981574240395	0.05345517251448999	0.08833128654596496	0.04863445148438897	0	0.0022667207941715665	0	0.04565002301808854	0.4130795932041347	0.20287328839333463	0.25956269345660676	0.2520854171027658	0.011534751197361193	0.05553624290684714	0.040827008916137865	0.16772246116681488	0.1851145216783855	0.17263467470057484	0.18687954891027656	0.16719873500763247	0.17640242559490313	0.10278855040272392	0.12304103688288923	0	0	0	0	0.0878780656801463	0.11358754566942328	0.045040558747449014	0.1309972944220866	0.10783090910735554	0.05748333697796658	0.11910961596342039	0	0.021599168948166263	0.06767500785988673
microglia	0.004611291922366198	0	0	0.04242114403516574	0	0.015508814111131489	0.06375067180020946	0.09293773423459743	0.16445034518143498	0.18108072048637205	0.12891169077229747	0.1488143265543191	0.05060130880275974	0.091195874710857	0.07637740427460873	0	0.01652943321927272	0.01329323116548807	0	0.016501133108176566	0.05780636201542996	0.10717476264219367	0	0.056733411918582964	0.0031145760516194656	0.027772540124409162	0	0.04514977047010557	0	0	0.16222627873535148	0.08299609558588918	0.12254076161181476	0.018105196356863962	0.05346640656784755	0.10928439823340451	0.08863476858432986	0.12789164372614134	0	0.013851633372108466	0.05263355509786206	0.10764465797404578	0.1761670989526374	0.10449493340483293	0.12528129009210984	0.10813351254498355	0.0678227674754136	0	0	0.0594345774215685	0.04453101503816093	0.036611833179553015	0.09116528666907991	0.06770650168004665	0	0	0.13704508828596607	0.15750658073545631	0	0.05520976507667948	0	0.2703839414114165	0.26527465024512764	0.4182537907326833	0.3091644872669824	0.2959773904573157	0.36496720355378964	0.3925832798549109	0.3431697049618025	0.2956721839521761	0.334194053444868	0.3920665954576666	0.4104002655196833	0.03975192676719115	0.16533523689053284	0.12717010566403714	0.17534640286976186	0	0.0015348758458673178	0	0	0	0.05575512114032383	0	0.06260363996577036	0.048848921141340436	0.14567637529393165	0.15865114505280534	0.08146553082267291	0.11878995686561032	0.11019403621087932	0.02966709947522498	0.012347985199624167	0.017359224817512942	0.052607792702059064	0.10559257455124456	0.12970060336669514	0.19582547835912936	0.19342279052281325	0.1618047775764553	0.09401119328161409	0.0953738061732062
neurons	0.8368955932898638	0.8110007898277009	0.8218822035536898	0.7694345207793631	0.7636981030733012	0.5875445651159202	0.5146548168435433	0.5625599836281514	0.5528807534947913	0.6331775531531252	0.5138908581531141	0.564744686465601	0.5948635782121785	0.5989626561598993	0.6726367133774024	0.6586808611902257	0.612060304092552	0.6545420174070555	0.6848380782055912	0.6762209415422067	0	0.11144163163122701	0.06823132786771509	0.10745033741522705	0.2724553328854432	0.25393860288993503	0.4071475453592773	0.4431857568633323	0.47918249408731717	0.5098199808005448	0.0520977829871928	0.14495609777266624	0.11761752213495572	0.04314939512793227	0	0.09217039070468382	0.07788573985025608	0.10573898685868299	0.1219082081204054	0	0.2937699186239517	0.29785499370036517	0.3965728779323267	0.3472722365493355	0.31399866171727026	0.25122553312269263	0.40054178617791514	0.3662651667435005	0.31613545150716355	0.30886850749192607	0.4720327500988549	0.46014570155058626	0.47303702834917355	0.3768690963707891	0.41221686972630345	0.3926167919806835	0.39464646177991153	0.4632200176635501	0.4476632448146998	0.5666125704522882	0.5092292697226138	0.2211631606613367	0.047244720592956174	0.11205588088222253	0.4717657511149871	0.4421686858674597	0.4274338723890174	0.4008766054077091	0.2261439385940165	0.37392644206012	0.43456039586530215	0.3959944418113176	0.39471913814397425	0.24676913141687237	0.271409704046514	0.2587235849550468	0.26652907091159556	0.2695831752733226	0.3149887134781696	0.3102631535342905	0.20081775225636456	0.3105722400570819	0.30650856716274666	0.276145955203731	0.3271239545752514	0.31721539236257473	0.2171333528287815	0.2919453006587927	0.5754803306712668	0.4954969998743917	0.5234234200117656	0.5453769664134491	0.4467494290750491	0.5067037629025191	0.5034441326635714	0.40692581691534857	0.3497294721432914	0.38473387932945746	0.37369961144856995	0.42094569398187226	0.3787048834586274	0.3662073824824205
oligodendrocytes	0.08074548893931871	0	0	0	0	0	0	0.10229278041200605	0.009235503069189233	0	0.024056949198171737	0.09315346953580914	0.15983024999203832	0.09657772049568425	0.09687078169763177	0	0.015739911774399647	0	0.0472629934611689	0.03501496647457768	0	0	0.10529365698991759	0.010113929776478809	0.14682397046648493	0.07710942702639398	0	0	0	0	0.3418219507416679	0.4098625574358057	0	0.026532940116350132	0.07807271027509455	0.10278487568298009	0.1905148803576205	0.1733642596591367	0.16305742024940653	0.27526631687921355	0.45849647664238746	0.5174259543352745	0.3768286197103823	0.34455209230020795	0.3088310861018786	0.4215217476198213	0.16388208094378162	0.2562552273519466	0.33906476009625075	0.27776165919944	0.21496318291159472	0.32810022249246107	0.276332466983968	0.16873286966920614	0.24827822080040157	0.17213578341513155	0.2160803904305115	0.23058575484181001	0.3532769463891244	0.211289501037963	0.2196054390408561	0	0.13658680464011605	0	0.0088715922677392	0.03296361557573969	0	0	0.15636577755802755	0.2419895232915697	0.08468071089572704	0.16014561201649294	0.11150519796364217	0	0.06939681584492319	0.09754611754310481	0.08547491886439383	0	0	0.042552435944302074	0.0770351805583526	0.07665162686356818	0.0868899142539568	0.012702837159995272	0	0.029317141106193673	0.05991781400255533	0.05541055074190639	0.027970848161184923	0.042867025655618604	0	0	0.0395233777074446	0.06780705012720506	0.0505949535206461	0.01773367744994839	0.04736691689362128	0.04864236048781164	0	0.09591160316102657	0.03574492400096155	0
OPC	0	0.01158951144539207	0	0.057457134045037314	0.05676109400576334	0.18532634402547032	0.017299576370820836	0	0	0	0.1188207423510925	0.051117658394051795	0.018726413619848073	0	0	0.15029140341679667	0.0449633709396723	0	0.033118914057727815	0	0.058094721252855946	0.035029029608461534	0.4586793295599938	0.5239647370971938	0.32660309086553	0.28810371908255683	0.219811946030483	0.1685081715506767	0.24603440323944517	0.21996190011561784	0.033937873999276065	0.09333763999783713	0.10164157521004584	0.28962412938329163	0	0	0	0	0.07957019814742167	0	0	0	0	0	0.11390796434570612	0.08905326506818308	0.03348756513981204	0	0.03466058769715758	0.007892042636374953	0	0	0	0.1277503877234135	0.030210845307913976	0.018157168783359184	0.0584525534625901	0	0.14426378217508135	0.07960405378495494	0.10132240580420436	0.18690926079411416	0.11323537328621033	0.034599061411147145	0.002540167483590678	0	0.08055321899498691	0	0	0	0	0	0	0.012351873757378336	0.18341523104199647	0	0	0.20183984558161264	0.22989377726787374	0.20872494005195658	0.12005804681479208	0.13688814387618944	0.06765912958456244	0	0	0.03183340269671433	0.06527886316031985	0	0.02315287560417888	0.0512265676590571	0.10805440312231429	0	0.04620842152058091	0.021655473605548342	0.024836955206905018	0.047677768524010636	0.07835517660726231	0.04773945556129224	0.06396825769726293	0	0.1056638215024161	0.052725132949190484
