celltype	G-11044	A-28156	B-06247	A-11068	B-10269	A-15235	C-12100	B-06262	H-0C048	E-19639	B-28151	H-DC005	C-16073	C-16010	C-99134	E-11051	A-29008	F-15621	A-26670	G-15087	A-32469	G-11059	B-28832	F-16317	E-02951	H-0C730	B-28930	B-06266	A-10315	B-06239	H-0C046	H-DC040	H-0C084	H-DC107	H-0C083	H-DC092	F-30139	H-DC027	B-06281	F-21801	B-06421	C-15086	H-0C096	G-12088	C-03063	C-12111	A-29011	A-28739	A-29845	B-06267	B-15192	C-11112	C-16088	H-0C072	A-32591	B-10302	B-06263	E-10608	E-19663	B-06271	F-15626	B-06282	B-28382	E-10317	E-11053	G-10007	B-04585	B-30042	B-06268	A-32470	B-16208	B-20044	H-DC110	B-06260	F-10242	H-0C085	H-DC023	F-15669	A-26693	E-11050	F-16307	A-29594	H-DC022	F-15611	B-15605	E-02945	B-06270	G-11021	A-26659	F-16253	G-11090	F-32590	E-24635	B-06277	B-16200	B-10991	F-30886	G-11082	H-DC029	G-11114	H-0C064	H-DC112
Inh	0.047814900411285326	0.050217548103183116	0.06341088592060869	0.04190723130548704	0.053061657483268264	0.035817035245716354	0.012642641079527344	0.043246146152210556	0.044854717750617584	0.025999794067106022	0.023861292706495944	0.02331080352136156	0.03316427432699376	0.03320863225868404	0.03307674790876168	0.04791822026071851	0.034073728110001145	0.04942879354522947	0.025958724950261948	0.032460052813835454	0.0049005921399994335	0.005678518905855476	0.006736546963953067	0.009198288024387241	0.004197414442380176	0.006039828796194459	0.013525698411103442	0.027953084049052262	0.028843905455879146	0.018383150134931418	0.0022046602008979005	0.004782144831683051	0.005591274118807519	0.0024314560174236114	0	0	0.002808651536025081	0.007614745823019184	4.6782081344707313e-4	0	0.014931990265883804	0.008240993486270512	0.017973741204458507	0.009943355787366041	0.0108522755787619	0.0036133714982799817	0.014161477667168862	0.006807700047680576	0.011873908335061925	0.008142349795370077	0.022040610876178816	0.015541637395264218	0.022769036319815708	0.013544107671532553	0.017221249642743172	0.021741085037083635	0.018680661975074273	0.02278044105919884	0.013820886283170521	0.025465919135445523	0.03379524874299629	0.01802572419522873	0.0019184238854174356	0.012632446624816681	0.030744682508306965	0.023293058474362204	0.019969310307478148	0.053994101156629296	0.026482650616810894	0.023324214049148043	0.03479668662282807	0.014886271555486871	0.018292791510264007	0.008651384809028035	0.013330185399827074	0.02337949334236123	0.022616958713484694	0.02459657315234744	0.01497511761227703	0.01722090704456432	0.010690806555619619	0.014138121824800632	0.013695776536436543	0.03886311845252994	0.01303994897050296	0.017457215703216893	0.0115367720698408	0.018342360855214877	0.026921424278966703	0.040787893321560055	0.024615443476718547	0.02963291765850445	0.02761712000211423	0.03427379272966375	0.02256716380768834	0.03069600557381455	0.012961038190703796	0.007988667503573195	0.021012122817572584	0.013442301941436377	0.01333072788743252	0.006002637882082487
Exc	0.08582138507315924	0.08799510473957149	0.18614759458635063	0.12053869936983953	0.12164745596324694	0.19584464332223628	0.18391682067171253	0.08679096864358926	0.07782397574911125	0.18919564555657933	0.07298293754078915	0.03856676826910331	0.06649358463108246	0.08057412599053226	0.06281767088035156	0.1248509898591792	0.13531349898105335	0.13095740233669662	0.09895760876623645	0.09111912674916471	0.020547650923706213	0.054779804886958584	0.01605722688628425	0.01269999842621403	0.004691867906230912	0.013218706771710113	0.20763734122278757	0.11871583640082267	0.12481919091713439	0.23212763150928248	0.005690773859098227	0.018997406957245524	0.021108336831255552	0.009654262415277441	0.0060689036741715975	2.982371887919058e-4	2.4253062521469054e-4	0.009759073474643611	0.0030418549623482025	0.002227944859886682	0.027663501445900837	0.013205521982277023	0.025574820068944192	0.02248167661111215	0.02775888806183507	0.01026023028823922	0.06643979784930734	0.06191186211100406	0.04298711892407158	0.02430449520481751	0.03866020523329485	0.0425175165343307	0.04587245281281143	0.024365090097274496	0.04737621683945974	0.07047808403068374	0.06221577228576138	0.0409395943075664	0.0482669588204258	0.03924955461589387	0.07777224037709676	0.02908910650895976	0.005702099488139768	0.016927902792428475	0.06563244330315114	0.07061273546156623	0.08789648900241775	0.06802284419647231	0.04700684580570105	0.03522671201688759	0.05751096653803253	0.0370684371349679	0.027226091717428333	0.19009815855611367	0.04633903683675553	0.048093962928046234	0.05049050409864978	0.04833803687310677	0.10784747261082112	0.07265786068214171	0.05435338226613031	0.09524923464817085	0.052572496105726556	0.0277361398658297	0.037270492181722424	0.08161193080452316	0.03595631842513402	0.07048174246184613	0.07567282321526758	0.05351945955576404	0.06772249092016448	0.09982311416490286	0.08056132249326993	0.09932829350018718	0.08433903302231413	0.060332277932102	0.04925387275630887	0.024486840826867706	0.08249246409508233	0.04390585108245795	0.03132963816296481	0.07097023449714658
Oligo	0.25135020661306584	0.13069179149645135	0.07567622207321818	0.0953960946981428	0.13297969221359907	0.16895591839037452	0.13500563729170473	0.2600983224042376	0.26064473172456837	0.05611182895246317	0.17318828307683615	0.36553121724954346	0.33421305623502656	0.23637266582238098	0.28806297939625636	0.071173362875566	0.1974785613632927	0.13865786167092128	0.20295569161618462	0.18528285394346689	0.12481470876786074	0.11417427480013302	0.26139983567103137	0.2180148407010464	0.5057128441938954	0.4639131175368009	0.15935748746554246	0.12044598084000688	0.1327134585743235	0.060326199919085256	0.4296003380954464	0.4913330187656897	0.14935521424304268	0.3023882578085969	0.258994925887176	0.35279972071335336	0.3716631970890344	0.41705797480835854	0.39087964810218084	0.39580668224033405	0.5392265916805669	0.524556932892935	0.4336057394608696	0.4443496523752813	0.4465461069248964	0.5369456326285251	0.3842129923602321	0.45760380360399255	0.57756161276999185	0.5322975110692018	0.3513797263232471	0.4525344881526028	0.4202734013027552	0.414001591779107	0.4149250759794052	0.3785095264901893	0.3927707820517645	0.416031499907158	0.5702015055829099	0.42846884158778703	0.4026789342885755	0.1504687500033719	0.2584847072126157	0.07286695005729778	0.15122195871896013	0.19762463688408902	0.11775551247121957	0.08981233945752803	0.25331118707021727	0.3614242796714715	0.24056704790074893	0.3431877317257424	0.30695786099078415	0.08946663602918915	0.2406049442643105	0.3619780915335626	0.2966702239821915	0.1209503012836747	0.10302891186920066	0.2246111242860635	0.29940953254440344	0.3654212421554645	0.3003185084530104	0.17083839225169123	0.1422824218271617	0.18719926641714338	0.2580659105478267	0.19314602623669788	0.16805018839316224	0.18155600791061946	0.15758129802424461	0.060224185992703766	0.20298029204118664	0.22639129861232665	0.2055260321436354	0.25087806783990685	0.2228648727083049	0.2767589415429743	0.13223273989854337	0.2518963398235396	0.2702125502606209	0.12886378103394136
Astro	0.35093754567355473	0.5179033177549963	0.5183834463852878	0.4426632413323378	0.4860389251157381	0.2174431533040108	0.36247076503923925	0.3321246736934764	0.3016773829112886	0.341920183916482	0.36436535715091506	0.2539923332811045	0.2945158957252833	0.33574462329128413	0.34075428002934366	0.4552666461387323	0.3547553399758922	0.4997120750251623	0.46554165811329645	0.47531080056960584	0.6221551811905587	0.5646134871288765	0.4525573886981722	0.35211160075491515	0.21666919632877643	0.23895307354789494	0.37028542022377336	0.42539719192757885	0.5227305698680754	0.45778803455346223	0.2759437931126899	0.2623823859764534	0.4599849106302969	0.45278081199079206	0.4757332351181871	0.40554915925848006	0.4165204398808441	0.33257891943040924	0.47654270085253464	0.4212607890020578	0.22220963415842995	0.20188734346562773	0.20605399679570496	0.2560619447475939	0.25331100949809854	0.19185943457582602	0.2673708761124533	0.36575362007283513	0.23502409928803622	0.22812842815553336	0.3491563407500612	0.2787343976427532	0.25121859103503075	0.27117939189342527	0.3463689751280326	0.34285099065125324	0.20910361504990038	0.2261112696540528	0.22057990312932751	0.2615077485567442	0.32011597971688505	0.32930716198512955	0.3605455953594909	0.2632215754950533	0.28237663947333036	0.27794527673331304	0.2568795212064644	0.21665455523903962	0.24070704183562444	0.18994717412028772	0.26363489629	0.16765382026855088	0.20346372338497412	0.4465676823714692	0.2962523183255822	0.3071020577860006	0.3178931495531677	0.573078877854023	0.49615141551550185	0.5118677384534119	0.4387723713591662	0.3306765984518683	0.40125925129265494	0.4602212881035234	0.5364268442704794	0.445465234546954	0.3697379715724959	0.3907563059935596	0.4180471758192767	0.3847666815410987	0.403877369544188	0.5564671198703915	0.434266337358455	0.40695452589467146	0.41571004596068706	0.30592083817814397	0.385276669783254	0.3062869313081822	0.3640480330485597	0.35228139791646496	0.3861417029479498	0.4820387193952281
Micro	0.1925089168498503	0.10353133183106165	0.07184308923974213	0.17608471707213263	0.09341701773172585	0.23221787960114607	0.20598287456602513	0.19543213452313482	0.23608052310489852	0.33619723980979194	0.26809194370364403	0.22891464947931414	0.19000872426089008	0.24486104046943355	0.1939449149001353	0.18377439721226863	0.19439423808885353	0.08829766642051352	0.10350592967822907	0.1442059891646516	0.12390999100799181	0.1469057857754242	0.09858621037990467	0.24779684597354698	0.15180078283969495	0.1635855631448833	0.11194487232563588	0.18563573998785915	0.0629405547828848	0.10344821840819653	0.1986613569209973	0.12495864855872059	0.22858682108691808	0.09338328654388726	0.09967711561875651	0.140818540360608	0.12940244557520286	0.15821297004484433	0.007452568127987195	0.03329747846535696	0.14216742611306885	0.18999197874070226	0.23932693605217106	0.20379924887355239	0.18121740654087462	0.19024387971058185	0.1711815452707381	0.017025047619923055	0.043137215697656876	0.14233587799228337	0.160146108220076	0.15482516337060548	0.1924489908487265	0.17401123786054878	0.0923657061053707	0.09769947608898122	0.22860922595410307	0.21458968954449778	0.058664458218880576	0.15780274319047918	0.07035406918602338	0.3828770074348508	0.27508793793507974	0.4813053527423848	0.3895698496155512	0.3740215458121419	0.4493448301110813	0.5053377842255018	0.35798614295707576	0.3287019036042388	0.33809163432038947	0.3689862510554156	0.37848667542996334	0.13249520133235745	0.28270695175264104	0.1743784649465678	0.2036209321513724	0.058036758718480366	0.1318811187711796	0.040374573405623546	0.019646386312461458	0.1052871932548694	0.15080912230928145	0.08943085507673769	0.1761044518182857	0.1614969662485241	0.1901328812846157	0.25135178694373894	0.21744824016018233	0.26182212973738744	0.2405864418200335	0.1629431129819603	0.1550285462899104	0.13738197993031007	0.1749554928934973	0.26341678109769595	0.23474373301300575	0.28175418556409293	0.29507885109168186	0.26351457275010837	0.20559816092467548	0.17863080115915697
OPC	0.05116394902023357	0.08109125398747942	0.07229280933414256	0.07401903014876167	0.08537593964680852	0.0954296405796705	0.06776789368998544	0.04688216995851907	0.05276847035296885	0.01211081165731666	0.06709321334250944	0.054378714773001165	0.052022638280369	0.04781448430366526	0.04758455857928417	0.08224071800415243	0.06613350734365413	0.060373952347155174	0.06860987321336968	0.043546598069055656	0.0633765442624256	0.06183740114148698	0.12046725570911095	0.1303361044559769	0.08729646076434339	0.07710844319118275	0.10656431996625762	0.0832778418135984	0.10009184753084276	0.10962370027434865	0.046031050155481014	0.05298321584096757	0.06877513643758401	0.07950798025638783	0.04076691875113297	0.029378597688776008	8.133527509450401e-4	0.022552016061123177	0.06050374789522644	0.024580210249864603	0.038600051236181536	0.04364886330939713	0.04468096230268604	0.041498107304087914	0.056831629224056754	0.04890980193640956	0.05354897892812158	0.047538892621737085	0.05138081469275541	0.04220182288906104	0.050537048088247966	0.04239830425765816	0.04256161086653474	0.05708075555601777	0.053052460996109815	0.05348882903798955	0.053617752471689886	0.039041495569878376	0.06835027878798479	0.05807628183267646	0.06812475894414655	0.06804083069430145	0.058380735475672144	0.04697426152218724	0.045053794482470745	0.026395522704147956	0.054262013792556824	0.03727352050734817	0.0336291865645046	0.03413033396987487	0.031162892245307473	0.038172430763267456	0.027164723706950968	0.061972046488368536	0.07523840947294347	0.017722423372881727	0.008791042701356978	0.08793103910692548	0.09477026378375533	0.09234920654511777	0.07491782735598775	0.06817527734833835	0.057734104120403834	0.03845407491589912	0.054219711833033826	0.058558601751639405	0.06314901768319453	0.04220169132118541	0.057072129784638714	0.05120021365806952	0.07239265573424167	0.05477179184282055	0.05695470744015426	0.05496533664097936	0.05459381465173164	0.05160822607815955	0.058348493482206436	0.05215578386382272	0.061931186293677644	0.044405757897750274	0.06145110956507599	0.059721562043689655
Endo	0.020403096358850965	0.02856965208725657	0.01224595246065003	0.042911076389025096	0.02747931184561322	0.05282547794383017	0.02697310121642507	0.03542558462483234	0.026150198406546768	0.017961496401137807	0.029705901196956694	0.03530551342657186	0.024078345805768522	0.021424427864019817	0.033758848305867256	0.025931548631828005	0.01785112613725294	0.032572248654321616	0.03447051366242171	0.02807457869021978	0.040295331707457464	0.052010727361265094	0.04419553569154358	0.029842321663913315	0.025292528002449324	0.03718126701133356	0.03068486038489971	0.03857432498108168	0.027860472870859937	0.0183030652006935	0.040841585263028064	0.04456317906924015	0.06225569934081216	0.059853944967634826	0.11553164785557209	0.07115574478999066	0.058147592249413474	0.05201191468379023	0.06111165924627559	0.1161802512655502	0.015200805099968155	0.018468366122790257	0.03278380411516569	0.021866014301006306	0.023482684171476753	0.018167649362138265	0.04308433181197876	0.04335907392282752	0.03399447964802584	0.02258951489373284	0.028079960508894032	0.013448492646785435	0.024855916814325703	0.04245312146586929	0.027518729430747412	0.03523200866381929	0.03500219021170642	0.037260289693915566	0.02011600917730083	0.02942891108097381	0.027158768744276418	0.022191419178157767	0.03698008818438505	0.08905529469115639	0.03540063189822945	0.022023658397496742	0.013892323108781985	0.02890485521748069	0.04087694515006595	0.025908162211266923	0.03423587608269363	0.03004505749656891	0.03564778289712049	0.0638437317332351	0.04552815394794006	0.06734550609057981	0.09991718879977694	0.08161043714288153	0.051345699837264384	0.04091858958307715	0.09336542513015227	0.021052332316487992	0.0236107411824863	0.1721365867290987	0.037821878930595146	0.048210784527999005	0.07142112841689235	0.03372008618775708	0.0367880183485057	0.026347614275500683	0.033224300480409155	0.03613775748871644	0.04113578055538828	0.04070477269186157	0.04230841752044616	0.0371478033001771	0.03655132006621621	0.050568649390486914	0.043204602754882464	0.030553778588242486	0.03193611025128052	0.0737722639887549
VLMC	0	0	0	0.006479909684273366	0	0.0014662516130153184	0.005240266445380603	0	0	0.020502999639123044	7.110712818535219e-4	0	0.005503480734586356	0	0	0.008844117017554904	0	0	0	0	0	0	0	0	0.004338905522229429	0	0	0	0	0	0.0010264423923611711	0	0.004342607311283069	0	0.0032272530950037326	0	0.02040179029332047	2.1238567381166943e-4	0	0.006646643916949723	0	0	0	0	0	0	0	0	0.00404075064440037	0	0	0	0	0.0033647036762248345	0.0011715858781313252	0	0	0.0032457202637322874	0	0	0	0	0.0029004124591993745	0.01701621607467532	0	0.008083565532882976	0	0	0	0.001337220356824555	0	0	0.002760350362514555	0.006905158680238782	0	0	0	0.0054579758685607115	0	0	0.008844268476078939	0	0	0.002319544604690171	0.002834250168218779	0	0	0	0	0	0	0	0.0014558938195212514	0	0	0	0	0	0	0	0	0
