celltype	A-15235	B-28151	H-DC005	C-12100	B-06262	H-0C048	G-11044	A-28156	B-06247	A-11068	B-10269	E-11051	A-29008	A-26670	F-15621	G-15087	E-19639	C-99134	C-16010	C-16073	B-06421	C-15086	H-0C096	G-12088	C-03063	C-12111	A-29011	A-28739	A-29845	B-06267	B-15192	C-11112	C-16088	H-0C072	A-32591	B-10302	B-06263	E-10608	E-19663	B-06271	F-15626	A-32469	G-11059	E-10317	B-06282	B-28382	E-11053	G-10007	B-04585	B-30042	B-06268	A-32470	B-16208	B-20044	H-DC110	B-06260	F-10242	H-0C085	H-DC023	F-15669	A-26693	E-11050	B-06270	G-11021	F-15611	B-15605	E-02945	A-29594	H-DC022	F-32590	E-24635	B-06277	B-16200	A-26659	F-16253	G-11090	G-11082	H-DC029	B-10991	F-30886	G-11114	H-0C064	H-DC112	B-28832	F-16317	E-02951	H-0C730	B-28930	B-06266	A-10315	B-06239	H-0C046	H-DC040	H-DC107	H-0C084	B-06281	F-16307	H-DC092	F-30139	H-DC027	F-21801	H-0C083
astrocytes	0.11792091689483493	0.35750412708718954	0.35005898640706756	0.37452980956935034	0.33466381622635033	0.35979018038547644	0.2301101333216447	0.2256740933808577	0.06571845428836455	0.25545385862915543	0.16680099005111426	0.3417344253495294	0.2594855207923091	0.21061983395342893	0.13571928280082377	0.2363524065889446	0.3443659749996474	0.34605958018944	0.30219655139639834	0.30896076406613976	0.4396699685924661	0.43934500174707874	0.3805726722673388	0.5286273087103024	0.4458502437598491	0.44238478774440493	0.5376050470683215	0.41422690095757564	0.503217317741438	0.5202501179235401	0.3874888503118022	0.3880891642487171	0.31955429893530607	0.5300815254949922	0.4545674266185638	0.44716704289474885	0.37968469547999034	0.3317518953420142	0.3933228825348599	0.36943030241180497	0.36293505580127666	0.46816487498343695	0.344195377861703	0.5398786746289136	0.4489272533987191	0.7023338778538936	0.3804974652847397	0.5047810578438013	0.4256699010132931	0.3877016693137244	0.41445523077069085	0.4624315816624013	0.4509521232803133	0.5547118480602489	0.6205106553525156	0.2899945218837211	0.6258664333826411	0.4005087588540578	0.5336977461893104	0.28177236014398566	0.1253626305818469	0.29631841962612054	0.39099119059271936	0.3003063304082424	0.4076468047076851	0.5625901737054477	0.34242599672858753	0.34320244145406503	0.4783380333106243	0.1582585542844138	0.27433438689120826	0.17580322265569798	0.32240336983647755	0.31171556242993276	0.3840061740242194	0.22840912157371462	0.5367117762486621	0.42360541808288193	0.40123378687869454	0.5461813171438545	0.4980974290728071	0.5617088704065024	0.33758693244539895	0.5640606931559157	0.6723240618387778	0.6916210332055266	0.5929572969488368	0.20542304146480708	0.16205941248868505	0.20600600792298088	0.1350967011950935	0.6201346020763288	0.42533059277667074	0.6179281534283625	0.4277663367338745	0.7279195226492208	0.4934462903997992	0.6703643133724831	0.7473709905845785	0.6846333536907754	0.6644016321153188	0.6068311681274917
endothelial	0.23784704044833188	0.10466973275081508	0.10548100779436873	0.07837380651219478	0.112673981173492	0.09520518933968686	0.08469876789694883	0.05490909328461639	0.01248058352386692	0.04152844580382434	0.03953599253834257	0.041960691166617076	0.25356312114886836	0.2716009006210589	0.029495931408424585	0.23475479587196413	0.02985535981961856	0.10240086784079583	0.0974185410263114	0.10681521785717216	0.11020773803447115	0.11851540713300893	0.10849214299922096	0.12940849253729766	0.12336013509084962	0.1377919712860269	0.13676912230574934	0.12029077804623296	0.12628542836649492	0.13344271954098222	0.10521333153592191	0.1107402720121335	0.09524017179503924	0.1391758366938103	0.12199532891217617	0.11533441528098909	0.11279027471247957	0.08309013875991927	0.12402891831703172	0.11800226145038112	0.11559666531176409	0.11382081450753491	0.09613327835634432	0.12237689040279198	0.11682394763518272	0.15664339846517	0.22714392458484065	0.11843681047183396	0.2630189471398612	0.09960585734258981	0.1143293096178381	0.1129694519427367	0.10722885860640158	0.13844883138688074	0.13795571153812566	0.042405438184607	0.14534807080102463	0.11291158073089022	0.13332729791675965	0.06654787262909337	0.01829223519461024	0.34367315457454034	0.1037478057435722	0.22043655493606867	0.09831100166584968	0.12798437452058678	0.16044223126925303	0.10679322484548393	0.12554581990997887	0.01341269630402114	0.08260776349840038	0.26201217398102883	0.09700641399482993	0.16711673641460617	0.11084537635190525	0.07174641628218004	0.12660111677659522	0.10957953601626214	0.1169844225008481	0.13648663371364333	0.12618438879579746	0.14126699479207652	0.2724715961151489	0.15613093753198448	0.16132113275822618	0.16192112771368664	0.1528493686712575	0.058026210387022076	0.05654467375979779	0.047326898432552084	0.024832100321815494	0.1502450747806432	0.1297386344467932	0.15150895951525925	0.12233958394963915	0.16914362541195252	0.13779221760617608	0.15528962350164752	0.1640009545616198	0.14303130257725202	0.16041623389207807	0.1604182020929257
microglia	0.029309091439369165	0.04630639754552179	0.0939426438998854	0.0012326901085954708	0.05371562341835826	0.04203562376213426	0.06210775761451023	0.002484314158014061	0.0015215505130838172	0.0029799933504067915	0.0014819190890301803	0.003507428832455035	0.0291745694572988	0.025593682963355843	0.002165152938281366	0.036060308036249676	0.004434004028972157	0.06209589389032942	0.086476904406470545	0.07333658480275439	0.04722215959502155	0.1064144822010322	0.0677139181128963	0.06662964168310581	0.07946797886144844	0.09194965643652428	0.045673331674009894	0.023369304186959605	0.027983924343112813	0.07128010605167626	0.05494725223565815	0.05806777063685917	0.07897545859159794	0.04995841013497056	0.03809489302342023	0.03595356499883809	0.04860388203411802	0.08154771446986968	0.040447962125935925	0.04798400460209209	0.04633357527362374	0.03639629457371575	0.030178038360081354	0.09769891249129087	0.05546909023400786	0.05850762993053564	0.051940340738589746	0.05579881093908442	0.05631290046662676	0.04257396524214711	0.03532232893638781	0.07874327996939383	0.05570355590578775	0.06798668602002797	0.060501192393585285	0.001139094000670629	0.04825411102097566	0.040282626832740975	0.056380821624507374	0.0023164219797019124	0.0021704939540834996	0.019558993010019513	0.043472460351205264	0.07167504428948786	0.00570212759429745	0.03941612022402469	0.033096812899385146	0.038103663730339056	0.04582076600493823	0.002348088327914436	0.02243362273523053	0.02542934077429809	0.04931257814928974	0.040747378010815925	0.0670306235966673	0.0610593707522996	0.05085027481823799	0.06675568624224157	0.06455055933677306	0.055532161124723894	0.07125038228535407	0.06791116072940705	0.03139490464552157	0.04438471323967288	0.060671830980587954	0.05412438906490907	0.04865517596280765	8.762167547692745e-4	0.0057335010575107065	0.0016017571656305393	0.0032037917164868504	0.06925749690940305	0.05244260394228042	0.050316836904385216	0.024148750027452894	0.0402681072475297	0.026876572556505458	0.06789486823018809	0.04938989311410443	0.05329646550489295	0.0378242323022429	0.05316035383447194
neurons	0.6147195431397849	0.491030104941461	0.4300073289422841	0.5458636938098596	0.4947862415821732	0.49465242117204983	0.6180303867661332	0.7169324991765118	0.9197193309887102	0.7000377022166135	0.7921810983215131	0.6127974546513982	0.4568449574598087	0.4918639032091277	0.8326196328524704	0.491724573645766	0.6213446611517619	0.4804810357701116	0.5092505499575367	0.49630847969230973	0.3848883583623725	0.30024127770932596	0.4240753328142405	0.2521691778678316	0.3300589842803946	0.28130790658003274	0.27553838652787865	0.428671870570663	0.3251920074567877	0.2548303123683679	0.44186017957940893	0.426211390654615	0.4881412805160562	0.26343731983401214	0.3754606318990111	0.3960823334762222	0.449754874594712	0.48810482731955473	0.42157066233012913	0.44768942948528806	0.4647536817308567	0.3813150695730774	0.5292975893126646	0.24004552247700361	0.37749761640653484	0.07859625125447434	0.34009457821840183	0.31579142113629616	0.25411541253527553	0.4701185081015387	0.4345229067387634	0.3325236845742271	0.38142106407486986	0.22451219767018632	0.16725681326780764	0.6664609459310011	0.17800760559279455	0.43114763085200125	0.27316286654133676	0.6493633452472187	0.8541746402694594	0.33989701523591814	0.45851069533312405	0.40684321835577164	0.4883400660321677	0.26897979963366775	0.46342245503278434	0.5025345589638256	0.34447743532775754	0.8259806610836506	0.6203959125968506	0.5352445571297081	0.5272813346584547	0.4800041105084274	0.43585000912185984	0.6349888566910873	0.27928983555974773	0.40005935965861433	0.4130634493719062	0.258682181870762	0.2962280894344144	0.22239818914345488	0.35844472597231153	0.23075948877908697	0.10198604699374672	0.07817718552387759	0.1761451712633114	0.7356745313934018	0.7756624126940067	0.7450653364788365	0.8368674067666041	0.15099807423006367	0.36557662663398505	0.16833279983111138	0.4246278161371536	0.05431681332153516	0.33797046974528594	0.08285620061318907	0.035414747695246655	0.10401781706978583	0.12818721953438822	0.17307667692429718
oligodendrocytes	2.0340807767914117e-4	4.896376750125897e-4	0.020510032956394204	0	0.004160337599626218	0.008316585340652532	0.0050529544007629846	0	0	0	0	0	9.318311417150951e-4	3.2167925302854176e-4	0	0.001107915857075785	0	0.008962622309323183	0.004657453213283072	0.014578953581623713	0.018011775415668535	0.035483831209554256	0.019145933806303403	0.023165379201462673	0.02126265800745822	0.046565677953011	0.004414112424040493	0.013441146238568933	0.017321322092166434	0.020196744115433533	0.01049038633720894	0.01689140244767533	0.018088790162000677	0.01734690784221465	0.009881719546828607	0.005462643349201865	0.009166273178699873	0.015505424108642307	0.020629574692043115	0.016894002050433517	0.010381021882478999	3.029463622350346e-4	1.9571610920663199e-4	0	0.001282092325555413	0.003918842495926387	3.2369117342819555e-4	0.005191899608984069	8.828388449434117e-4	0	0.001370223936319846	0.013332001851241122	0.0046943981326274045	0.014340436862656007	0.013775627447965726	0	0.0025237792025641667	0.015149402730309848	0.0034312677280858538	0	0	5.524175534013237e-4	0.0032778479793793445	7.388520104294192e-4	0	0.001029531916272997	6.125040699898447e-4	0.00936611100628642	0.005817945446701095	0	2.283142783102672e-4	0.001510705459267001	0.003996303360948016	4.1621263621758936e-4	0.002267816905348295	0.0037962347007185473	0.00654699659675687	0	0.004167781911778065	0.0031177061470162603	0.008239710411626949	0.006714784928559124	1.0184082161902575e-4	0.0046641672933397825	0.003696927428661279	0.01415626449200017	0.029392987153786427	0	0	0	0	0.009364752003561237	0.026911542200270946	0.011913250320881367	0.00111751315187987	0.008351931369761941	0.0039144496922334255	0.023594994282491955	0.0038234140444506157	0.015021061157294076	0.009170682155972325	0.006513599020813823
OPC	0	0	0	0	0	0	0	0	5.600806859745186e-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
