celltype	G-11044	A-28156	B-06247	A-11068	B-10269	A-15235	C-12100	B-06262	H-0C048	E-19639	B-28151	H-DC005	C-16073	C-16010	C-99134	E-11051	A-29008	F-15621	A-26670	G-15087	A-32469	G-11059	B-28832	F-16317	E-02951	H-0C730	B-28930	B-06266	A-10315	B-06239	H-0C046	H-DC040	H-0C084	H-DC107	H-0C083	H-DC092	F-30139	H-DC027	B-06281	F-21801	B-06421	C-15086	H-0C096	G-12088	C-03063	C-12111	A-29011	A-28739	A-29845	B-06267	B-15192	C-11112	C-16088	H-0C072	A-32591	B-10302	B-06263	E-10608	E-19663	B-06271	F-15626	B-06282	B-28382	E-10317	E-11053	G-10007	B-04585	B-30042	B-06268	A-32470	B-16208	B-20044	H-DC110	B-06260	F-10242	H-0C085	H-DC023	F-15669	A-26693	E-11050	F-16307	A-29594	H-DC022	F-15611	B-15605	E-02945	B-06270	G-11021	A-26659	F-16253	G-11090	F-32590	E-24635	B-06277	B-16200	B-10991	F-30886	G-11082	H-DC029	G-11114	H-0C064	H-DC112
Astro	0.0080260351761543	0.009489468093784037	0.008070727669575228	0.009252534765997356	0.009564632347716373	0.005809580504365808	0.004018734692831649	0.012409907643634921	0.008774960349467675	0.006261645473099098	0.010771574525743677	0.00638781483564177	0.006241088631751712	0.00660321642116779	0.007551084526456753	0.006873544930539099	0.004650148718413849	0.008897228465661988	0.011115811215140103	0.011613704989462292	0.016528918606463883	0.010307172195745673	0.011322974283062726	0.004999707616217874	0.002549121137468524	0.003994955775650899	0.005263562941853817	0.010048336552385184	0.008341578299424002	0.007114854301412732	0.006492719222063792	0.006729987375668489	0.007557107327015089	0.009382873543799297	0.011666891944855262	0.006744800785220495	0.0068334570181263765	0.007011336972995108	0.007745309567995129	0.012167355001846902	0.001588295303802445	0.005367020634738706	0.0034874427630596228	0.005584153955438265	0.005035880312385277	0.006070446541776409	0.003777905983523233	0.00968115612314685	0.004694734390277455	0.005845064189177129	0.007642853705393249	0.006220643347475019	0.00659829529118261	0.004933126787082742	0.00780148682556403	0.005524348335922191	0.002203210757262819	0.005469352332093724	0.004316952836580179	0.006084842932407963	0.006364026195030348	0.006734475890406877	0.007186241981207375	0.007405351319364761	0.007747718570743134	0.00539609255069351	0.007040260428670342	0.005097860343020455	0.004859193186585398	0.0060330844398420735	0.0058179562783164385	0.004305434103953176	0.004786882134199144	0.008234207913614844	0.0030045951675079507	0.004749243936786052	0.007952276405744196	0.011205672065257577	0.010218056753298843	0.008256525027913464	0.006102109845769588	0.004186467016968065	0.007846929373005074	0.009499915491862465	0.008236581200298743	0.007824299036464089	0.0064682211013338264	0.0076326975313046885	0.008590090676114437	0.008819427626828635	0.007679978713368563	0.011543301596946942	0.007162396229019485	0.007578437546348071	0.00862545479488902	0.003285228635239501	0.008552704817338774	0.004650653314111353	0.005825088502515008	0.00720639256388067	0.006828380411442236	0.012772199903530623
Endo	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002645620710093541	0.003926001451645386	9.472721772574577e-4	0.004234365110729679	0.004710635609184666	0.0023769947179636125	0	0	0	0	0.0031451505440785177	0	0.005887175772715844	0.005050597786694311	0.007016337598230268	0.008801283124728207	0.008228681748008462	0.007605916478956268	0.007790049221624767	0.006872772123926091	0	0	0.0015746763740058095	5.917162663558878e-4	0	0	0	0	0	0.001356451426004976	0	0	0	0.001424669698115874	0	2.417370944235997e-4	0	0	0	0	0	0.003510464201551211	0.006174638227490523	0.008132600315353233	0	0	0	0.0018597777842626062	0.004503210610317762	0	4.39302541125397e-4	0	0.0021420695747887686	2.117346073400722e-4	0.005275192060702344	0.0018134767931364953	0.004364833078571356	0.005927716388209173	8.74954111286963e-4	0	0.005354492278141512	7.747024986586026e-5	1.0754880588519089e-4	0.011263825205906769	0.005004408458609902	3.4649224418457913e-4	0.0021269665673839255	6.400029759723314e-4	3.176190161573722e-4	0	0.0011496699435625674	0	0.002657651572168865	0	0	0.0026543425272767124	4.8652139678566353e-4	0.004818352020159969	0	0.0016357488750561033	0.004515234529220508	0
Exc	0.6493777660357449	0.6504458336458441	0.6655340280243733	0.6621988587349499	0.6616268800531658	0.6654534117326748	0.6650273649162092	0.6641369533065389	0.6555605095435004	0.6752828488678077	0.6573903342250648	0.6330128775653252	0.6419618167744657	0.6511275745790617	0.6441333111687885	0.65643077453195	0.6551608036166227	0.6554301292849707	0.6597203673235065	0.6595184291091096	0.6291229903522289	0.630545054851414	0.6230557864741451	0.6131912214707753	0.6080777538752996	0.6139670102047462	0.667703064256271	0.657448043056329	0.6633494576650676	0.667962748554502	0.6144266988773119	0.6220512220873968	0.6214084238584698	0.6156097157037507	0.619251400310259	0.613362576257932	0.6100013095811684	0.6128762351628603	0.6061888410681066	0.6083881244660768	0.6181808597964549	0.6123237301157415	0.6203660765090951	0.6193083014321397	0.6225682143964886	0.6138007781532916	0.6457588350528649	0.6486564743020933	0.6367806948682804	0.6256611196066927	0.6294595536540557	0.6293454790386654	0.6323857255443293	0.6248114604815262	0.6376621282076099	0.6417836954127423	0.6405968819631088	0.632851703212694	0.6301176382224827	0.6271032677896943	0.6380540592065456	0.6287216517159758	0.6141140032314332	0.6260431277531989	0.649447493238161	0.6493631341159655	0.6551619565354814	0.6412228448449993	0.6352151434578572	0.6321731406558024	0.6404651030442153	0.6320935786831394	0.629214441195577	0.6619323744904497	0.6331007627439447	0.6340954484701831	0.6374249848555835	0.6294075738041607	0.6485937576686147	0.6483338021858981	0.6291187630984021	0.6444955220466424	0.6426923584518807	0.6198361880562828	0.6318894874404698	0.6407282552725978	0.6244887735554784	0.6451228313210413	0.6490242561904405	0.6428953710527177	0.6390331214002781	0.6490490817631293	0.6412873848063985	0.649126809110407	0.6563056055042984	0.6407038212877422	0.6405155809144232	0.6263678304006085	0.650553317291958	0.6383696124332767	0.6282936118890016	0.6596733096123376
Inh	0.3118570544166315	0.31541806695284724	0.3126894766680281	0.309840340406057	0.30624111814868105	0.30394666237066337	0.30753689167641696	0.2938808908471282	0.30385061340133274	0.30499789711516984	0.3042748415309969	0.31389838262211495	0.3099668133646479	0.3100135957446416	0.3109517457133894	0.31645302335537706	0.3118564220851822	0.3146574102140237	0.3029974995995541	0.3051701546134804	0.3180243209048032	0.32353216978843685	0.31196622089514914	0.32409663597848604	0.3192002675783337	0.3179961936564763	0.29966372331358443	0.30803557427357164	0.306040306859935	0.30436110028985897	0.3078769769838837	0.30032577044024833	0.3227830501229494	0.3170995156371046	0.31664931768041454	0.32336339278492887	0.32126954466480717	0.32121372881189214	0.3207823918192651	0.31299784370484374	0.30877238157660164	0.3040807670562868	0.31149741826633476	0.31101644022899344	0.30746795008205097	0.30305661953470253	0.30404151503573335	0.29483282636943775	0.2988612408683879	0.3088520569216638	0.3136484024066023	0.30868460276302623	0.3081818112346983	0.31240937377085465	0.304785525222779	0.30807180524333166	0.3080518445328329	0.31083807280044556	0.29828180221858713	0.3132645338279615	0.30976741805949004	0.32130239021347673	0.32032500061723096	0.31898761892140504	0.31303171147558684	0.3126922299849003	0.3102430720403014	0.3258857335469261	0.3132106398430218	0.3096391665663511	0.3174629122208002	0.30964359518227264	0.3160131182545463	0.309141340033845	0.31819079934685585	0.3153063635570599	0.30776249660909916	0.3239229215825175	0.3110964558218692	0.3059029310024027	0.31609224009343717	0.3091614546615812	0.30658133343801547	0.3305560683800397	0.32164384586388495	0.3147479437848921	0.3176212465404147	0.31348893637580855	0.31257614897552927	0.31776828586114336	0.3186511681661885	0.32006694332996777	0.31757546063832715	0.3139501001016175	0.3057354334567129	0.31911731603177684	0.31151677644551934	0.3184181736297912	0.3125513521448714	0.31306044435575864	0.31712885590210577	0.30303261446253527
Micro	0	1.0418195216752024e-4	0	1.5480022269992455e-4	0	0	0.00117376830321958	0	0	8.279533288195334e-4	4.861909867849984e-4	0.0013066016881789488	3.5256591640944746e-4	6.429009465804686e-4	1.6898449445786057e-4	0.0010090951284259797	9.255840820203698e-4	3.7779637461471394e-4	0	0	0.0024041220969731464	0.0025575667875287478	0.001528011591927253	0.0029875031868161206	0.0023106422283539346	0.002798651346488587	0	5.801973748393308e-4	0	2.2196403897715988e-4	0.0015127681654371616	6.041771642407989e-5	0.0030695065488181156	0.001566001570529607	0.001481599240566428	0.0021766283315809293	0.0024410948779406555	0.0014326134539910107	0.001262758720222204	6.687730917256246e-4	6.283040780550447e-4	4.0185858992639045e-4	8.798363466581138e-4	0.001080809124875598	6.856526518647377e-4	8.705316403391228e-4	6.421723747222496e-4	0	0	6.722118971904112e-4	6.357661341553217e-4	3.5453041298616483e-4	1.538850225810129e-5	0.0012424634912811816	0	2.6910984267715377e-4	9.617455161967797e-4	9.406418596226707e-4	0	3.2278165007167126e-4	0	0.0032977534228837008	0.002654805317900036	0.002393198752733222	0.00200737246663181	0.001992923217531903	0.002499086166891762	0.0029010956527661114	0.0013943518102904062	0.0016217733851656146	0.0016375657586088083	0.0024641426398917393	0.0029509068401149807	0.001063237345884746	0.001952639375323098	0.00111092311839682	0	0.001088561403038063	0.0011882415479862601	0	5.047647626488655e-4	0.0011380003515826381	0.0011569734854764563	5.370562436786963e-4	0.0022749080835774843	0.0013284147698325588	0.001662860384266246	0.0015635448377124966	0.0014662567565679324	0.001290817804857139	0.0019914821739100835	0.0019440152542705702	9.983408528788928e-4	5.934965114423457e-4	3.9767874651874813e-4	0.0018332658727962386	0.001868071749789535	0.002315515558932585	0.0018834378513816336	0.0016693101366602459	0.0014470515680931745	5.568000077894736e-4
Oligo	0.030739144371469504	0.019377174216660034	0.013705767638023739	0.01597064820670277	0.018382149976780435	0.0198724407131341	0.018421998384448954	0.029572248202698326	0.029247738977856208	0.0122053891910517	0.024425693006993474	0.04089063018961388	0.041127528030146	0.03146364971860777	0.036070618378451394	0.014390834388743945	0.023908343335749913	0.020195946804131643	0.024972334753536954	0.023697711287947898	0.023842559736404353	0.021528949653119217	0.03884412874086173	0.03243797115251572	0.051147041464415156	0.0458215835477806	0.01973438505957291	0.019203180327194716	0.018317850285995904	0.014511929609944324	0.061207247131839705	0.0666721106984502	0.027278019670131423	0.03841966389273928	0.03692848793155774	0.04244137148973809	0.04686576861708024	0.047940237717086484	0.0474614826438787	0.05661142949040047	0.07083015924508611	0.07782662360330685	0.060465930598833414	0.06169582214262325	0.05907681287726994	0.07321284550187246	0.042054163718604834	0.04682954320532233	0.05918769444465671	0.05720425612729512	0.04507333998983241	0.05539474443784743	0.052609755773441354	0.04941207955797581	0.04789527647578249	0.04216783556656295	0.045501606924554946	0.049006140184307816	0.0627172175126058	0.050059225557704916	0.04454458368135071	0.027577785149059078	0.04138018027676684	0.027116133740266224	0.02489568339052063	0.028884941021399824	0.022401518540170723	0.019471281500631668	0.03989695804878487	0.04984536331216031	0.034177160156933735	0.04673370859322343	0.042045386212858714	0.01603721223030785	0.03348946568084724	0.042138073478764554	0.03789990242775145	0.020751759905518335	0.01888554676227934	0.028333074820821133	0.036561524558941655	0.0348617838722758	0.03623325055390645	0.025567350119727814	0.023235448496337907	0.027393082329327065	0.03598086819604901	0.02856304289051241	0.02496427021363959	0.02688603676508014	0.024477016954795483	0.014899462926112134	0.026710994485997328	0.028242047049689536	0.026735391309673742	0.02843814330127975	0.03141330861131773	0.03592011389949446	0.022176904822173785	0.0349494588788042	0.03333264564838016	0.02081806009658531
OPC	0	0.005165275138697328	0	0.0025559813607494847	0.004185219473656507	0.004917904679162172	0.0035077528468313995	0	0.002566177727843247	0	0.0026513657244164324	0.004503693099125461	0	1.490625899410597e-4	7.651514684945265e-4	0.004066353435018669	0.003498698162011274	4.414888565974079e-4	0.0011939871082626285	0	0.00676154690443459	0.006696862267580372	0.011891453591113654	0.017370226024590735	0.010199534867509713	0.012495091066226496	0.0076352644287179805	0.004684668415680424	0.0039508068895778015	0.005827403205304921	0.004545934462827542	0.00416049168181222	0.010343884166220133	0.012248147578551569	0.005202790945774624	9.35956903347468e-4	0	0	0.007309798869125653	0	0	0	0.001339292090300953	0	0.0051654896799404465	0.002988778628018149	0.003725407834551761	0	2.1810201154237596e-4	0	0.00354008410996115	0	2.090236540908813e-4	0.004722492013441923	0.0018555832682647516	0.0019156302107020684	0.0026847103060440997	2.3623390115942722e-4	0.004566389209744309	0.0031653482421599155	0.0012699128575836272	0.007824828365082026	0.005993143842010398	0.006099958267356917	0.0024785035166011993	0	0.0022169923920434542	0.003424230298017375	0	0	0	0.00449140688167117	8.747967745314777e-4	0.0027700684459551622	0.003539763053397843	0	0.004595506623250423	0.005353594974328607	0.009142987334664801	0.00917366696296483	0.004087873532663058	0.006079301801084264	0.005189470478500449	0	0.005621318116928356	0.007631512562702031	0.011651063655074248	0.002858051412601259	0.002636867376557203	0.002166919783317914	0.00666588589048038	0.0019888495919962307	0.0024918258861577197	5.091096804960143e-4	0.0022004361879074674	0.0030555345889967805	0.004948892458421658	0.005717607497036606	0.006778777358330615	0.002462653307777174	0.007604580033913552	0.002685404129042668
VLMC	0	0	0	2.6836302843988302e-5	0	0	3.1348918004248105e-4	0	0	4.2426602405246094e-4	0	0	3.501872825796837e-4	0	3.591042499619529e-4	7.763742299456422e-4	0	0	0	0	6.69920688598627e-4	9.062230045301378e-4	4.4415224648322593e-4	6.823694598687147e-4	0.0018050032394349436	5.495196846676681e-4	0	0	0	0	7.925046125578233e-4	0	0.001672832533680127	6.234842868309276e-4	0.0018031743483424428	0.0021739903225239388	0.00436014349286902	0.0019199314022188135	0.0014593680897822953	0.0022937021211803382	0	0	3.8932705171230986e-4	7.227568495741105e-4	0	0	0	0	2.5753341685529063e-4	4.0883983197617657e-4	0	0	0	0.0010443341997216776	0	2.5838293638086318e-5	0	6.578557096769688e-4	0	0	0	0.0010306510415648285	0.002171986505960899	0.0038220109303219035	3.9151734175564556e-4	0.0016706791095092155	4.371138964413962e-4	1.3717602937665663e-4	9.205030431428257e-4	6.874716406786302e-4	0	2.6813391584863677e-4	0.0019723990133839325	6.098249326030314e-4	0.0014467825714213484	7.864706456734288e-4	0	0.0023421998769700414	0	0	0.002178231829996144	0	1.9213541333053252e-4	0.0027395965025020785	0.0020940023398933194	0	0	1.3089265504705183e-4	4.244907949939175e-4	1.731411060554161e-4	3.5167675741636095e-4	5.0834553757724e-4	0.0011159455290522813	0	0	9.123477548920594e-4	6.981436064043139e-4	0.001791753679865657	2.3112202876973686e-4	6.463794487864688e-4	8.496400178431701e-4	4.6161178817925863e-4
