celltype	A-15235	B-28151	H-DC005	C-12100	B-06262	H-0C048	G-11044	A-28156	B-06247	A-11068	B-10269	E-11051	A-29008	A-26670	F-15621	G-15087	E-19639	C-99134	C-16010	C-16073	B-06421	C-15086	H-0C096	G-12088	C-03063	C-12111	A-29011	A-28739	A-29845	B-06267	B-15192	C-11112	C-16088	H-0C072	A-32591	B-10302	B-06263	E-10608	E-19663	B-06271	F-15626	A-32469	G-11059	E-10317	B-06282	B-28382	E-11053	G-10007	B-04585	B-30042	B-06268	A-32470	B-16208	B-20044	H-DC110	B-06260	F-10242	H-0C085	H-DC023	F-15669	A-26693	E-11050	B-06270	G-11021	F-15611	B-15605	E-02945	A-29594	H-DC022	F-32590	E-24635	B-06277	B-16200	A-26659	F-16253	G-11090	G-11082	H-DC029	B-10991	F-30886	G-11114	H-0C064	H-DC112	B-28832	F-16317	E-02951	H-0C730	B-28930	B-06266	A-10315	B-06239	H-0C046	H-DC040	H-DC107	H-0C084	B-06281	F-16307	H-DC092	F-30139	H-DC027	F-21801	H-0C083
astrocytes	0.10526309485049513	0.320188650442057	0.32286094927244624	0.3334642191065358	0.305138766449761	0.3334045790256165	0.20682259577311604	0.20210664681202772	0.05512042420320887	0.2251474699137486	0.14845813502361624	0.29831752636131487	0.23312527143172077	0.1875619923952425	0.11911565745467759	0.21332733878764018	0.3029482245668968	0.31643079879896074	0.2723746448002293	0.28042436327537074	0.405402159569337	0.4112773295824524	0.3505034372240259	0.49103352655360005	0.41534050574765274	0.4100562745162367	0.49233331634136435	0.3768603507658139	0.4636895989432791	0.48058931346746725	0.3535541870550062	0.3539954412666662	0.2923188482849399	0.48754059340266676	0.41590301360058096	0.4092631308506136	0.3454546076669165	0.3044736001322156	0.36066113026440344	0.33626622415925955	0.32957444591250085	0.4306251933732679	0.31055804955853306	0.4953709331508711	0.4088144859676516	0.6524549862580098	0.34808675641883036	0.4663230165771382	0.39137231917191717	0.3472111424154349	0.37195832309597066	0.42545732574658834	0.4148642940483588	0.5177737186280491	0.581494841276188	0.24819703498743828	0.5811006065139516	0.37026310009316193	0.4858871655732483	0.2427830531454686	0.10789460577339155	0.269336344643583	0.35635051243524046	0.27185889803566077	0.3695413282853048	0.51237070825157	0.3118072777983033	0.31347156011815464	0.4407435223498902	0.13121904165575163	0.24433651727960767	0.1566531271207553	0.29294940353964555	0.2812349026322775	0.3491945021640804	0.20602564864842024	0.49470242639583933	0.38459491167712445	0.3647396406216007	0.5007451679190332	0.46036700255282925	0.517667026837735	0.3079890193520934	0.5166188734396708	0.6208548534800246	0.6430918227685404	0.5540269119671881	0.18433961249676176	0.14417339108365515	0.18284614118780546	0.11769723374575987	0.5738928303640005	0.3978919644784571	0.5773433323280222	0.38729073841706246	0.6694204099611842	0.4465135956470334	0.6305923919590556	0.696906705439751	0.637802456248509	0.6156933300289391	0.5619382632567214
endothelial	0.21231615423199734	0.09374454148172873	0.09728559936782302	0.06978045410336411	0.10273354321343538	0.08822321398222831	0.0761271082779555	0.04917486343686788	0.010467912941478343	0.036601617812141926	0.03518827865920533	0.03662964180571841	0.22780450817607337	0.24186708868117365	0.025887458211142588	0.21188536471345698	0.026264581601502798	0.09363355405688202	0.08780490838292992	0.09694949307318938	0.1016181640594134	0.11094401886037877	0.09992012512741576	0.12020549716132382	0.11491854409600824	0.12772243523988822	0.12525179204526676	0.10943959627827003	0.11636570834735856	0.12326983264779888	0.09599918518584202	0.1010117134623282	0.08712290030941508	0.1280064796554657	0.11161869938019901	0.10555814575948647	0.10262178213474184	0.07625805319857068	0.11372948753300015	0.10740909622498104	0.10497114100853812	0.10469412140102165	0.08673842051420426	0.11228810702071448	0.10638543714959353	0.14551877620555514	0.20779584402701043	0.1094133978975309	0.24182667151997844	0.0892032876216589	0.10260634956179297	0.1039368477858492	0.09864777751518376	0.1292295567826182	0.12928147791182124	0.03629345808464174	0.134951880454132	0.10438471317695422	0.12138335479373613	0.05733953354747421	0.01574339574621547	0.3123790661479225	0.0945560530013695	0.1995550304591655	0.08912121405369129	0.1165598826341752	0.14609596191262275	0.0975419599596389	0.11567866870309361	0.011121049114794238	0.0735747839058214	0.23347141069319438	0.08814415039681163	0.15077546570794062	0.10079680648559687	0.06471546254760777	0.11669183056044556	0.09948817974643762	0.10634412558627561	0.12513247921960877	0.11662603628976148	0.1301906895851462	0.24858266604373744	0.14299913118490895	0.14897132785626466	0.15055955236570776	0.1428141017183197	0.05207073686148174	0.05030400418265251	0.04200625428368396	0.021633907342816925	0.13904170308416583	0.12136902683577294	0.14155802269046805	0.11076371312258962	0.15555043042876882	0.12468651549829786	0.14607647390668013	0.15292721603111034	0.13324754865127192	0.14865587388950288	0.14855058641273589
microglia	0.026163006134997963	0.04147303992750268	0.08664371538632787	0.0010975309146574763	0.04897666934471294	0.038952895905825305	0.055822346726145944	0.002224873916991914	0.001276178976452875	0.0026264546043827447	0.0013189546665514362	0.0030618147180113513	0.02621082441466984	0.022791785935984712	0.0019002724624753652	0.03254737136065837	0.003900715360456147	0.05677939415835896	0.07794303413555274	0.06656303158837401	0.04354167181496613	0.09961616473273317	0.06236380795572235	0.06189121785720671	0.07402994838068572	0.08523017654755675	0.04182717958852548	0.02126120769242989	0.025785787169956404	0.06584613064191161	0.05013520022434768	0.05296650353472081	0.07224442035419042	0.04594906962643703	0.03485463296191488	0.03290597733100135	0.044222048449857006	0.0748424547253845	0.03708914071618732	0.04367643894463173	0.04207464160285169	0.0334778669361542	0.027228816350855008	0.08964458816955855	0.05051278896398119	0.054352489728905835	0.047516071418386006	0.05154763522561287	0.051775590433942364	0.03812765401564299	0.03170049082163062	0.07244726927139528	0.05124583121759255	0.06345946884113446	0.0566970622735582	9.749141180390679e-4	0.04480267943038441	0.03724055956644292	0.05133002304661314	0.0019958948433335365	0.0018680573981452494	0.017777996011435516	0.03962092726306335	0.06488540727965467	0.005169111546845013	0.0358976505094209	0.03013739386772295	0.034802826183757185	0.042219527613168426	0.0019469020269088442	0.019980554793754577	0.022659344309715994	0.044807504224176134	0.03676295401506719	0.06095403360652693	0.05507571842417431	0.04687013672646295	0.06060804739106859	0.058679374928951436	0.05091250922444621	0.06585323073140592	0.06258645806759319	0.028642358353105305	0.04065161928502688	0.05602714951298377	0.05032662447910629	0.04546073895810476	7.862869514810972e-4	0.00510071138447917	0.0014216824053255642	0.002791166765675082	0.06409315137743464	0.049059463531032785	0.04701208405768357	0.021863775680412638	0.03703196853945668	0.024320286289213768	0.06386674604384841	0.04605496885188067	0.049650833435348395	0.03505127985283762	0.049227591588670426
neurons	0.5487345526127814	0.4397774870701955	0.39659765870136193	0.48601207632635407	0.4511347091989871	0.45837655176741027	0.5554846586393736	0.6420622820653022	0.7714015830248274	0.6169870298460083	0.7050661295339605	0.5349423624650547	0.41043563581057985	0.43801655305456	0.7307586138842483	0.4438215638513615	0.5466139967522606	0.43934341558542966	0.4589957662258704	0.4504681681072273	0.3548902195269846	0.28106028391282617	0.3905689310474184	0.23423595159821944	0.30747289561069646	0.26075053971072876	0.252335294019997	0.39000226960933965	0.2996481762471366	0.23540355043189642	0.4031639012515317	0.388768621251601	0.44653724702253994	0.24229553579772095	0.3435248527523947	0.3625085937096887	0.4092076810022162	0.4479704143443883	0.3865631986179242	0.40749996160634483	0.4220340104762707	0.35073941755424703	0.477570698346278	0.2202561057812771	0.3437672648227144	0.07301444177641822	0.3111253803467099	0.2917320407039268	0.23364052310138192	0.4210205866730244	0.38996832404984305	0.3059363659328019	0.3508975173052538	0.2095619840671262	0.15674021589245948	0.5704026049889442	0.1652754039148605	0.39858818282487307	0.24869194579014325	0.5595098663307976	0.7351539740810702	0.30894677338794957	0.41788798614952655	0.3683037545866069	0.4426916501550062	0.24496938781555044	0.42198459099152746	0.4590010826970279	0.31740356744289894	0.6848564443397998	0.552556966467831	0.4769408227114484	0.47911022941270076	0.4330675960789555	0.39633848945334577	0.5727616751158473	0.2574293418430403	0.36321724776288766	0.37549333830995946	0.23716273064027135	0.2737890815030467	0.2049606396008515	0.3270181071419214	0.2113508503164098	0.09417859014317594	0.07269170011277652	0.16458042728389655	0.6601691663884245	0.6900548302433991	0.6613026633615564	0.729085002943019	0.13973855338705743	0.3419928042071988	0.1572768922331788	0.3844491871890672	0.04995165304696626	0.3058254010709368	0.0779404402815798	0.033023458832633516	0.09690269815671615	0.11878961797700624	0.16027259697486534
oligodendrocytes	1.8157392545710576e-4	4.3853039584528306e-4	0.018916493982560692	0	0.0037933000868725208	0.007706679574912598	0.004541586806297718	0	0	0	0	0	8.371695930376567e-4	2.8646305752756185e-4	0	9.999844926548759e-4	0	0.00819526433893265	0.00419783799245825	0.01323240440482866	0.016607940438975528	0.033216937225158706	0.017633204107884496	0.02151795349165235	0.019807644503865962	0.043162760001518724	0.004042399937058799	0.012228648295057208	0.01596073229381755	0.018657063313036723	0.00957168189577682	0.015407488829668966	0.01654709176074795	0.015954756648417855	0.009041204227179321	0.004999604857598709	0.0083398971367873425	0.014230490816241287	0.018916483265238898	0.015377412852575293	0.009426809232770532	2.7865468511238743e-4	1.765892776364308e-4	0	0.001167534185253594	0.0036405311027284106	2.961192147645682e-4	0.004796341403476945	8.117057028887029e-4	0	0.0012297255765640878	0.012266026109390187	0.0043187249083286965	0.013385510598146976	0.012909458084622162	0	0.0023432629505163206	0.014005348685840621	0.003123882314712289	0	0	5.021156792675749e-4	0.0029874402166604657	6.688620019888247e-4	0	9.376310176803279e-4	5.577357692713132e-4	0.008554745172969246	0.005360689701530351	0	2.0334860765982066e-4	0.0013461455983435138	0.0036312110712334884	3.755138797322271e-4	0.002062230372401349	0.0034242140210883195	0.006034551961312587	0	0.003788702064491716	0.0028583480230955486	0.007615559853752169	0.006188299549740912	9.291193398171092e-5	0.004271875140133732	0.003413912229722013	0.013162957022228989	0.027463201802386504	0	0	0	0	0.008666447598612152	0.025175443702054885	0.011130801535672237	0.0010117731495351218	0.00768073000867701	0.003542138305756491	0.0221951311936701	0.0035652479408733607	0.01399357721900939	0.008498365389727926	0.006031727955901244
OPC	0	0	0	0	0	0	0	0	4.6975975520479566e-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
