celltype	G-11044	A-28156	B-06247	A-11068	B-10269	A-15235	C-12100	B-06262	H-0C048	E-19639	B-28151	H-DC005	C-16073	C-16010	C-99134	E-11051	A-29008	F-15621	A-26670	G-15087	A-32469	G-11059	B-28832	F-16317	E-02951	H-0C730	B-28930	B-06266	A-10315	B-06239	H-0C046	H-DC040	H-0C084	H-DC107	H-0C083	H-DC092	F-30139	H-DC027	B-06281	F-21801	B-06421	C-15086	H-0C096	G-12088	C-03063	C-12111	A-29011	A-28739	A-29845	B-06267	B-15192	C-11112	C-16088	H-0C072	A-32591	B-10302	B-06263	E-10608	E-19663	B-06271	F-15626	B-06282	B-28382	E-10317	E-11053	G-10007	B-04585	B-30042	B-06268	A-32470	B-16208	B-20044	H-DC110	B-06260	F-10242	H-0C085	H-DC023	F-15669	A-26693	E-11050	F-16307	A-29594	H-DC022	F-15611	B-15605	E-02945	B-06270	G-11021	A-26659	F-16253	G-11090	F-32590	E-24635	B-06277	B-16200	B-10991	F-30886	G-11082	H-DC029	G-11114	H-0C064	H-DC112
astrocytes	0.27874121642717664	0.4764616715099426	0.41222552960081743	0.40536157912771786	0.49869978158100375	0.20559692995868453	0.29639873369796355	0.24278446435756407	0.427301787914248	0.5078027497331705	0.3222566589931876	0.29616697031286315	0.33681504145747154	0.4058200210248411	0.41396429662522705	0.39218561385839895	0.27217333960301426	0.25681529232411404	0.38614986018908665	0.422901361461294	0.9164467349260046	0.6760747128126853	0.536252330979626	0.31209294430016093	0.3097508128141145	0.31340841320157115	0.365778069169492	0.4519261757057858	0.3504426326344649	0.36348472811147137	0.4765018265382815	0.4030885829720845	0.7186211921247099	0.5674034704716899	0.6657949740482598	0.4346282610594786	0.6036051248982657	0.42757719911108416	0.3879617467505176	0.3874514433103197	0.2957282637004928	0.30855087495230676	0.31464049313354386	0.34077331236760633	0.3733659196711117	0.22531518505337905	0.2485194789103769	0.2772201208700589	0.31725196490858504	0.2212354569239704	0.4279568769890891	0.3287022597192748	0.32626134061561	0.24666154518020728	0.34774259898012516	0.3252026953559078	0.23938076748251796	0.33572806170410646	0.25752722859121513	0.2440544259393371	0.1859010194996304	0.49318094730524	0.4801827748698486	0.6838259051678696	0.3735173249104302	0.4588052433611955	0.40186493996248773	0.3016103101335674	0.47462133300175274	0.38245487572628073	0.471680854922537	0.3387265850688015	0.3949830264568155	0.27823911081765	0.44194276335611554	0.3650160091514621	0.38735693011075073	0.44627709291979334	0.6440234842904516	0.4272833982310206	0.4779546921946711	0.3403658348454502	0.4560747659332284	0.2987926801385846	0.4563875500988208	0.5072181293866854	0.5622224264991366	0.5128548822705584	0.4292035765551016	0.38136215269769214	0.4468134573515596	0.5564685164886696	0.4447900785066017	0.29967391630177775	0.38588136127660166	0.3677594279035417	0.42890560398850064	0.4003099675470438	0.4349729345907168	0.431277025171889	0.4358550431964465	0.5810012658297812
endothelial	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01064019794344408	0	0	0.01610511586099907	0	0	0	0	0	0	0.01878992868884073	0	0.01916553897544758	0.01426240584185643	0.02397318789593192	0	0.00822794974551373	0.03677665121555891	0.0193760136022576	0.041950123326979	0	0	0	0	0	0.00634291177064845	0	0	0	5.368287062458e-4	0	0	0	0	0	0	0	0	0	0	0	0.04060057988535178	0.04981183601398625	0.0949558679358446	0	0	0	0.01350714106661523	0	0.01045338563644129	0	0	0.02986795055313402	0	0	0	0	0	0	0	0.00988634857844912	0	0	0	0	0	0.01626660842962128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
microglia	0	0	0	0	0	0	0	0	0	0	0.00421152382777231	0	0	0	0	0.00410671839028557	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00149831887444785	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00262789303821339	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.2973671529207e-4	0	0	0	0	0	0	0	0	0	0
neurons	0.5988635035210933	0.4837880682603921	0.5743289493547374	0.5707402963183111	0.45569420103296737	0.701934886046507	0.6626387084678572	0.6444635750754202	0.4613444360618584	0.4902522475483742	0.5396468536022615	0.4490567338806432	0.41979061042290927	0.4670976649908229	0.426477203381132	0.5809990941473435	0.6422492404177726	0.693650413560452	0.5070654992302702	0.49144443068554183	0.01615944378717351	0.21772385849276085	0.20651653453364233	0.4018009296250889	0.2814095553482507	0.2212025007282361	0.5714831050806389	0.4971880773488359	0.5878994467219363	0.607262499596719	0.25128385867535297	0.2498123873689211	0.14713132705428855	0.10354798670096615	0.0642905431505067	0.22355620616891425	0.15275610424754135	0.2606403197625424	0.19862858199016903	0.0952605563646574	0.4255064720184175	0.2459791563307294	0.44376511001490665	0.284797135041546	0.2908151796939002	0.24579003301252364	0.5668718553283442	0.4410349154535172	0.374744734485483	0.34401931962251736	0.367069135023113	0.40215981441936904	0.42417652992015537	0.41799153555344726	0.4409456261230693	0.520041857374344	0.57618068417623	0.5035136555313514	0.3923484418151069	0.4898966082707846	0.5900693779966208	0.3254335041052022	0.21718003182725112	0.1459350890255995	0.5422519597117875	0.396996495416349	0.490674142004748	0.5988604798809027	0.37753263566431267	0.34068243738925974	0.3960882256151334	0.350185864401642	0.2801066768033152	0.6828254282038215	0.40980497704200425	0.38608488294303595	0.45120897546689576	0.4147497434322767	0.31640879549906487	0.4697656202597389	0.29341113012114084	0.4661616810465142	0.3804780067576645	0.5976701173622387	0.4272536330377752	0.41930686681623863	0.24467212327539273	0.3998999957539947	0.4857623778098485	0.5464274016453401	0.39311727603015706	0.4356151491274603	0.4660963808268545	0.6258461178153066	0.4809314119252802	0.4896861600295759	0.44127971279733785	0.3421106590740874	0.5013768217506792	0.37886046235896137	0.3887779313430015	0.351825764290348
oligodendrocytes	0.12239528005173012	0.03975026022966523	0.01344552104444525	0.02389812455397092	0.04560601738602874	0.09246818399480844	0.04096255783417923	0.11275196056701578	0.11135377602389368	0.00194500271845523	0.13388496357677854	0.2547762958064936	0.2433943481196192	0.1270823139843361	0.15955849999364094	0.02270857360397206	0.08557741997921312	0.04953429411543396	0.10678464058064316	0.08565420785316433	0.05675362334337778	0.10620142869455391	0.2572311344867316	0.2700010102137512	0.4088396318376348	0.4653890860701927	0.06273882574986904	0.05088574694537816	0.0616579206435988	0.02925277229180967	0.2534243860975247	0.3470990296589944	0.11508194184555412	0.31478613698548746	0.24594129490530164	0.3418155327716072	0.2354108211086791	0.27500582991081457	0.3940336576570557	0.475337876998044	0.27876526428108955	0.4454699687169637	0.24159439685154943	0.3744295525908476	0.335818900634988	0.5225518701634488	0.18460866576127896	0.2817449636764239	0.30800330060593184	0.4342083947472666	0.204973987987798	0.2691379258613562	0.24956212946423464	0.3353469192663455	0.21131177489680544	0.1547554472697482	0.1844385483412521	0.1592599638900942	0.3501243295936781	0.2660489657898783	0.2240296025037488	0.14078496870420595	0.252825357288914	0.0512995942775271	0.08423071537778226	0.14419826122245544	0.10746091803276436	0.08602206891891469	0.14784603133393454	0.26640930124801815	0.1322309194623297	0.3110875505295565	0.2950423461867352	0.03893546097852837	0.14562436656366692	0.24889910790550196	0.1614340944223536	0.13897316364792986	0.03956772021048353	0.10295098150924056	0.21874782910573895	0.1934724841080357	0.1634472273091071	0.10353720249917656	0.116358816863404	0.07347500379707583	0.17683884179584952	0.0872451219754469	0.08503404563504996	0.07221044565696776	0.1600692666182834	0.00708659766857821	0.08911354066654378	0.0744799658829157	0.13318722679811815	0.1425544120668825	0.12981468321416142	0.2575793733788687	0.06365024365860393	0.1898625124691497	0.1753670254605522	0.06717296987987066
OPC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02398354359315922	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
