celltype	A-15235	B-28151	H-DC005	C-12100	B-06262	H-0C048	G-11044	A-28156	B-06247	A-11068	B-10269	E-11051	A-29008	A-26670	F-15621	G-15087	E-19639	C-99134	C-16010	C-16073	B-06421	C-15086	H-0C096	G-12088	C-03063	C-12111	A-29011	A-28739	A-29845	B-06267	B-15192	C-11112	C-16088	H-0C072	A-32591	B-10302	B-06263	E-10608	E-19663	B-06271	F-15626	A-32469	G-11059	E-10317	B-06282	B-28382	E-11053	G-10007	B-04585	B-30042	B-06268	A-32470	B-16208	B-20044	H-DC110	B-06260	F-10242	H-0C085	H-DC023	F-15669	A-26693	E-11050	B-06270	G-11021	F-15611	B-15605	E-02945	A-29594	H-DC022	F-32590	E-24635	B-06277	B-16200	A-26659	F-16253	G-11090	G-11082	H-DC029	B-10991	F-30886	G-11114	H-0C064	H-DC112	B-28832	F-16317	E-02951	H-0C730	B-28930	B-06266	A-10315	B-06239	H-0C046	H-DC040	H-DC107	H-0C084	B-06281	F-16307	H-DC092	F-30139	H-DC027	F-21801	H-0C083
astrocytes	0.010996091876107181	0.11411866377308413	0.08921729926000539	0.12029199869453154	0.08305909439618656	0.1070587004370305	0.04991529687279272	0.09842843671158293	0.04933139047858245	0.08492146525674296	0.08973183089658636	0.09310758164168481	0.07698310868830788	0.0789237143305299	0.05409184290114117	0.08661989860111444	0.11149747792602578	0.09339749368925528	0.08671253284708455	0.08456321502768778	0.10227984980448819	0.11320415717721458	0.09928638853756987	0.1250273345296873	0.11642790500705887	0.09320282885534409	0.10911183860326736	0.09154175141561642	0.11282438109879679	0.1062662978321475	0.10729034350304453	0.10373913951174332	0.08137864576501007	0.10681193920082666	0.11561323879061089	0.10980891402697082	0.08239902831855107	0.0889836893079715	0.09500012850434368	0.09037653237668562	0.034441922417315723	0.32167154052244523	0.17202212106524012	0.2238840687293426	0.1549397426101641	0.20113632661444167	0.10964874652479026	0.1280635760179669	0.11826213931641696	0.10011562553572567	0.11306012447972696	0.11175150583964841	0.11436240134594941	0.12113228983604293	0.15690426810939237	0.10591399612048145	0.16060181818520053	0.11368056530415956	0.13538556218772177	0.12691269592744178	0.11131709402719496	0.12176326219460536	0.16333654747579704	0.10795511444011568	0.1534570727339466	0.19104733517414016	0.10830616876421316	0.11099818749754535	0.13339047788620045	0.09787137399140995	0.09938378478707213	0.0537831542754442	0.10512385213556315	0.10898639171155343	0.08637137197246271	0.11824150094328813	0.1571438943217881	0.11845087694276137	0.10916785911821072	0.13202795977772874	0.12671058445439876	0.14699002876491826	0.1447920619846497	0.18625845270299674	0.1875157308123499	0.149291708128841	0.14834423007831077	0.08399879134652705	0.08175873865722157	0.09677012169088728	0.07439552995008357	0.17283345132448955	0.128551108228977	0.20723315956327998	0.2039632190569627	0.22032901860785903	0.1683326662029662	0.22387616065919097	0.29002054781858383	0.24166532656899944	0.2027623541495317	0.21594240359747682
endothelial	0.013682677126568486	0.008939113637990685	0.021745763386565576	0.033808693926527536	0.011340511219969667	0.008117716360323884	3.305289429065134e-4	0.01156644420783423	2.9740360371788147e-4	0.02347834164139486	0.0025566998329086977	0.021382612938419813	0.008302519566506919	0.001970553547119665	1.354284394917355e-4	0.0022934730714403613	0.03214513286281081	0.005343909052013647	0.002975747531540746	0.005857494887675592	0.00483637236470447	0.00553126809859243	0.02116190470957422	0.009478104034402723	0.012103708037964034	0.005499037351515931	0.016559075197465245	0.0055585884417682354	0.014056147147607202	0.007346635233907569	0.0019501648137317225	0.006255841414174624	0.0032750693218706528	0.01741723010546702	0.013497480004598517	0.01153943665346418	0.010436614552234026	0.0056436477541421965	0.007208819445939162	0.008795134296378326	0.0025481637598145225	0.009634057654059662	0.06008078220484654	0.11242825619184303	0.020313614519526492	0.045256333727580554	0.023774240927044055	0.023856388796153583	0.020114233241954924	0.015600702038074623	0.04219765697459298	0.013152825339030574	0.026013627669667118	0.016651647514911452	0.03168189690325668	0.045748973529729814	0.04419091514122009	0.032380667122275233	0.06667223170163589	0.045523984479090444	0.004038880121884113	0.005013607972566781	0.0359560340176754	0.01816778824526503	0.08164776457774738	0.029237628368087142	0.007280767680366846	0.014130774160352648	0.024138387742794334	0.02791380009891715	0.006009973261308617	0.003117914204300247	0.011167173705351967	0.02299943264771087	0.01684537014891434	0.012932711707811247	0.021089512366379806	0.03179218417460563	0.015582431366536822	0.021859786799617722	0.0176632930264089	0.03194182713864849	0.01178726459023178	0.01455604153715446	0.03500356274302712	0.031080065926975573	0.0135140404361783	0.0038412657249585432	0.005029824522216265	0.0011411634826943794	0.0017968054962234443	0.02535736435638755	0.013985609507686951	0.032108937429514164	0.07377947059783654	0.027886242626477035	0.05882028783874891	0.04254362530013922	0.12375664698703548	0.0457758248174927	0.05828299302556153	0.09235605738301773
microglia	-2.0252828880608697e-20	0.008437129886449332	0.006143748975091658	0.006194747688116139	0.0033343468951756495	8.75670197257027e-21	-7.564117097134046e-20	0.026551484792723606	-1.7426687453270127e-24	0.02268065303462722	3.920724962389368e-21	0.029342930108641845	4.6379330455533765e-4	1.8424713771922562e-21	8.152763620023882e-21	1.1501980463768071e-20	0.04141689669619424	-3.362359826804047e-22	0.0012404557351790328	-1.5096399749916143e-20	0.0011337203250919926	0.0047712140820957835	0.012138515276879824	0.0042061555697619196	0.004685111700508882	0.004257231230979572	0.003667783194672315	7.759849759275093e-21	-4.716014122340072e-21	0.003058602219550055	2.6328114672173772e-20	0.0010986516726000388	2.667928425949013e-20	0.0016273490330720236	6.5071566229173084e-6	5.866455735628798e-4	0.001025930932339605	-5.704091819491241e-20	1.0528952227391697e-7	5.234502395090025e-4	1.2432692598586606e-19	-5.4790200486863965e-21	0.018709475630920056	0.07654137264141625	0.03355933095436768	0.042127332324822325	0.025391938632366287	0.023460057510277427	0.0468874227158865	0.05354556227306127	0.050093816699537864	0.010813781482394803	0.013312824213647231	0.025368940905026283	0.017311176599200784	0.0058482247491655264	0.018005997160259187	0.001893302702723038	0.00975855487936407	1.961054416036879e-4	-7.832241222362069e-23	-2.998662226344825e-21	0.007068130982004154	0.01570243909762652	2.333236727035504e-4	0.0060297500030242115	0	8.196659431403752e-4	0.004591369240639486	0.034812165673470896	-4.505615772575561e-20	3.695083043484544e-21	0.0020188150369550577	0.004944054909080442	0.013465429846285295	0.0038123952736273886	0.008375107074670703	0.015168681522510713	0.012884546600504285	0.008365752358018666	0.00846966753766315	0.007751150697584069	-3.7774926990450445e-22	0.003163350538274509	0.035247335799858226	0.0188314985798964	0.004046034298268104	6.651974649963344e-20	-2.232543213864876e-22	-9.412820513768314e-21	-2.9556677905421333e-20	0.005494475566930103	1.0311189603335192e-22	0.001803056954952624	0.030075299242761706	7.468061469835293e-4	-1.36525343992464e-20	0.007702877951408645	0.0035866030342546176	0.00486630670517295	4.1318304808293457e-4	0.0072543796283755825
neurons	0.9213985829600823	0.7149747630716005	0.6006777760842495	0.710080909480742	0.7821799308973544	0.811983352866297	0.8967731416712831	0.7796519979625498	0.9499487458026054	0.7962814250186138	0.8980675889638223	0.7757315833103217	0.8271070731583957	0.8655823951779411	0.9331523973366982	0.8707109684898409	0.7487982809782422	0.80965764408435	0.8406955283860102	0.7462421013468524	0.6085440143189029	0.44908559797858666	0.6409677174455256	0.4586705721389554	0.5360023924138424	0.3733862646388911	0.6245148697459055	0.6707174975908339	0.5303641028383103	0.4369875506129235	0.7725080168688152	0.59114728495844	0.7397307169812564	0.5088749616830334	0.6262182602038268	0.689002362986168	0.7082328462321833	0.7852639083850085	0.5507945027683864	0.629681614513407	0.7970234590159773	0.6298057842294554	0.5812688030031529	0.49778670600973157	0.5890369403861702	0.34371931189603777	0.7287855215518004	0.6469947465134507	0.6298943089088832	0.7401898854731521	0.5740171452158235	0.5965040592185132	0.6937367404201896	0.5017970973536567	0.42820394056318306	0.7814326699861995	0.5708808313297447	0.5751056590492979	0.6239197148164798	0.7415499198554654	0.8743065763396122	0.809850599473527	0.5338317204423053	0.721737320973699	0.6412316783758769	0.5947713981307571	0.8464174446008395	0.6384170073841141	0.6036104050536465	0.775975498581626	0.8431882221851527	0.911748620396147	0.7385421530573252	0.7468218546949956	0.7461895921390513	0.6811988442530016	0.4981734280397364	0.701346214404794	0.6726882873160434	0.6408303143230267	0.6132214998495729	0.5498775730962137	0.8003460910888655	0.5844170447279762	0.4158276270963417	0.2449238209088289	0.3448310896284855	0.8778908682262904	0.8918966899837162	0.887325428504714	0.9133039360360113	0.4126458193111241	0.571314288818444	0.35368612888757067	0.49507299909121355	0.25688569138119377	0.5505584764237547	0.23287857275165064	0.24333808061669696	0.30220962641035726	0.35118544857045497	0.39365287271070687
oligodendrocytes	0.05392264803724196	0.15353032963087535	0.2822154122940878	0.1296236502100828	0.12008611659131367	0.07284023033634854	0.05298103251301763	0.08220703148477328	4.224601150943132e-4	0.07172616970490055	0.00964388030668264	0.08043529200093186	0.08714350528223423	0.05352333694440934	0.012620331322669006	0.04037565983760439	0.06441813365042791	0.09160095317438109	0.06837573550018543	0.1633371887377843	0.2832060431868124	0.42740776266351055	0.22644547403045048	0.4026178337271926	0.33078088284062585	0.5236546379232694	0.24614643325868962	0.2321821625517814	0.34275536891528574	0.44634091410147136	0.1182514748144085	0.297759082443042	0.17561556793186292	0.3652685199776009	0.24466451384434093	0.18906264075983406	0.19790557996469196	0.12010875455287787	0.34699644399180857	0.2706232685740201	0.16598645480689242	0.03888861759403963	0.16791881809584036	0.07797632972096047	0.20215037152977167	0.3520049153650235	0.10866759422970931	0.17762523116215148	0.18099062762869905	0.09054822467998633	0.21649500693785018	0.2677778281204129	0.15257440635054656	0.3350500243903625	0.36589871782496725	0.06105613561442363	0.20632043818357554	0.2769398058215442	0.1642639364147985	0.08581729429639876	0.01033744951130874	0.06337253035930092	0.259807567082218	0.13643733724329374	0.1234301606397255	0.17891388832399138	0.03799561895458052	0.23563436501484758	0.2342693600767193	0.06228753829023328	0.051418019766466566	0.031350311124108486	0.14314800606480454	0.11624826603665961	0.13223857687177024	0.1838145478222716	0.315218058197425	0.1332420429553283	0.18967687559870475	0.19691618674160816	0.23393495513195636	0.26343942030263545	0.04307458233625307	0.2116051104935981	0.3174184672055332	0.549288376661549	0.4892646055587573	0.03426907470222408	0.021314746836846	0.014763286321704424	0.010503728517681627	0.3836688894410687	0.28614899344489186	0.4051687171646826	0.19710901201122544	0.49415224123748663	0.2222885695345303	0.49299876333761045	0.33929812154342914	0.40548291549797777	0.3873560212063689	0.290794286680423
OPC	-3.8117228486199436e-19	7.363003970094133e-22	-2.5685786273679536e-20	5.292424381169288e-20	-4.418699053066507e-21	9.021521310118679e-20	-8.390196414079653e-19	0.001594604840536123	6.884865524647492e-20	9.119453437205456e-4	3.3081929051977004e-22	-3.955207363296743e-20	3.8114817973829134e-22	-5.696209896422923e-19	4.81148197364854e-19	-6.781498947574947e-20	0.001724077886299071	-3.387291238369265e-19	-2.6930141276650036e-19	-3.196093148291739e-19	8.959718225353176e-22	3.367413133756544e-22	-1.7606151925954776e-19	-8.821668936534096e-20	1.7031387811303624e-19	2.9315773743162212e-22	-6.379282321878711e-21	1.074931472778661e-21	5.744506465566605e-20	1.6804820501503706e-20	5.611793038065219e-19	-2.4566287558209715e-19	5.748986963085483e-21	3.627158608419848e-21	-1.1102151141821924e-20	1.1259098628611562e-20	5.0033518871268203e-20	-3.049043316317339e-19	-6.599970665513926e-20	5.266006361474936e-21	-2.1939133370754087e-19	5.106688602598773e-20	2.586231763632254e-22	0.01138326670670608	9.283514369954558e-22	0.015755780072094234	0.003731958134289635	7.502038105174274e-23	0.0038512681881592227	-3.213544203010541e-20	0.0041362496924685094	1.0056311510851187e-22	-7.01705505567605e-20	5.375001516514616e-23	9.308625442486721e-23	-2.1079045657843266e-19	-3.8773552484189105e-21	6.789505344581634e-22	-4.498812299009011e-20	1.0418692115123906e-21	-3.7502806518743807e-19	1.9958153458298934e-21	-6.21072438337517e-20	1.155491400187406e-21	2.851253989547558e-21	6.549027859906823e-22	-2.8623088560456703e-19	9.715385960561683e-20	-7.709152394391322e-20	0.0011396233643427543	3.1166262767019695e-19	6.524105250887739e-19	2.376663489873515e-22	-2.160316852057862e-20	0.0048896590215159914	-1.305980209940331e-20	-3.891746728275859e-22	-5.622038528388963e-21	1.354614753174375e-22	3.5524605558011556e-20	9.69172121332506e-23	1.7443174217410576e-22	-1.3268881543289497e-19	-8.639038122818431e-22	0.00898727634288984	0.00658452979390926	1.3461034244809662e-21	2.330107007875077e-19	-1.5841503203321482e-19	1.9406353508766555e-19	6.960861611354501e-20	-5.4189229747389614e-20	-4.0692871720585304e-19	4.315466377609114e-22	-2.2550405573628675e-20	1.1946559640706827e-21	1.690000936009766e-19	-4.335585785868035e-21	-7.664393657279388e-20	-5.177104596890814e-20	8.196748178055113e-20	2.178625026028639e-21
