	OPC	astrocytes	endothelial	fetal_quiescent	fetal_replicating	hybrid	microglia	neurons	oligodendrocytes
Astro	0.019529861340584223	0.5060870803781218	0.05853152613301208	0.019961629974857748	0.062401747882847684	0.08619379686239662	0.002222258311340034	0.08398113085992134	0.008899440466787705
Endo	0.20141886781753077	0.09347867046038946	0.4607475485546696	0.018336717595708967	0.01966695055883811	0.10627330954191944	0.5124133524506216	0.07232091095500069	0.024196467687703598
Exc	0.06917274569161332	0.18144326719149506	0.08820716930533504	0.03646689799535071	0.021859120568001527	0.08001991693066868	0.005427229404993596	0.11779456150717604	0.03344907389674675
Inh	0.14089997190451609	0.09064768652837993	0.08344607532535744	0.1226587753254808	0.11998559342544539	0.37915107446856466	0.0020613319007048896	0.3821678426088323	0.07623113646487072
Micro	0.1810653923907139	0.07606019826577226	0.31035404515597487	0.0020735782178604627	0.00220331602913033	0.08447721803801662	0.7039043361120433	0.051069548363887766	0.0035553653608684224
OPC	0.4760382207222076	0.1270063662425408	0.13446755616789602	0.1330560096188269	0.14138840833570845	0.1615433418243621	0.004052549586878026	0.10054606168458895	0.06484275312009276
Oligo	0.14015035239753165	0.06625287756622406	0.1418232661141769	0.01963104116728186	0.02266656450419491	0.17538697951457613	0.05944176996984486	0.0720446401420692	0.8008965274572546
VLMC	0.27565932695515283	0.08817326228061007	0.19584337538447275	0.005531421187341913	0.020172587924671127	0.08289019875505156	0.0041345197436055605	0.03958175487903633	0.036590541887275695
