	OPC	astrocytes	endothelial	fetal_quiescent	fetal_replicating	hybrid	microglia	neurons	oligodendrocytes
Astro	0.00849504935409148	0.29112093036462905	0.01926002135712201	0.010970903152053775	0.02095403276680775	0.04551733334484258	0.0025163483454742094	0.040127257014703446	0.006405624141128276
Endo	0.07234623054433441	0.03411700394627678	0.17405609865494057	0.007761420966228241	0.008989348413075504	0.03998534280433207	0.14769827631495464	0.02898690428292882	0.015556129674017226
Exc	0.026088621764188843	0.07024857836158391	0.0318445864151987	0.015243484993391298	0.00909451016825111	0.03274261751522896	0.0032016214460662516	0.047842793236546964	0.011949486370339964
Inh	0.042522096923064495	0.027955457195315066	0.02707788741273371	0.03366669902749826	0.033238784583489556	0.08982358960836842	0.002672442596477582	0.098957222724842	0.021921241958863164
Micro	0.07483676826387667	0.031097175336598924	0.10160789303279986	0.0019990508219589207	0.0027785806972937953	0.0407458414938901	0.28587046075873934	0.026993350411337675	0.010071884096326304
OPC	0.3004704755977129	0.044611847622435634	0.06840357451038495	0.037185747035276065	0.045618952114394914	0.09221207246962566	0.002820446128439318	0.047713559250417925	0.03498274125869475
Oligo	0.06177679380292003	0.02942462284355609	0.06507411507698228	0.009782996699981984	0.011113543057439931	0.07713241324122497	0.028208772096821523	0.02875924717060161	0.37468104703075894
VLMC	0.10028896896212036	0.0587534585708884	0.11005001190541867	0.0026872879700317776	0.00696565155655739	0.03455241284059594	0.0030167488645927634	0.016644308801066602	0.02145649297094529
