	OPC	astrocytes	endothelial	fetal_quiescent	fetal_replicating	hybrid	microglia	neurons	oligodendrocytes
Astro	0.008495049354091481	0.29112093036462916	0.01926002135712201	0.010970903152053776	0.020954032766807747	0.04551733334484258	0.0025163483454742094	0.040127257014703446	0.006405624141128276
Endo	0.07234623054433441	0.03411700394627677	0.17405609865494057	0.0077614209662282396	0.008989348413075504	0.03998534280433207	0.14769827631495466	0.028986904282928817	0.015556129674017222
Exc	0.026088621764188843	0.07024857836158394	0.03184458641519869	0.015243484993391284	0.009094510168251108	0.03274261751522893	0.003201621446066251	0.04784279323654697	0.01194948637033997
Inh	0.04252209692306451	0.02795545719531504	0.02707788741273371	0.03366669902749829	0.03323878458348954	0.08982358960836843	0.0026724425964775823	0.09895722272484199	0.021921241958863167
Micro	0.07483676826387668	0.031097175336598927	0.10160789303279988	0.0019990508219589207	0.002778580697293795	0.04074584149389009	0.2858704607587393	0.026993350411337668	0.010071884096326304
OPC	0.30047047559771295	0.04461184762243564	0.06840357451038494	0.037185747035276065	0.045618952114394914	0.09221207246962564	0.0028204461284393185	0.04771355925041792	0.034982741258694744
Oligo	0.06177679380292004	0.0294246228435561	0.06507411507698231	0.009782996699981982	0.01111354305743993	0.07713241324122498	0.028208772096821516	0.028759247170601607	0.37468104703075894
VLMC	0.10028896896212038	0.058753458570888394	0.11005001190541869	0.0026872879700317776	0.006965651556557389	0.03455241284059594	0.003016748864592764	0.016644308801066602	0.021456492970945287
