	OPC	astrocytes	endothelial	fetal_quiescent	fetal_replicating	hybrid	microglia	neurons	oligodendrocytes
Astro	0.030955726913507526	0.5555374079533926	0.10345141327965053	0.03211450105049109	0.07889883973095704	0.11288254667533679	0.007216499267971705	0.12156238017346953	0.02519998955051507
Endo	0.25598460703383213	0.12938146128140865	0.5707604532671224	0.027894551655326904	0.02880883902812862	0.16369198288705322	0.6107228612005408	0.12501578446196107	0.043567170674296364
Exc	0.09716997276187067	0.2164067673739795	0.12347134535899515	0.05003076029250571	0.03608696838459107	0.1058985502278888	0.009028545031589483	0.15350406784224155	0.048929883135817046
Inh	0.2495564477213025	0.1404961001244577	0.13830928172258822	0.21410552970116248	0.21492566492980336	0.5076235898745334	0.005515964192943436	0.5022851770945488	0.10712470191802026
Micro	0.2496357340972603	0.2078309791086339	0.430842916136462	0.008393398646107213	0.008716074500610264	0.12945747908772418	0.8253949209007515	0.10633840911732192	0.020363429971190387
OPC	0.4988132787293121	0.1801517702693911	0.17334345290749612	0.19886029993201174	0.2060593106529127	0.1848839813373954	0.008199858357773574	0.12753750413444226	0.08450208533985239
Oligo	0.17162485694576018	0.1448427005470968	0.17615193248660022	0.035518617138900276	0.03581702653293377	0.20605781942984433	0.062218847561674194	0.11747339006839302	0.8343458884311881
VLMC	0.35546628765345134	0.14444612671375065	0.24022264660339246	0.008883215024128715	0.02634723362939244	0.11110215742807074	0.006017624531816313	0.06241003622546069	0.06064780795463072
