	OPC	astrocytes	endothelial	fetal_quiescent	fetal_replicating	hybrid	microglia	neurons	oligodendrocytes
Astro	0.31306365634604527	0.7773925452980973	0.36102807818523874	0.5474992417722558	0.5421372915048639	0.44585492143343275	0.5940207645358735	0.45648108317146724	0.4738928886574964
Endo	0.5923609145307552	0.312078441194479	0.746503961903545	0.2271878227289235	0.2234156834651295	0.5347298291771413	0.8653276199875628	0.4233312133620196	0.5892176169498738
Exc	0.7908056721983056	0.7507215667140634	0.7025771132418652	0.7526353758197041	0.7447637557317176	0.7621308028924603	0.8049778988558594	0.7689431535723739	0.8028989853186056
Inh	0.8326412167681172	0.7121634566593158	0.7755443663871845	0.9528955375657968	0.9339040855485743	0.8609039907803815	0.8937015132977184	0.8672729741601256	0.85737509418725
Micro	0.5336317078850183	0.6095585255718899	0.6219872663466883	0.07905904647701317	0.10549434425154589	0.6495459506942848	0.9191287895837106	0.5632302802268362	0.7204085295911944
OPC	0.57688880572355	0.4700801509816557	0.3109203265342765	0.44569261107029795	0.4557249647310101	0.47038555862015763	0.10346556024079913	0.413983978408627	0.2560824915063506
Oligo	0.6247368885972089	0.6707959894394542	0.5511160969526456	0.9491383926114624	0.907352224303539	0.7874328015725527	0.5512229533353017	0.7660572286685995	0.9686046564009525
VLMC	0.49679008313244893	0.31182087215136456	0.3525283709238865	0.036175434189188234	0.04586498212630597	0.23448146867118283	0.03758053873633075	0.1592692934513401	0.40710254724074235
