"","Gene","test.type","p_value","log2.mean.Cluster_Other","log2.mean.endothelial","log2fold_change","Auc"
"855","EIF3I","hurdle",0.0028714111391002,6.272115,7.629357,1.357242,0.722
"461","CCNYL1","hurdle",0.000141972894370906,3.027301,5.857981,2.83068,0.721
"1046","FOXQ1","hurdle",1.42147661789396e-09,-2.983759,5.037821,8.02158,0.72
"2968","TINAGL1","hurdle",5.43228421324039e-09,-1.889977,4.0268,5.916777,0.719
"2460","RPS3","hurdle",0.00288897306182167,6.224712,7.84831,1.623598,0.719
"2957","THBS1","hurdle",5.72547794980744e-08,2.485913,7.112179,4.626266,0.718
"2409","RPL19P12","hurdle",0.00497969000648708,1.922413,2.666757,0.744344,0.718
"3242","ZFAND2A","hurdle",0.00166492911363,5.247713,7.026247,1.778534,0.717
"2530","SEMA4A","hurdle",0.00108462241492048,5.533411,6.338959,0.805548,0.717
"2340","RBMS1","hurdle",0.000649484512709288,3.157471,5.837943,2.680472,0.717
"832","EEF1D","hurdle",0.00239575773080796,3.782844,5.102238,1.319394,0.716
"3254","ZIC1","hurdle",4.09347097746734e-08,-2.51069,2.776104,5.286794,0.715
"2637","SLC38A2","hurdle",0.00278391680597193,8.37508,9.160628,0.785548,0.715
"903","ETS1","hurdle",5.18142117326496e-06,2.522378,6.442114,3.919736,0.715
"572","CLIC4","hurdle",0.00193714382747621,6.272678,8.061776,1.789098,0.715
"2809","SRGN","hurdle",7.5206431787653e-05,6.307807,8.458407,2.1506,0.714
"1208","HEXIM1","hurdle",0.00473577657107684,5.624068,6.765535,1.141467,0.714
"2425","RPL32","hurdle",0.00710352220160862,4.987784,6.119979,1.132195,0.713
"2961","THSD4","hurdle",3.92061405106081e-09,-1.582243,6,7.582243,0.712
"2433","RPL39","hurdle",0.00299557198876816,-0.1702653,0.8875253,1.0577906,0.712
"1856","MYL12A","hurdle",0.000315333163919637,4.92358,7.729621,2.806041,0.712
"1831","MT1L","hurdle",9.2952584959176e-08,-1.342489,3.995485,5.337974,0.712
"711","DAB2","hurdle",0.000115522834839987,3.788371,7.61471,3.826339,0.712
"2890","TAGLN","hurdle",5.80242879585413e-06,2.085219,8.050665,5.965446,0.711
