"","Gene","test.type","p_value","log2.mean.Cluster_Other","log2.mean.endothelial","log2fold_change","Auc"
"423","CBX4","hurdle",0.221639389678935,1.733968,3.472488,1.73852,0.591
"2825","ST3GAL1","hurdle",0.225851706098798,3.996423,5.031219,1.034796,0.59
"2603","SLC13A4","hurdle",0.00561937744200066,1.827436,8.076014,6.248578,0.59
"2308","RAMP2","hurdle",0.0059958528011567,-1.502954,1.765535,3.268489,0.59
"2187","PPIH","hurdle",0.00869728721534493,1.354229,4.399171,3.044942,0.59
"1761","MIR17HG","hurdle",0.0659537967393827,3.031968,4.92837,1.896402,0.59
"1660","LSM3","hurdle",0.433440614925166,4.945124,5.936638,0.991514,0.59
"1476","LEAP2","hurdle",0.058872856828524,1.065195,2.364572,1.299377,0.59
"1360","ITGA6","hurdle",0.0179010759240631,6.52702,7.387587,0.860567,0.59
"980","FBLN1","hurdle",0.00180266959379409,2.311547,6.584211,4.272664,0.59
"821","ECI2","hurdle",0.218245085341833,5.417821,6.782671,1.36485,0.59
"736","DDX5","hurdle",0.200360037831679,10.11565,10.64584,0.530189999999999,0.59
"653","CSDAP1","hurdle",0.00861112284555996,-2.130985,-1.601713e-16,2.130985,0.59
"545","CHIC2","hurdle",0.195332416188465,3.161127,3.892391,0.731264,0.59
"433","CCDC141","hurdle",0.0520227539625789,1.65492,3.1127,1.45778,0.59
"103","ANO6","hurdle",0.0429034589024813,3.289166,5.672425,2.383259,0.59
"3226","YKT6","hurdle",0.141013696368739,1.49415,2.277985,0.783835,0.589
"2245","PSMD12","hurdle",0.316202641693226,6.037656,6.6886,0.650944,0.589
"1841","MTVR2","hurdle",0.00408024301348438,-0.01367494,5.23840474,5.25207968,0.589
"1692","MAP3K1","hurdle",0.0727357310899356,4.133011,5.876517,1.743506,0.589
"1386","KCNE4","hurdle",0.0347567233147619,2.861918,5.205549,2.343631,0.589
"697","CXorf69","hurdle",0.00607119928664561,-0.8162289,3.8629472,4.6791761,0.589
"3257","ZIC4","hurdle",0.00010260784488326,-1.648969,5.904484,7.553453,0.588
"3149","USP36","hurdle",0.0339853917032895,3.830692,6.884476,3.053784,0.588
"2948","TGFBR3","hurdle",0.284284042257566,5.275105,5.817623,0.542518,0.588
"2762","SNORD99","hurdle",0.276363474971049,3.165381,4.289097,1.123716,0.588
"2196","PPP1R36","hurdle",0.00322124606002767,2.62125,5.316508,2.695258,0.588
"2144","PLEKHG2","hurdle",0.0040069332797769,0.02963623,4.95419631,4.92456008,0.588
"1886","NDUFAF3","hurdle",0.213433901791089,4.700544,6.299208,1.598664,0.588
"1802","MMRN2","hurdle",0.00400914528835103,-0.9257272,2.6892992,3.6150264,0.588
"535","CFI","hurdle",0.00217448512707868,-1.598637,6.776762,8.375399,0.588
"404","CAPN12","hurdle",0.000134469481773152,-2.420492,4.711495,7.131987,0.588
"3189","WARS2","hurdle",0.136598697858027,2.935638,3.892391,0.956753,0.587
"3025","TNFAIP8","hurdle",0.00188596302909635,0.6208077,4.3715589,3.7507512,0.587
"2488","S100A16","hurdle",0.161635781728319,4.238008,5.804776,1.566768,0.587
"1819","MRPL36","hurdle",0.111225430599462,3.637308,4.78398,1.146672,0.587
"1604","LOC401397","hurdle",0.18462000167771,3.885132,5.685099,1.799967,0.587
"773","DNAJC14","hurdle",0.108243856286718,3.986153,5.869131,1.882978,0.587
"472","CD320","hurdle",0.117120570945041,2.500417,4.074677,1.57426,0.587
"281","C11orf91","hurdle",0.00623147531684501,-2.130985,4.578939,6.709924,0.587
"3029","TNFRSF14","hurdle",0.017193891007575,-1.101481,1.925999,3.02748,0.586
"2777","SOD3","hurdle",0.0108815940615651,-1.7924607,0.8479969,2.6404576,0.586
"2560","SFTA1P","hurdle",0.0113074816990469,-0.2457175,3.2249664,3.4706839,0.586
"2333","RBM20","hurdle",9.96129086794526e-06,-1.811444,4.259272,6.070716,0.586
"1964","NTAN1","hurdle",0.155230608189954,3.468067,4.1127,0.644633,0.586
"587","CNKSR3","hurdle",0.0271938934317067,2.637965,7.312429,4.674464,0.586
"539","CH25H","hurdle",0.0870832485302893,4.955513,7.020702,2.065189,0.586
"2989","TMEM104","hurdle",0.0312075205448798,1.093535,4.361066,3.267531,0.585
"2025","P2RY14","hurdle",0.168762514245155,3.865471,5.449561,1.58409,0.585
"1737","MEX3D","hurdle",0.0913821462127331,1.172946,1.981853,0.808907,0.585
"1516","LNX2","hurdle",0.054668777609736,1.028302,5.053111,4.024809,0.585
"1372","JAK1","hurdle",0.27128899070332,6.836967,7.433377,0.596410000000001,0.585
"1348","ISG20","hurdle",0.0145913008975527,0.7940725,2.3645724,1.5704999,0.585
"1245","HPCAL1","hurdle",0.06026749009217,2.004756,4.995485,2.990729,0.585
"1007","FILIP1L","hurdle",0.031708213052487,2.889363,5.877744,2.988381,0.585
"746","DENND3","hurdle",0.0603296111604543,2.51573,4.626439,2.110709,0.585
"250","BRCA2","hurdle",0.0410762437490805,2.177166,4.459432,2.282266,0.585
"180","ATHL1","hurdle",0.0093459901357749,-0.7144582,1.7655347,2.4799929,0.585
"3063","TRIM69","hurdle",0.038275452527761,1.028302,3.683696,2.655394,0.584
"2606","SLC16A12","hurdle",0.0189365710880489,-1.342489,3.161888,4.504377,0.584
"2285","QPCTL","hurdle",0.0215020639195223,-0.3880705,2.0703893,2.4584598,0.584
"2280","PVRL2","hurdle",0.0645095231589556,2.579053,4.343408,1.764355,0.584
"1995","OLFML1","hurdle",0.0150923029625053,1.833558,6.282625,4.449067,0.584
"1495","LINC00152","hurdle",0.126725455195592,1.886053,3.255501,1.369448,0.584
"1253","HSP90AA6P","hurdle",0.0815200372782568,-1.044224,-0.1520031,0.8922209,0.584
"874","EML4","hurdle",0.411796619731078,6.610287,7.546509,0.936222000000001,0.584
"798","DSE","hurdle",0.132672384947788,4.528878,6.301953,1.773075,0.584
"209","BACH1","hurdle",0.255464320985805,5.33041,6.445429,1.115019,0.584
"65","AGTRAP","hurdle",0.090182634016366,2.72535,5.343408,2.618058,0.584
"3281","ZNF407","hurdle",0.13550592893023,3.888445,5.249825,1.36138,0.583
"3237","ZC3H12A","hurdle",0.018169132640735,-0.7783855,1.9634741,2.7418596,0.583
"2916","TCIRG1","hurdle",0.0289518722839969,0.4834812,1.560715,1.0772338,0.583
"2789","SP3","hurdle",0.231858962867367,5.315175,5.984134,0.668959,0.583
"1924","NMB","hurdle",0.00623677066559151,-1.01093,2.321928,3.332858,0.583
"898","ESD","hurdle",0.394146379642048,6.057655,6.638074,0.580419,0.583
"258","BTF3","hurdle",0.351039129500641,5.482325,6.247928,0.765603,0.583
"3164","VAMP8","hurdle",0.0257855249490443,1.123829,2.523562,1.399733,0.582
"2667","SLFN5","hurdle",0.125527108532691,3.031302,5.312883,2.281581,0.582
"2638","SLC38A3","hurdle",0.197181182961865,3.69225,4.201634,0.509384,0.582
"2255","PTENP1","hurdle",0.21568747539556,2.563481,3.566815,1.003334,0.582
"1929","NOC3L","hurdle",0.137203231320257,5.331492,6.15583,0.824338,0.582
"1413","KIAA1432","hurdle",0.150665617594305,4.566815,6.260214,1.693399,0.582
"222","BCL2L12","hurdle",0.0117947914958777,-1.83068,3.061776,4.892456,0.582
"3057","TRIM38","hurdle",0.039416359169836,2.126948,5.316508,3.18956,0.581
"2941","TFRC","hurdle",0.339725557737724,6.943687,7.531381,0.587694,0.581
"2580","SHROOM1","hurdle",0.119064627374255,0.09735638,1.20163386,1.10427748,0.581
"2513","SDCBP","hurdle",0.445204215078794,7.793079,8.796689,1.00361,0.581
"2405","RPL13P5","hurdle",0.100633348769483,2.123204,4.623516,2.500312,0.581
"2098","PHF17","hurdle",0.259720375326049,5.40657,6.196725,0.790154999999999,0.581
"1502","LINC00324","hurdle",0.123603052276787,0.6243437,3.0356239,2.4112802,0.581
"1437","KLHL23","hurdle",0.0175719410503524,0.07168497,2.39231742,2.32063245,0.581
"829","EDNRA","hurdle",0.00172704742701616,0.8282024,7.7568899,6.9286875,0.581
"479","CD59","hurdle",0.523899720467469,7.908557,9.077216,1.168659,0.581
"463","CCRL2","hurdle",0.0393150287305755,1.948037,3.765535,1.817498,0.581
"1800","MMP19","hurdle",1.56332774003175e-05,0.7067078,7.8545568,7.147849,0.58
"1367","ITPR3","hurdle",0.0021553005431573,1.116315,3.986411,2.870096,0.58
"967","FAM65C","hurdle",0.015903163088085,0.5028205,4.6322682,4.1294477,0.58
"804","DTX3L","hurdle",0.134410721209226,3.069417,5.179909,2.110492,0.58
"715","DANCR","hurdle",0.00356701302311398,4.604676,6.5157,1.911024,0.58
"329","C1R","hurdle",0.0931255540051657,3.281908,6.919459,3.637551,0.58
"99","ANKRD17","hurdle",0.167453022857876,7.13555,8.397675,1.262125,0.58
"2199","PPP2CA","hurdle",0.373948725314395,6.524597,7.037272,0.512675,0.579
"2136","PLAC9","hurdle",0.0498370713452011,-1.3987969,0.7655347,2.1643316,0.579
"1805","MOB3C","hurdle",0.0147012014857239,1.18975,6.190812,5.001062,0.579
"1639","LRCH1","hurdle",0.0795232826586698,4.152734,5.545351,1.392617,0.579
"2576","SHB","hurdle",0.160879229282936,1.999319,2.817623,0.818304,0.578
"2045","PARP9","hurdle",0.285271747673014,4.974166,6.214319,1.240153,0.578
"1998","OLFML3","hurdle",0.0290526061050398,1.684014,6.821455,5.137441,0.578
"1616","LOC653712","hurdle",0.0487078264121761,-0.4168534,3.2172307,3.6340841,0.578
"1422","KIF5B","hurdle",0.444146987585982,6.718879,7.653562,0.934683,0.578
"622","COQ10B","hurdle",0.167536514375641,6.189414,8.263504,2.07409,0.578
"505","CDK2AP2","hurdle",0.285618535710269,2.92349,3.548437,0.624947,0.578
"471","CD302","hurdle",0.045181891957782,-1.648969,1.906891,3.55586,0.578
"2577","SHE","hurdle",0.0121899754684581,0.5958099,4.7279205,4.1321106,0.577
"2571","SH3BGRL","hurdle",0.196838998701911,7.133031,8.28494,1.151909,0.577
"2374","RILPL2","hurdle",0.0255134303267494,-0.284977,1.847997,2.132974,0.577
"1879","NBEAL1","hurdle",0.000307547033301738,5.018678,6.941928,1.92325,0.577
"1122","GMDS","hurdle",0.0560983658607367,0.617263,4.725196,4.107933,0.577
"1009","FKBP1A","hurdle",0.296101572531764,5.065764,5.652486,0.586722,0.577
"905","ETV6","hurdle",0.016865467451747,4.969829,7.420381,2.450552,0.577
"105","ANP32E","hurdle",0.353429454322875,8.584885,9.234099,0.649214000000001,0.577
"83","ALDH1A2","hurdle",0.0577070628194541,-0.04141993,6.38801729,6.42943722,0.577
"2108","PHYH","hurdle",0.368281939639478,4.854127,5.569856,0.715729,0.576
"2076","PDK4","hurdle",0.479652245915097,7.61186,8.322829,0.710969,0.576
"1948","NQO1","hurdle",0.246232833530142,5.188929,5.866661,0.677732,0.576
"1669","LXN","hurdle",0.0553540117562022,0.7687336,3.6028844,2.8341508,0.576
"962","FAM46A","hurdle",0.327514315634368,6.225221,7.104337,0.879116,0.576
"687","CUX1","hurdle",0.287154884580729,5.30185,6.042207,0.740357,0.576
"396","CA5B","hurdle",0.0580602018692314,1.745379,3.590961,1.845582,0.576
"2660","SLC9A3R2","hurdle",0.0829861292393389,-1.0898466,0.2630344,1.352881,0.575
"2294","RAB3D","hurdle",0.326619831361802,4.72792,5.731998,1.004078,0.575
"2279","PURB","hurdle",0.0765046763844458,5.089943,6.262095,1.172152,0.575
"1835","MTERF","hurdle",0.323255108697766,3.892483,6.217231,2.324748,0.575
"1746","MGAT5","hurdle",0.228869792061567,4.632378,6.158862,1.526484,0.575
"1670","LY96","hurdle",0.074628482422806,1.03894,3.529821,2.490881,0.575
"1417","KIAA1755","hurdle",0.297976783291755,3.41342,5.66249,2.24907,0.575
"1183","H2AFX","hurdle",0.121078133027873,0.3701116,2.2172307,1.8471191,0.575
"964","FAM53C","hurdle",0.000900438032114877,4.64701,6.861707,2.214697,0.575
"707","CYSTM1","hurdle",0.0804878971608761,5.689141,6.849874,1.160733,0.575
"532","CFB","hurdle",0.000117238682478598,-3.321928,1.944858,5.266786,0.575
"528","CES1","hurdle",0.000117238682478608,-3.321928,4.022368,7.344296,0.575
"156","ARL2BP","hurdle",0.367312584293736,4.945124,5.723832,0.778708,0.575
"3266","ZNF155","hurdle",0.0940914890975638,2.778685,5.035624,2.256939,0.574
"2774","SOCS2","hurdle",0.132146320448516,3.557713,4.703211,1.145498,0.574
"2574","SHANK3","hurdle",0.289720558443296,2.255643,4.548437,2.292794,0.574
"2124","PIM2","hurdle",0.443040837782414,3.169623,3.867896,0.698273,0.574
"1382","KANK3","hurdle",0.0317400266169361,0.1620397,2.560715,2.3986753,0.574
"1298","IGF1R","hurdle",0.236390835496577,6.000808,7.10957,1.108762,0.574
"424","CCAR1","hurdle",0.246340478394194,6.238405,7.168923,0.930518,0.574
"290","C14orf119","hurdle",0.32874560978006,4.687293,6.108524,1.421231,0.574
"71","AHSA2","hurdle",0.232108416849427,4.36153,5.234578,0.873048,0.574
"3068","TRMT112","hurdle",0.522892732188774,5.012957,5.776104,0.763147,0.573
"2758","SNORD81","hurdle",0.212464819459522,-0.1520031,0.8073549,0.959358,0.573
"2601","SLC12A7","hurdle",0.0942871949529196,0.1325458,0.6780719,0.5455261,0.573
"2262","PTGS2","hurdle",0.197301973592383,3.326548,6.872213,3.545665,0.573
"2235","PRPS2","hurdle",0.00243355964190675,5.159681,7.933691,2.77401,0.573
"1985","NYNRIN","hurdle",0.201542053107912,1.845727,3.842979,1.997252,0.573
"1888","NEAT1","hurdle",0.0440030297302687,6.737824,7.350055,0.612231,0.573
"1553","LOC100505865","hurdle",4.85869551575815e-05,-3.268489,4.270529,7.539018,0.573
"1110","GIMAP1","hurdle",0.001377502414379,-3.268489,2.620586,5.889075,0.573
"1040","FOXD1","hurdle",0.000789526016666503,-3.268489,2.419539,5.688028,0.573
"97","ANGPT2","hurdle",0.0589874788531591,3.673599,7.543419,3.86982,0.573
"2681","SMC5","hurdle",0.318205520487648,5.554878,6.525129,0.970250999999999,0.572
"2492","S1PR1","hurdle",0.328222763924179,5.637144,6.217231,0.580087,0.572
"1611","LOC643733","hurdle",0.000241923474520323,-3.216959,3.678072,6.895031,0.572
"1533","LOC100131496","hurdle",0.0791742856803399,0.3616624,2.9354597,2.5737973,0.572
"1321","ING4","hurdle",0.00303252106960901,4.384128,6.799605,2.415477,0.572
"899","ESM1","hurdle",0.000430980825158668,-3.119111,5.405992,8.525103,0.572
"891","ERAP2","hurdle",0.178666305669676,2.582692,3.314697,0.732005,0.572
"739","DDX60L","hurdle",0.0989958682337547,3.052455,4.578939,1.526484,0.572
"143","ARHGAP31","hurdle",0.081997973308239,3.791912,5.815063,2.023151,0.572
"30","ADAM33","hurdle",0.368808957087647,3.57928,4.197708,0.618428000000001,0.572
"2858","SUFU","hurdle",0.0010815535299926,1.460916,5.893605,4.432689,0.571
"2051","PCBP2","hurdle",0.198190745770853,6.430973,6.965207,0.534234000000001,0.571
"969","FAM72B","hurdle",0.00745873095589027,-2.038621,1.632268,3.670889,0.571
"410","CASP10","hurdle",0.105323777462567,0.9374155,3.0089888,2.0715733,0.571
"167","ASF1B","hurdle",0.0033124343116875,-2.9001014,0.5360529,3.4361543,0.571
"29","ACVRL1","hurdle",0.0068447852649782,-2.709999,2.232661,4.94266,0.571
"2905","TBX15","hurdle",0.0104772912710728,-0.9154222,6.1272206,7.0426428,0.57
"2828","ST6GALNAC1","hurdle",0.0031771302348433,-3.119111,3.314697,6.433808,0.57
"1627","LOC90246","hurdle",0.00591392313530895,-0.5781733,4.452859,5.0310323,0.57
"1215","HILPDA","hurdle",0.263012676053119,3.745988,4.318317,0.572329,0.57
"690","CXCL1","hurdle",0.00469071327669962,1.028302,6.366322,5.33802,0.57
"333","C20orf54","hurdle",0.00330703050551477,-2.983759,3.990955,6.974714,0.57
"189","ATP6V1G1","hurdle",0.565551021439604,6.951582,7.752548,0.800966,0.57
"3284","ZNF45","hurdle",0.104012687843985,2.510962,4.1127,1.601738,0.569
"3088","TTC4","hurdle",0.258098750441277,0.1717386,1.6088092,1.4370706,0.569
"2707","SNORA3","hurdle",0.0140318854326177,-0.5068167,2.4724878,2.9793045,0.569
"2525","SELK","hurdle",0.0463072245920138,5.940654,6.6125,0.671845999999999,0.569
"1705","MAST2","hurdle",0.165187924731692,2.925641,5.764208,2.838567,0.569
"1342","IRF2BP2","hurdle",0.518109908462917,7.607484,8.880808,1.273324,0.569
"1199","HELB","hurdle",0.021817410119844,2.252219,4.752213,2.499994,0.569
"864","ELK3","hurdle",0.0306105391423138,-0.2137982,3.9495349,4.1633331,0.569
"846","EHD4","hurdle",0.126368629791583,2.083936,4.116864,2.032928,0.569
"731","DDX26B","hurdle",0.0577503445300235,3.90562,5.883865,1.978245,0.569
"646","CRTC3","hurdle",0.156453897450359,3.84932,5.77742,1.9281,0.569
"625","COX4I2","hurdle",0.00069566548114685,-1.994566,3.765535,5.760101,0.569
"470","CD2AP","hurdle",0.215231705063406,3.053767,3.930737,0.87697,0.569
"53","AEBP1","hurdle",0.238011727470532,1.466836,2.350497,0.883661,0.569
"3176","VMP1","hurdle",0.0198323876991308,6.855468,8.381543,1.526075,0.568
"3113","UAP1","hurdle",0.187797811474874,5.261829,6.29094,1.029111,0.568
"3061","TRIM56","hurdle",0.00143858752158145,-2.308382,2.733354,5.041736,0.568
"2896","TARP","hurdle",0.00400879662629069,-2.746068,1.485427,4.231495,0.568
"2675","SMAGP","hurdle",0.0183461747862709,-0.7783855,4.6610655,5.439451,0.568
"2615","SLC22A2","hurdle",0.0218468483042337,-0.2201258,5.0422066,5.2623324,0.568
"2608","SLC16A2","hurdle",0.187816446537943,4.103228,5.89603,1.792802,0.568
"2536","SEPT11","hurdle",0.399022302524216,6.54672,7.628263,1.081543,0.568
"2507","SCN4A","hurdle",0.00404898555806731,-2.82103,2.632268,5.453298,0.568
"2357","RERGL","hurdle",0.00655756495105371,-0.9465607,3.3991711,4.3457318,0.568
"2092","PGM5","hurdle",0.0189725943502762,0.274332,4.078951,3.804619,0.568
"1793","MLF1","hurdle",0.302509597274354,5.453791,6.434628,0.980837,0.568
"1257","HSPA12B","hurdle",0.00333991001546517,-2.9001014,0.2630344,3.1631358,0.568
"1218","HIPK3","hurdle",0.42722648557772,4.497408,5.446256,0.948848,0.568
"892","ERF","hurdle",0.098042823475007,-1.4724197,0.7655347,2.2379544,0.568
"629","CPNE8","hurdle",0.330424924173181,6.737263,7.518063,0.7808,0.568
"467","CD248","hurdle",0.0221634038997357,-2.335603,2.485427,4.82103,0.568
"256","BTBD19","hurdle",0.00376645584986507,-3.072569,1.847997,4.920566,0.568
"226","BCL6B","hurdle",0.0231691108357516,-2.335603,2.807355,5.142958,0.568
"3208","WHAMM","hurdle",0.25016646757413,3.995058,5.098032,1.102974,0.567
"2714","SNORA67","hurdle",0.00263925897287327,-0.6027653,2.6205864,3.2233517,0.567
"2539","SERP1","hurdle",0.458309309904432,5.775955,7.176921,1.400966,0.567
"2323","RASL12","hurdle",0.00487583401575097,-3.027481,6.875903,9.903384,0.567
"1814","MRGPRF","hurdle",0.0174175077769442,-2.479993,4.321928,6.801921,0.567
"1729","MESDC2","hurdle",0.52278316172937,4.761426,6.157852,1.396426,0.567
"1586","LOC284023","hurdle",0.414400514737,3.57289,4.872829,1.299939,0.567
"1582","LOC282997","hurdle",0.0222568793100851,-2.783062,2.350497,5.133559,0.567
"1200","HERC2P2","hurdle",0.378878602927744,5.487431,7.44667,1.959239,0.567
"851","EIF2C2","hurdle",0.0964694022996838,3.770929,6.861087,3.090158,0.567
"22","ACN9","hurdle",0.0188966989339666,2.924207,5.499846,2.575639,0.567
"2996","TMEM159","hurdle",0.341508107802169,1.907979,3.807355,1.899376,0.566
"2490","S100A4","hurdle",0.0311579665381727,-0.468648,2.963474,3.432122,0.566
"2043","PARP12","hurdle",0.186311619907962,2.30385,4.321928,2.018078,0.566
"1906","NFKBIB","hurdle",0.290650626074984,0.6243437,1.722466,1.0981223,0.566
"1865","MYO5C","hurdle",0.339624252830738,2.87978,4.69488,1.8151,0.566
"1554","LOC100505875","hurdle",0.0140229984651462,-2.038621,3.044394,5.083015,0.566
"1552","LOC100505812","hurdle",0.0123574683625952,-1.811444,3.478972,5.290416,0.566
"1144","GPER","hurdle",0.0409214966273561,-1.2750615,0.1375035,1.412565,0.566
"1074","GABRE","hurdle",0.0414929721371461,2.014221,3.837943,1.823722,0.566
"866","ELN","hurdle",0.294427257036032,0.9655665,3.4462562,2.4806897,0.566
"792","DPP3","hurdle",0.184228643618153,2.067145,4.004501,1.937356,0.566
"395","CA5A","hurdle",0.0182483797525176,-2.709999,1.459432,4.169431,0.566
"242","BMP2","hurdle",0.0108082682017833,1.513348,5.399171,3.885823,0.566
"3083","TSPAN8","hurdle",0.0132970636791091,0.4075323,5.0660892,4.6585569,0.565
"2913","TCF15","hurdle",0.0406811444970367,-2.900101,-1,1.900101,0.565
"2803","SPTBN1","hurdle",0.0480063058178304,8.665168,9.373518,0.708350000000001,0.565
"2578","SHISA2","hurdle",0.186295093143951,5.179496,7.761884,2.582388,0.565
"2524","SELE","hurdle",8.46669329569031e-06,-1.869939,8.068241,9.93818,0.565
"2227","PROCR","hurdle",0.000841720224367916,-1.850176,4.510962,6.361138,0.565
"1915","NINJ1","hurdle",0.349901760006603,2.888628,3.82273,0.934102,0.565
"1738","MFAP2","hurdle",0.00266926281073892,-1.70112,2.247928,3.949048,0.565
"1698","MAP4K4","hurdle",0.823856698503778,6.796058,7.762216,0.966157999999999,0.565
"1574","LOC144571","hurdle",0.208484626361783,2.707125,4.652486,1.945361,0.565
"1410","KIAA1274","hurdle",0.323847823089176,1.462892,3.649615,2.186723,0.565
"1396","KDELC2","hurdle",3.80511134317705e-06,2.229182,7.616549,5.387367,0.565
"1211","HHEX","hurdle",0.0392759731399021,-0.7690778,1.4594316,2.2285094,0.565
"1136","GOLIM4","hurdle",0.470621017704909,5.052373,5.905688,0.853314999999999,0.565
"935","FAM124B","hurdle",0.0143460175815556,-0.3738915,3.0179219,3.3918134,0.565
"780","DNM2","hurdle",0.407502220616936,2.128194,2.925999,0.797805,0.565
"166","ASAP1-IT1","hurdle",0.0311791190718203,2.295002,6.326429,4.031427,0.565
"2806","SQRDL","hurdle",0.027147276966389,-0.1102693,5.9954845,6.1057538,0.564
"2496","SAMD4A","hurdle",0.0170922313988352,5.215547,7.544578,2.329031,0.564
"2389","RNU86","hurdle",0.210569917915402,-0.5620085,0.9259994,1.4880079,0.564
"1925","NME4","hurdle",0.585551219664726,3.00102,3.70044,0.69942,0.564
"1708","MATN3","hurdle",0.0432883293031126,-0.8066746,4.5545889,5.3612635,0.564
"1233","HLA-E","hurdle",0.0449692725918992,-2.941324,-1.514573,1.426751,0.564
"1077","GADD45G","hurdle",0.372442944918896,1.098628,1.963474,0.864846,0.564
"1062","FUNDC2","hurdle",0.0134523025086194,4.514182,5.841722,1.32754,0.564
"835","EFHD1","hurdle",0.146808800229004,4.17551,5.944858,1.769348,0.564
"224","BCL3","hurdle",0.00211166743135424,-2.155031,2.485427,4.640458,0.564
"3021","TNFAIP1","hurdle",0.156299171690902,3.93154,6.221104,2.289564,0.563
"2874","SYDE1","hurdle",0.0102777438804,-2.574115,2.292782,4.866897,0.563
"2382","RNF138P1","hurdle",0.396836269947663,4.13177,5.257388,1.125618,0.563
"2093","PGR","hurdle",0.00355917962204372,-1.566033,2.560715,4.126748,0.563
"1944","NPHS1","hurdle",0.0239293318152567,-2.606905,1.981853,4.588758,0.563
"1511","LMCD1","hurdle",0.0416864587387711,1.753475,3.584963,1.831488,0.563
"1445","KRR1","hurdle",0.0782527925840247,5.738309,6.419539,0.68123,0.563
"1409","KIAA1210","hurdle",0.0462365003919799,0.02963623,1.63226822,1.60263199,0.563
"696","CXorf58","hurdle",0.0527634424274325,-2.783062,-1.736966,1.046096,0.563
"637","CREBBP","hurdle",0.604400603876667,6.31562,7.576673,1.261053,0.563
"589","CNN2","hurdle",0.0158317716652318,-0.7055526,3.0356239,3.7411765,0.563
"482","CD81","hurdle",0.184677426514853,4.994802,5.934281,0.939479,0.563
"406","CARD16","hurdle",0.0116624447636606,-0.8162289,4.3001237,5.1163526,0.563
"147","ARHGEF15","hurdle",0.055051566621906,-0.2074982,0.9634741,1.1709723,0.563
"3040","TOP1","hurdle",0.68017282312892,5.257423,6.205549,0.948126,0.562
"2185","PPIC","hurdle",0.238563402682337,1.232081,3.452859,2.220778,0.562
"1990","OCIAD2","hurdle",0.29495922909354,3.368268,4.381975,1.013707,0.562
"1659","LSG1","hurdle",0.550959744724451,5.001785,5.816344,0.814559,0.562
"938","FAM129B","hurdle",0.0819265937436333,-0.7144582,0.8479969,1.5624551,0.562
"810","DUSP6","hurdle",0.63109278888987,6.895801,7.792465,0.896664,0.562
"483","CD83","hurdle",0.265814066295118,6.684305,7.365885,0.681579999999999,0.562
"407","CARD6","hurdle",0.00195620171141041,-1.811444,3.087463,4.898907,0.562
"79","AKR1C1","hurdle",0.0621696552271904,2.698764,4.354029,1.655265,0.562
"3179","VPS37B","hurdle",0.156940264262353,1.722466,3.465974,1.743508,0.561
"2631","SLC35C1","hurdle",0.0620772492480476,0.4912481,1.6088092,1.1175611,0.561
"2617","SLC22A6","hurdle",0.0319515954449842,0.5958099,5.4773535,4.8815436,0.561
"2350","RDH10","hurdle",0.361924760054445,4.512036,6.193772,1.681736,0.561
"2329","RBCK1","hurdle",0.326342621855187,3.976848,5.686501,1.709653,0.561
"1287","IFIT2","hurdle",0.304402118323923,5.38328,6.900263,1.516983,0.561
"1266","HYAL1","hurdle",0.035639762690817,0.5667003,3.5668152,3.0001149,0.561
"1000","FES","hurdle",0.0296997700000659,-0.284977,2.277985,2.562962,0.561
"743","DEGS2","hurdle",0.0571543725501536,-0.8950304,1.0356239,1.9306543,0.561
"654","CSDE1","hurdle",0.50827493942466,7.823175,8.403651,0.580476,0.561
"412","CASP4","hurdle",0.0429139628944624,0.7526678,3.2779847,2.5253169,0.561
"334","C21orf49","hurdle",0.268338941677472,1.103703,1.722466,0.618763,0.561
"208","BACE2","hurdle",0.0434666280961756,0.3230165,2.7865964,2.4635799,0.561
"3167","VASN","hurdle",0.263499229783672,0.4678208,2.3785116,1.9106908,0.56
"2877","SYNGR2","hurdle",0.109777634593108,2.733559,4.285402,1.551843,0.56
"2804","SPTLC3","hurdle",0.000564395931520673,-1.550003,4.708739,6.258742,0.56
"2022","OTUD4","hurdle",0.539058624707661,5.0853,5.676662,0.591362,0.56
"1963","NT5DC2","hurdle",0.327954520886425,2.140593,4.749534,2.608941,0.56
"1658","LRRN4CL","hurdle",0.106360201584933,-1.4724197,0.6780719,2.1504916,0.56
"1625","LOC730101","hurdle",0.262588138594541,2.120702,3.738768,1.618066,0.56
"1424","KL","hurdle",0.106274621674323,-0.4023901,0.2016339,0.604024,0.56
"1393","KCTD20","hurdle",0.514530151914748,5.355758,6.320124,0.964366,0.56
"877","EMP3","hurdle",0.247545517893462,0.9058014,2.560715,1.6549136,0.56
"514","CEBPG","hurdle",0.265473172015596,3.992666,6.825277,2.832611,0.56
"485","CD93","hurdle",0.00390862041750245,0.7591156,6.2770549,5.5179393,0.56
"379","C8orf4","hurdle",0.0420502790696465,2.977021,8.086402,5.109381,0.56
"336","C21orf63","hurdle",0.126612974139536,3.685919,5.645298,1.959379,0.56
"252","BRK1","hurdle",0.206370462767568,6.032841,6.862947,0.830106,0.56
"75","AKAP13","hurdle",0.400351065580302,6.441096,7.69279,1.251694,0.56
"3214","WTIP","hurdle",0.0589698119823244,-1.718932,-1.152003,0.566929,0.559
"3064","TRIO","hurdle",0.61391077712656,5.546399,7.021258,1.474859,0.559
"3051","TRAPPC2P1","hurdle",0.100524054319838,3.075242,4.942515,1.867273,0.559
