"","Gene","test.type","p_value","log2.mean.Cluster_Other","log2.mean.astrocytes","log2fold_change","Auc"
"1901","GPR98","hurdle",5.70922437976695e-64,4.422287,11.203646,6.781359,0.996
"135","AGXT2L1","hurdle",5.29724292113119e-60,3.15787,10.69938,7.54151,0.994
"4396","SLC1A2","hurdle",2.63915484682856e-50,7.960633,13.893326,5.932693,0.991
"1813","GJA1","hurdle",2.73473739213213e-55,4.245303,10.814559,6.569256,0.991
"350","ATP1A2","hurdle",5.56952340981974e-46,6.833077,11.391289,4.558212,0.987
"4397","SLC1A3","hurdle",1.10074179733135e-44,7.486066,12.245482,4.759416,0.985
"1639","FGFR3","hurdle",1.11372487407263e-51,1.872056,7.854185,5.982129,0.985
"257","AQP4","hurdle",1.32213191618425e-55,5.276467,12.115511,6.839044,0.982
"4500","SLCO1C1","hurdle",1.88220626070732e-48,3.941957,9.962038,6.020081,0.975
"4483","SLC4A4","hurdle",1.31854384476569e-44,4.481696,9.393121,4.911425,0.969
"1477","F3","hurdle",3.87733086775638e-45,5.838249,10.579152,4.740903,0.969
"433","BMPR1B","hurdle",1.24174081371264e-47,3.929273,10.60122,6.671947,0.966
"1893","GPR37L1","hurdle",2.10377510660549e-50,3.417845,9.029385,5.61154,0.965
"132","AGT","hurdle",4.71490170253847e-43,4.008185,9.515134,5.506949,0.964
"2829","LRRC16A","hurdle",8.89137504831647e-37,6.065152,10.145854,4.080702,0.963
"4410","SLC25A18","hurdle",3.18260737810695e-44,2.366895,8.900244,6.533349,0.959
"4738","STON2","hurdle",4.68439597525329e-43,3.5964,10.07516,6.47876,0.954
"73","ACSBG1","hurdle",2.75031291910037e-45,-0.1987578,7.8352558,8.0340136,0.95
"351","ATP1B2","hurdle",2.94155731579598e-30,7.420396,11.016002,3.595606,0.949
"4342","SFXN5","hurdle",1.30077589633615e-41,1.71342,7.592119,5.878699,0.946
"4016","RANBP3L","hurdle",6.3363254340166e-40,4.619139,9.159066,4.539927,0.946
"1476","EZR","hurdle",9.92485684606579e-38,5.289262,9.994107,4.704845,0.946
"4218","RYR3","hurdle",9.97150766978096e-35,6.033798,9.961968,3.92817,0.945
"347","ATP13A4","hurdle",2.93082240432528e-37,4.135848,8.82127,4.685422,0.945
"3814","PPAP2B","hurdle",4.69826690283609e-37,5.160604,9.532582,4.371978,0.944
"3362","NHSL1","hurdle",7.54329869423258e-36,5.282795,9.541634,4.258839,0.944
"1226","DIO2","hurdle",6.53524458960289e-38,5.207581,9.804995,4.597414,0.943
"1339","EDNRB","hurdle",2.73505491215271e-38,4.597122,9.761583,5.164461,0.942
"4641","SPARCL1","hurdle",7.27588149601857e-26,9.44486,12.85643,3.41157,0.941
"4278","SDC4","hurdle",1.44888766176572e-45,0.5884088,7.9287524,7.3403436,0.941
"3142","MLC1","hurdle",1.92762210439215e-42,-0.2828369,6.448869,6.7317059,0.94
"4491","SLC7A11","hurdle",2.68733354251802e-36,5.108299,9.693183,4.584884,0.939
"1836","GLUD1","hurdle",2.01162596945377e-32,6.157408,10.028,3.870592,0.934
"5053","TPD52L1","hurdle",2.39466331503304e-35,3.384161,8.437262,5.053101,0.933
"3906","PSD2","hurdle",2.70573582983734e-36,3.917761,8.413232,4.495471,0.933
"4471","SLC39A12","hurdle",1.05461149116466e-41,2.298842,8.40282,6.103978,0.93
"3801","PON2","hurdle",1.29277032331852e-28,7.923942,11.288831,3.364889,0.93
"3265","MYO10","hurdle",2.59639825919082e-32,5.106798,8.92554,3.818742,0.93
"2125","ID4","hurdle",1.26660110120474e-35,3.193666,8.231237,5.037571,0.93
"575","C1orf61","hurdle",2.26759704616556e-30,5.733075,9.094171,3.361096,0.93
"55","ACBD7","hurdle",3.27908357232829e-40,0.2828453,6.575527,6.2926817,0.929
"3866","PREX2","hurdle",5.17453800497377e-33,4.423795,8.372177,3.948382,0.928
"3533","PAPLN","hurdle",5.28818679991161e-38,1.523956,7.471833,5.947877,0.928
"4389","SLC15A2","hurdle",4.26507594011752e-34,3.708529,9.000645,5.292116,0.927
"4388","SLC14A1","hurdle",1.68082111421491e-39,0.2341741,7.2145071,6.980333,0.927
"3555","PBXIP1","hurdle",1.40889376600089e-35,1.537391,5.969948,4.432557,0.926
"935","CLDN10","hurdle",4.98932665924062e-35,4.282014,9.550008,5.267994,0.926
"3014","MGST1","hurdle",1.71904579962899e-45,1.628088,8.352236,6.724148,0.925
"993","COL5A3","hurdle",2.13946540633512e-36,0.0148036,4.3814174,4.3666138,0.925
"3309","NCAN","hurdle",2.02325817586894e-32,4.523084,8.791751,4.268667,0.924
"4634","SOX9","hurdle",6.86856114033676e-33,4.603789,9.107858,4.504069,0.923
"3435","NTRK2","hurdle",2.24513246049218e-24,7.813905,10.889972,3.076067,0.923
"1018","CPE","hurdle",1.14866643523305e-24,7.853185,11.181124,3.327939,0.923
"1816","GJB6","hurdle",2.87713220463272e-39,3.195079,9.113162,5.918083,0.922
"5154","TTYH1","hurdle",1.34756232532323e-31,1.797711,6.554886,4.757175,0.917
"3196","MRVI1","hurdle",8.43741056849594e-37,2.22327,8.658108,6.434838,0.917
"2870","MACF1","hurdle",1.25534718888039e-23,8.199349,11.00377,2.804421,0.917
"1895","GPR56","hurdle",1.59556233088216e-29,4.159211,7.903707,3.744496,0.916
"1061","CST3","hurdle",1.14575466054515e-35,3.183732,7.602453,4.418721,0.916
"2978","MERTK","hurdle",2.37664905339894e-32,3.324061,7.839326,4.515265,0.915
"3884","PRODH","hurdle",1.13446144079662e-35,1.528448,6.899737,5.371289,0.913
"1867","GPAM","hurdle",4.1435378693709e-34,3.948676,8.586428,4.637752,0.913
"1802","GFAP","hurdle",1.53001207698628e-39,-0.03735554,7.93921899,7.97657453,0.913
"1303","DTNA","hurdle",2.77653900877505e-25,7.359929,10.17001,2.810081,0.913
"1165","DDAH1","hurdle",2.48783158139289e-27,7.171286,11.014529,3.843243,0.909
"1757","GABRA2","hurdle",1.72237805117603e-27,5.463,9.296998,3.833998,0.908
"1910","GRAMD3","hurdle",5.0079573845935e-29,5.890549,9.469911,3.579362,0.907
"11","AASS","hurdle",3.19562477731492e-26,7.298337,10.382453,3.084116,0.907
"5044","TP53BP2","hurdle",2.02199786739769e-28,4.454512,8.447363,3.992851,0.906
"4387","SLC13A5","hurdle",4.73859424845807e-36,1.669352,7.393868,5.724516,0.905
"956","CLU","hurdle",1.16754113518642e-22,9.023006,12.505312,3.482306,0.905
"248","APOE","hurdle",7.40374693577155e-37,-1.420655,5.942212,7.362867,0.905
"137","AHCYL1","hurdle",1.07612471446727e-25,6.000536,9.780492,3.779956,0.904
"4082","RFX4","hurdle",6.28879970023159e-32,3.116696,8.472147,5.355451,0.903
"3216","MT2A","hurdle",1.82851473383638e-28,4.079181,7.663524,3.584343,0.903
"4321","SERPINE2","hurdle",2.97441132029359e-28,4.741963,8.550697,3.808734,0.901
"1838","GLUL","hurdle",5.99193790794554e-22,9.258976,12.230273,2.971297,0.898
"5628","ZNRF3","hurdle",2.56286708512162e-31,2.207949,7.706936,5.498987,0.897
"3528","PAMR1","hurdle",5.87562459363731e-32,2.67108,7.705599,5.034519,0.896
"1909","GRAMD1C","hurdle",1.42589689479471e-29,3.167983,7.850963,4.68298,0.895
"3281","NADKD1","hurdle",1.37995790093509e-26,4.888072,8.19636,3.308288,0.894
"3209","MT1E","hurdle",2.6969377567503e-28,2.524743,5.95989,3.435147,0.893
"2988","METTL7A","hurdle",8.291909180247e-26,4.975595,8.312532,3.336937,0.893
"5078","TRIL","hurdle",8.72386355835023e-32,2.73661,7.863807,5.127197,0.891
"3217","MT3","hurdle",1.46788300888236e-25,4.203075,7.442837,3.239762,0.891
"1302","DST","hurdle",4.97606461675536e-18,9.511702,11.730047,2.218345,0.89
"2246","ITPR2","hurdle",3.96930168718995e-24,6.476482,9.021795,2.545313,0.889
"1837","GLUD2","hurdle",1.42531450984372e-26,2.185369,6.807604,4.622235,0.889
"907","CHRDL1","hurdle",1.85299164564447e-27,3.227213,7.178496,3.951283,0.889
"1759","GABRG1","hurdle",3.24307819986497e-26,4.951753,8.285715,3.333962,0.886
"172","ALDOC","hurdle",6.85791023071605e-21,8.479604,11.356791,2.877187,0.886
"3433","NTM","hurdle",4.98063112116167e-20,6.35726,9.166414,2.809154,0.884
"2884","MALAT1","hurdle",3.36340199325168e-20,13.19918,14.05841,0.85923,0.881
"2177","IL33","hurdle",1.58603957608504e-31,2.133233,8.159399,6.026166,0.881
"1635","FGF2","hurdle",1.32747032148192e-28,2.152278,6.128019,3.975741,0.881
"3950","PTPRZ1","hurdle",9.65642176679554e-24,8.524446,10.268716,1.74427,0.88
"2433","LHX2","hurdle",8.06355027666691e-29,1.404405,5.45424,4.049835,0.88
"2280","KCNN3","hurdle",2.60279661385844e-25,4.498394,8.638973,4.140579,0.879
"3552","PAX6","hurdle",5.00356870000407e-24,3.764345,8.238728,4.474383,0.878
"1490","FAM107A","hurdle",3.79717520817643e-22,6.673712,9.452348,2.778636,0.878
"3321","NDRG2","hurdle",2.3001608637386e-23,4.391485,7.486958,3.095473,0.876
"2002","HES1","hurdle",4.76867697183486e-24,2.45212,5.366153,2.914033,0.876
"5106","TRPS1","hurdle",1.04820536295025e-21,5.409056,8.494385,3.085329,0.874
"1825","GLI3","hurdle",3.70916209790379e-32,0.6391387,7.3038102,6.6646715,0.874
"4112","RHOJ","hurdle",8.55692875037322e-27,2.861145,6.777801,3.916656,0.872
"3302","NBPF10","hurdle",2.80608323166746e-24,1.936009,5.397957,3.461948,0.872
"2430","LGI4","hurdle",8.46893033879064e-25,1.852483,5.137371,3.284888,0.872
"374","AXL","hurdle",4.7909601836834e-21,7.802764,10.609971,2.807207,0.872
"3938","PTN","hurdle",4.31694241345119e-20,7.008532,8.906512,1.89798,0.871
"2434","LIFR","hurdle",3.10886308317849e-21,6.532137,9.458016,2.925879,0.871
"2275","KCNJ10","hurdle",4.67021679746004e-23,5.356652,8.061672,2.70502,0.871
"1917","GRM3","hurdle",2.75947930393835e-22,5.809352,8.991485,3.182133,0.871
"4225","S1PR1","hurdle",1.57077438269048e-29,2.851318,7.719466,4.868148,0.87
"1031","CPT1A","hurdle",1.30372384436017e-23,2.430681,5.809099,3.378418,0.869
"3215","MT1X","hurdle",3.11334938571112e-23,2.890233,5.718759,2.828526,0.868
"4501","SLITRK2","hurdle",1.9511502614293e-18,7.18935,9.427455,2.238105,0.867
"2818","LRIG1","hurdle",4.10694717622947e-22,4.836246,8.778618,3.942372,0.867
"1073","CTNNA2","hurdle",1.20474181021124e-21,4.812038,7.650033,2.837995,0.866
"3612","PDGFRB","hurdle",1.85754336343805e-27,1.648868,6.033849,4.384981,0.865
"2240","ITM2C","hurdle",8.22845448914486e-20,5.691867,8.42106,2.729193,0.865
"1992","HEPACAM","hurdle",1.16740951505502e-26,2.880602,7.098915,4.218313,0.865
"2824","LRP4","hurdle",1.830253881439e-21,5.923433,8.03113,2.107697,0.863
"165","ALDH1L1","hurdle",1.36321360124339e-30,-1.816766,7.254069,9.070835,0.862
"4609","SNTA1","hurdle",7.75270708644666e-25,3.539117,7.309249,3.770132,0.86
"3756","PLXNB1","hurdle",6.3028201092192e-22,4.149765,6.752559,2.602794,0.86
"239","APC","hurdle",1.38196005780749e-15,8.271951,10.562246,2.290295,0.859
"4240","SASH1","hurdle",3.23288316830752e-20,5.634809,8.313337,2.678528,0.858
"3695","PIK3C2A","hurdle",3.29513307050092e-19,5.968659,8.747608,2.778949,0.858
"2214","IQCK","hurdle",8.01999279185439e-18,6.648784,8.82127,2.172486,0.858
"1345","EFEMP1","hurdle",4.38732569058988e-28,3.290734,8.598905,5.308171,0.858
"3934","PTGDS","hurdle",9.64853051887359e-20,6.503402,8.078125,1.574723,0.856
"4668","SPON1","hurdle",2.64098396846648e-23,3.405687,7.969892,4.564205,0.854
"966","CNN3","hurdle",4.66763636748382e-19,6.670794,8.641131,1.970337,0.854
"77","ACSL6","hurdle",1.26271203876213e-18,6.264962,8.926593,2.661631,0.854
"3255","MYBPC1","hurdle",2.41907693959744e-27,2.055992,7.038069,4.982077,0.853
"1247","DNAH7","hurdle",1.55268821939657e-21,3.95286,7.664786,3.711926,0.853
"5031","TNS3","hurdle",5.55941008985738e-22,4.181131,8.138577,3.957446,0.852
"4626","SORBS1","hurdle",3.59083111204894e-18,6.548817,9.096426,2.547609,0.852
"4242","SAT1","hurdle",8.96786226993436e-15,9.657902,12.114331,2.456429,0.852
"2022","HIF3A","hurdle",1.08552739198674e-22,3.486408,7.495623,4.009215,0.851
"1880","GPR125","hurdle",2.80005465218564e-24,2.447383,7.483972,5.036589,0.851
"1120","CYP4V2","hurdle",6.79020496604655e-21,4.755917,8.223005,3.467088,0.851
"1994","HEPH","hurdle",1.50612618063424e-23,2.980706,7.00149,4.020784,0.85
"5157","TUBB2B","hurdle",2.32683377372678e-21,4.358751,7.238127,2.879376,0.849
"4832","TCF7L2","hurdle",1.68794834395317e-19,5.076442,8.521676,3.445234,0.849
"1877","GPM6A","hurdle",1.22787238295719e-12,9.579614,11.612238,2.032624,0.849
"928","CKB","hurdle",1.15038313140711e-13,8.424144,10.441324,2.01718,0.849
"5395","ZFHX4","hurdle",4.52355194065356e-19,6.403083,9.114884,2.711801,0.848
"1404","EMX2OS","hurdle",1.45624255083423e-25,2.327481,7.175441,4.84796,0.847
"400","BCAN","hurdle",3.90469085865728e-19,5.115035,8.080104,2.965069,0.847
"2211","IQCA1","hurdle",1.69270067785201e-20,4.296902,7.370575,3.073673,0.845
"1391","ELOVL2","hurdle",5.50028417371187e-21,3.953695,7.614377,3.660682,0.842
"2431","LGR4","hurdle",3.36844333740135e-21,3.290073,7.395113,4.10504,0.841
"4897","TIMP3","hurdle",7.27785561197262e-18,7.383096,9.476328,2.093232,0.84
"3483","OPHN1","hurdle",6.0640500354008e-18,4.628324,7.638868,3.010544,0.84
"3761","PMP2","hurdle",2.18411077928234e-18,6.415793,8.944887,2.529094,0.839
"2969","MEGF10","hurdle",6.16760779243479e-19,5.639878,7.640502,2.000624,0.839
"3350","NFIA","hurdle",1.26993083747044e-14,7.849712,10.161014,2.311302,0.836
"1596","FAT1","hurdle",8.59542849766835e-19,3.919473,7.465,3.545527,0.836
"702","CABLES1","hurdle",3.10054156828625e-21,2.404038,6.79068,4.386642,0.836
"3303","NBPF14","hurdle",3.99740249957948e-19,1.652988,3.885322,2.232334,0.835
"202","ANKDD1A","hurdle",8.50211370459467e-19,3.450168,6.364121,2.913953,0.835
"4982","TMEM47","hurdle",2.51715385961198e-18,5.664577,8.433296,2.768719,0.831
"1529","FAM184A","hurdle",4.11855618250632e-17,5.059275,7.648062,2.588787,0.831
"916","CHST9-AS1","hurdle",3.25480893550918e-28,-0.5219859,7.061602,7.5835879,0.831
"412","BDH2","hurdle",2.20234003327779e-20,3.112962,6.493455,3.380493,0.831
"704","CACHD1","hurdle",1.84592164904324e-19,3.333719,7.518774,4.185055,0.829
"5324","WIF1","hurdle",6.59842657235515e-19,4.292287,8.843273,4.550986,0.828
"393","BBOX1","hurdle",3.75204144900092e-26,1.68955,6.419539,4.729989,0.828
"322","ASPH","hurdle",4.29953804475347e-17,5.947849,9.261231,3.313382,0.828
"20","ABCC9","hurdle",5.69930580800322e-25,1.992378,7.062647,5.070269,0.826
"3466","OAF","hurdle",1.86625137111271e-26,-1.167178,5.629921,6.797099,0.825
"3395","NOTCH2","hurdle",5.81458117585293e-19,4.595518,7.630907,3.035389,0.825
"4630","SOX2","hurdle",1.00953413542312e-15,4.085673,6.132006,2.046333,0.824
"3280","NACC2","hurdle",3.33963007717468e-16,3.958697,6.201634,2.242937,0.824
"1626","FERMT2","hurdle",6.84845069364612e-17,5.085806,7.857198,2.771392,0.824
"1272","DOCK7","hurdle",5.06489186588065e-17,5.501068,8.024889,2.523821,0.824
"285","ARHGEF26","hurdle",1.78225216863717e-17,4.259222,7.512033,3.252811,0.824
"139","AHNAK","hurdle",1.61771151884132e-19,3.771469,6.521588,2.750119,0.824
"100","ADD3","hurdle",8.95438910752038e-14,7.576219,9.452381,1.876162,0.824
"78","ACSS1","hurdle",4.26862576075752e-21,2.809479,7.157624,4.348145,0.824
"4398","SLC1A4","hurdle",1.03699378202431e-18,4.652191,8.642238,3.990047,0.823
"3905","PSAT1","hurdle",8.79003731129538e-16,7.201445,9.234091,2.032646,0.821
"41","ACACB","hurdle",4.4891924856424e-19,2.522493,6.859024,4.336531,0.821
"3753","PLTP","hurdle",3.37808921904011e-24,2.290932,7.510375,5.219443,0.82
"391","BAZ2B","hurdle",7.14311205266388e-13,7.47338,9.105917,1.632537,0.819
"4890","THSD1","hurdle",1.82320665818628e-21,2.523618,6.776529,4.252911,0.818
"5412","ZIC2","hurdle",1.1468447199494e-21,3.897935,7.89923,4.001295,0.817
"3371","NKAIN4","hurdle",4.83822561089279e-24,0.3503704,5.9331005,5.5827301,0.817
"3155","MMP28","hurdle",5.75516466994714e-22,0.7624871,5.456361,4.6938739,0.816
"2139","IFITM3","hurdle",1.84220365851039e-18,5.626452,7.351466,1.725014,0.816
"2115","HTRA1","hurdle",4.73507804819317e-14,6.714634,9.04766,2.333026,0.816
"4020","RAPGEF3","hurdle",3.57926351825864e-18,1.915577,5.1127,3.197123,0.814
"1873","GPC5","hurdle",4.6502712649803e-23,1.856061,6.716947,4.860886,0.814
"1080","CTSH","hurdle",8.01120996355304e-20,3.114457,7.732983,4.618526,0.814
"4739","STOX1","hurdle",8.20023944786386e-19,3.359161,7.436403,4.077242,0.813
"3332","NEBL","hurdle",6.82570940669098e-14,6.421993,8.549828,2.127835,0.813
"738","CAT","hurdle",3.95836803930186e-17,4.35591,8.118372,3.762462,0.813
"431","BMP7","hurdle",2.55061332466594e-19,3.197197,6.436564,3.239367,0.813
"4110","RHOBTB3","hurdle",1.25619030696872e-14,5.852091,8.013318,2.161227,0.812
"5350","YAP1","hurdle",2.4848314472153e-22,1.139561,5.951642,4.812081,0.811
"4303","SELENBP1","hurdle",1.04361044563604e-23,0.7851893,7.5878924,6.8027031,0.811
"3749","PLIN5","hurdle",2.5506851945216e-22,-0.04401004,5.21334728,5.25735732,0.811
"1654","FKBP9","hurdle",4.30705122136035e-15,4.728848,7.561651,2.832803,0.811
"1059","CSRP1","hurdle",3.31116569670062e-15,6.526884,8.644508,2.117624,0.811
"5401","ZFP36L1","hurdle",3.00914965012498e-15,5.232231,7.446176,2.213945,0.81
"5265","VIM","hurdle",7.89837001860463e-17,5.738659,7.329355,1.590696,0.81
"1114","CYP2J2","hurdle",3.54163371224788e-20,3.208439,6.986705,3.778266,0.81
"3967","PYGM","hurdle",8.67172012783659e-23,1.305794,5.223348,3.917554,0.809
"3704","PITPNC1","hurdle",8.42359613438305e-19,2.629866,5.887447,3.257581,0.809
"3646","PFKFB3","hurdle",6.4151406345109e-17,2.18679,5.33709,3.1503,0.809
"4272","SCRG1","hurdle",1.79685439246899e-13,4.907171,7.17254,2.265369,0.808
"3211","MT1G","hurdle",3.1125867567716e-22,0.712038,5.260851,4.548813,0.807
"3210","MT1F","hurdle",6.8504646670422e-21,1.349609,5.137371,3.787762,0.807
"5024","TNIK","hurdle",7.85591810232134e-13,6.402012,8.958609,2.556597,0.806
"3501","OSBPL11","hurdle",2.78655018588255e-15,4.990324,8.4566,3.466276,0.806
"4470","SLC39A11","hurdle",5.25214305856784e-15,4.870486,8.142618,3.272132,0.805
"3214","MT1M","hurdle",1.1615923357814e-20,1.191472,5.347986,4.156514,0.805
"2974","MEIS2","hurdle",7.33552942408732e-17,3.620271,6.815063,3.194792,0.805
"3526","PALLD","hurdle",1.41954646901055e-14,4.350846,7.018999,2.668153,0.803
"2850","LSAMP","hurdle",1.19104773607246e-11,8.096882,9.919685,1.822803,0.803
"2463","LINC00478","hurdle",4.66943375913686e-14,5.080271,7.106871,2.0266,0.802
"1130","DAG1","hurdle",6.82697532928464e-15,2.842325,5.864865,3.02254,0.802
"643","C6orf192","hurdle",2.0985249091241e-15,5.011338,8.10212,3.090782,0.802
"3752","PLSCR4","hurdle",3.6318530179595e-17,4.345446,7.419104,3.073658,0.801
"138","AHCYL2","hurdle",2.55080385058656e-15,5.032049,7.755986,2.723937,0.8
"4737","STOM","hurdle",1.00182336517352e-14,7.238246,9.155724,1.917478,0.799
"2086","HRSP12","hurdle",1.22355227399087e-15,3.543562,7.207597,3.664035,0.799
"1532","FAM189A2","hurdle",1.4196062772037e-22,0.4812619,6.4274007,5.9461388,0.798
"4474","SLC3A2","hurdle",1.09085704565063e-15,5.192622,8.10432,2.911698,0.797
"2229","ITGA6","hurdle",1.54475697487079e-16,4.779429,8.448762,3.669333,0.796
"1520","FAM171B","hurdle",5.5739305777886e-13,5.119695,8.106685,2.98699,0.796
"5151","TTPA","hurdle",1.14623852279112e-20,0.4437018,4.9278353,4.4841335,0.795
"4098","RGS20","hurdle",5.06998002839952e-22,0.9583225,7.1169643,6.1586418,0.795
"1565","FAM59B","hurdle",1.61740998876209e-20,2.615159,5.920478,3.305319,0.795
"4220","S100A13","hurdle",8.35860621539806e-17,2.929825,6.266545,3.33672,0.794
"2472","LIX1","hurdle",4.19717706766777e-17,4.959882,8.213238,3.253356,0.794
"5203","UG0898H09","hurdle",3.12823035958097e-15,5.340776,7.197803,1.857027,0.793
"1105","CYBRD1","hurdle",7.39370365462589e-17,4.705234,7.39608,2.690846,0.793
"12","ABCA1","hurdle",3.29681304190424e-11,7.8156,9.835444,2.019844,0.792
"4776","SYNE1","hurdle",1.1053371271962e-10,8.771449,10.347143,1.575694,0.791
"3833","PPP1R1B","hurdle",6.89846352172548e-20,1.761915,6.647621,4.885706,0.791
"3856","PRCP","hurdle",3.57172643801209e-14,4.731529,7.655467,2.923938,0.79
"2260","KAL1","hurdle",6.0704068244985e-16,2.937446,6.418451,3.481005,0.789
"2097","HSD17B6","hurdle",3.21276132782632e-18,2.115427,6.998763,4.883336,0.789
"4632","SOX5","hurdle",7.19085406481499e-14,4.376924,7.696541,3.319617,0.788
"614","C2orf72","hurdle",6.96971536775769e-17,3.441262,5.901139,2.459877,0.788
"4373","SIRPA","hurdle",1.38977163918746e-12,4.905445,7.121818,2.216373,0.787
"3011","MGLL","hurdle",3.15427900208381e-12,5.641564,7.908848,2.267284,0.787
"4911","TLR4","hurdle",4.11289049358069e-15,3.93436,7.070285,3.135925,0.786
"104","ADHFE1","hurdle",4.59904905662284e-16,3.500768,7.494204,3.993436,0.786
"5160","TULP3","hurdle",1.97759235546159e-14,3.551309,6.308251,2.756942,0.785
"5055","TPP1","hurdle",3.61948099321658e-12,5.675125,8.115606,2.440481,0.785
"4481","SLC48A1","hurdle",2.83753233988727e-11,7.277889,8.942051,1.664162,0.785
"1034","CRB1","hurdle",7.36210982932203e-13,4.557834,7.628322,3.070488,0.785
"4441","SLC2A4","hurdle",3.89552617491658e-22,0.3401854,6.5281579,6.1879725,0.784
"144","AIFM3","hurdle",4.42760306331244e-19,0.5754426,6.2344543,5.6590117,0.784
"2480","LMO3","hurdle",3.04700336611765e-12,6.321063,8.433363,2.1123,0.782
"2429","LGI1","hurdle",4.71888764368457e-12,6.736215,9.159228,2.423013,0.782
"170","ALDH7A1","hurdle",1.79651541978686e-12,5.004098,7.452832,2.448734,0.782
"2846","LRRC8A","hurdle",9.24812603382618e-11,5.842088,8.606507,2.764419,0.781
"241","APCDD1","hurdle",1.45629152086264e-13,3.959529,6.277985,2.318456,0.781
"1071","CTH","hurdle",2.04767201944434e-13,4.151223,7.560912,3.409689,0.78
"1052","CSGALNACT1","hurdle",1.23790062301252e-11,6.510018,8.985622,2.475604,0.78
"40","ACAA2","hurdle",2.56412362051699e-14,4.029734,7.01864,2.988906,0.78
"3409","NQO1","hurdle",9.81076182586016e-15,3.316938,7.117802,3.800864,0.779
"2993","MFAP3L","hurdle",1.21449730802451e-13,5.170518,7.26076,2.090242,0.779
"2244","ITPKB","hurdle",2.46184492363409e-14,3.996478,7.061079,3.064601,0.779
"1913","GRIN2C","hurdle",5.71174191531282e-21,-1.438079,4.248172,5.686251,0.779
"961","CMYA5","hurdle",6.23535544089027e-13,5.279301,7.490197,2.210896,0.779
"898","CHI3L1","hurdle",1.02916958109076e-21,-1.58561,7.083213,8.668823,0.778
"4079","RFTN2","hurdle",2.15985729280722e-12,7.787414,9.207849,1.420435,0.777
"3523","PADI2","hurdle",6.6034307998989e-13,5.563002,6.855612,1.29261,0.777
"150","AK4","hurdle",3.01636055044755e-13,4.314566,7.511013,3.196447,0.777
"4261","SCG3","hurdle",1.32487400944576e-10,7.269737,9.384582,2.114845,0.776
"1197","DENND1A","hurdle",1.42734986998178e-14,3.647371,6.850782,3.203411,0.776
"166","ALDH2","hurdle",1.06898354052107e-12,4.783428,7.576356,2.792928,0.776
"3540","PARD3B","hurdle",3.38762776908861e-15,2.112438,5.200116,3.087678,0.775
"709","CADM1","hurdle",1.3962247442085e-09,7.403568,9.359296,1.955728,0.775
"3618","PDK4","hurdle",2.16150340213942e-12,6.703938,9.140591,2.436653,0.774
"397","BBS2","hurdle",7.56363617968155e-12,6.554678,8.610739,2.056061,0.774
"4252","SCARA3","hurdle",1.6616588485838e-17,1.784626,6.809473,5.024847,0.772
"35","ABLIM1","hurdle",2.15724198787526e-10,6.839983,8.513358,1.673375,0.772
"5328","WLS","hurdle",1.3810680327608e-11,4.596855,6.192118,1.595263,0.771
"291","ARHGEF6","hurdle",6.95511807504915e-14,3.983858,7.841052,3.857194,0.771
"4975","TMEM220","hurdle",7.50449100962558e-17,0.1780965,5.1803584,5.0022619,0.77
"3671","PHKA1","hurdle",1.82903130360878e-16,3.333077,5.96325,2.630173,0.77
"3396","NOTCH2NL","hurdle",7.53673568969911e-14,2.04035,5.988758,3.948408,0.769
"1541","FAM198B","hurdle",7.06879875004802e-15,4.223651,5.870842,1.647191,0.769
"2232","ITGAV","hurdle",2.58588434631487e-10,5.944911,8.046085,2.101174,0.768
"715","CAMK2G","hurdle",2.47001922359357e-11,6.053998,8.302101,2.248103,0.768
"430","BMP2K","hurdle",8.08252598949797e-13,4.698024,7.861107,3.163083,0.768
"4155","RNF43","hurdle",3.12872839673449e-17,0.3953334,5.0001454,4.604812,0.767
"1192","DECR1","hurdle",1.08116853021801e-11,4.844826,7.36945,2.524624,0.767
"3461","NWD1","hurdle",3.09001102276912e-17,0.4051376,5.4166001,5.0114625,0.766
"3003","MGAT4C","hurdle",4.99559631543813e-13,4.13548,7.713048,3.577568,0.766
"5530","ZNF516","hurdle",3.82675666958445e-12,4.670598,6.641807,1.971209,0.765
"5051","TPCN1","hurdle",7.81711678563129e-14,2.814086,6.162862,3.348776,0.765
"3670","PHGDH","hurdle",1.53826927247707e-18,3.844443,8.165491,4.321048,0.765
"3896","PRSS35","hurdle",2.50107362813994e-19,-0.6081139,6.6729271,7.281041,0.764
"3330","NEAT1","hurdle",1.40151826504676e-10,6.143016,7.992271,1.849255,0.764
"3929","PTCH1","hurdle",1.09898337772997e-11,3.919045,6.238775,2.31973,0.763
"1758","GABRB1","hurdle",3.57635820692915e-11,5.820042,7.61414,1.794098,0.763
"1161","DCUN1D1","hurdle",3.30796907189603e-10,6.005881,7.678367,1.672486,0.763
"3836","PPP1R3C","hurdle",9.83429901615592e-15,4.26091,7.666963,3.406053,0.762
"1846","GNA14","hurdle",4.25000101837674e-19,0.9549891,6.5630302,5.6080411,0.762
"4784","SYTL4","hurdle",1.01912165682134e-17,2.952568,5.908906,2.956338,0.761
"4841","TEAD1","hurdle",1.66463622748883e-10,4.677187,6.727525,2.050338,0.76
"3700","PIPOX","hurdle",5.10749969132935e-18,-1.015611,5.262065,6.277676,0.76
"3431","NT5E","hurdle",2.06247901054251e-14,2.652679,6.084105,3.431426,0.76
