"","Gene","test.type","p_value","log2.mean.Cluster_Other","log2.mean.microglia","log2fold_change","Auc"
"1102","LPIN3","hurdle",0.403527627367866,1.869438,3.345183,1.475745,0.503
"809","HMGXB3","hurdle",0.578169643349212,3.784924,4.602142,0.817218,0.503
"688","FUT11","hurdle",0.463466797232978,1.213709,2.563768,1.350059,0.503
"74","ANKRD7","hurdle",0.529330636329964,0.02076622,1.19377174,1.17300552,0.503
"21","ACSL5","hurdle",0.855998784391861,1.972795,2.563768,0.590973,0.503
"2043","TTC31","hurdle",0.738308502912626,3.059687,3.738768,0.679081,0.502
"1824","SNORA72","hurdle",0.298481467100289,1.026306,3.145677,2.119371,0.502
"1576","RBMS1","hurdle",0.653561045623799,3.499769,4.862947,1.363178,0.502
"1080","LOC644961","hurdle",0.653570720062745,2.684176,5.054197,2.370021,0.502
"1014","LOC100216545","hurdle",0.124304728599536,1.581203,3.980711,2.399508,0.502
"865","IL20RA","hurdle",0.137416916220494,2.576805,6.476341,3.899536,0.502
"626","FAM84B","hurdle",0.378850936369708,3.811525,5.626804,1.815279,0.502
"615","FAM175A","hurdle",0.217474923313457,2.565072,6.792465,4.227393,0.502
"391","CNOT1","hurdle",0.0519137131908931,6.29376,7.965279,1.671519,0.502
"152","BCAS2","hurdle",0.946804894873462,6.815039,8.045964,1.230925,0.502
"132","ATP7A","hurdle",0.420914875286619,3.968108,5.37417,1.406062,0.502
"2194","ZNF333","hurdle",0.374167923232864,5.449512,6.350497,0.900984999999999,0.501
"1752","SHCBP1","hurdle",0.391661600401755,1.932618,3.397461,1.464843,0.501
"1747","SH3KBP1","hurdle",0.833679370531056,4.917382,5.863567,0.946185,0.501
"1732","SF3A3","hurdle",0.11620655501064,5.958593,7.611763,1.65317,0.501
"548","EFHD2","hurdle",0.0776704152527961,1.044622,3.006747,1.962125,0.501
"192","C10orf67","hurdle",0.297181893790254,1.149883,3.040016,1.890133,0.501
"1755","SHQ1","hurdle",0.623959183445092,3.433803,4.241268,0.807465,0.5
"1630","RNFT1","hurdle",0.987858548382928,4.464032,6.201634,1.737602,0.5
"1190","MIER2","hurdle",0.192347910835972,0.18073,2.141596,1.960866,0.5
"1071","LOC401010","hurdle",0.148490250976758,-1.2525607,0.3645724,1.6171331,0.5
"963","LENG1","hurdle",0.0598140207077837,-0.8340134,2.0789513,2.9129647,0.5
"941","KLHL21","hurdle",0.964671528524039,4.196758,4.869131,0.672373,0.5
"647","FDX1","hurdle",0.286995308160598,3.950177,4.812498,0.862321,0.5
"559","EIF3G","hurdle",0.97003484542251,3.886329,6.253375,2.367046,0.5
"422","CSNK1D","hurdle",0.682601382590027,3.787257,4.74685,0.959593,0.5
"398","COL5A1","hurdle",0.213422536308614,-0.2141034,1.9448584,2.1589618,0.5
"275","CASC1","hurdle",0.454395612380539,2.647841,4.16792,1.520079,0.5
"9","ABHD8","hurdle",0.0192138214642985,-1.518409,1.193772,2.712181,0.5
"2071","UBE2Q2","hurdle",0.508726740500777,4.514416,6.050665,1.536249,0.499
"215","C18orf21","hurdle",0.0360525566078835,2.976275,5.900263,2.923988,0.499
"154","BCCIP","hurdle",0.583945622123008,5.357146,6.064204,0.707058,0.499
"2040","TSR1","hurdle",0.58306712598322,4.322438,6.267489,1.945051,0.498
"1822","SNORA66","hurdle",0.252154275988808,1.387764,3.300124,1.91236,0.498
"1539","QTRTD1","hurdle",0.309325573937603,4.175249,5.602884,1.427635,0.498
"1040","LOC100630918","hurdle",0.112730699191642,0.5055887,3.0832134,2.5776247,0.498
"1035","LOC100507424","hurdle",0.283186970560073,-0.2017143,1.3434078,1.5451221,0.498
"851","IGSF10","hurdle",0.0523554228292442,1.095705,4.685099,3.589394,0.498
"561","EIF3M","hurdle",0.292959023337368,5.995543,7.848858,1.853315,0.498
"549","EGFL7","hurdle",0.192097257784282,-0.9850607,0.4329594,1.4180201,0.498
"2141","YIPF1","hurdle",0.839751230914415,4.229148,6.277985,2.048837,0.497
"1624","RNF149","hurdle",0.435802632064002,4.658774,6.282625,1.623851,0.497
"1498","PRKRIR","hurdle",0.646179249467905,3.989537,5.835419,1.845882,0.497
"1087","LOC728190","hurdle",0.220794453245912,1.956305,2.815063,0.858758,0.497
"667","FLJ43663","hurdle",0.216417059328048,4.948806,6.666757,1.717951,0.497
"481","DDX3Y","hurdle",0.189114285421608,7.039628,7.68895,0.649322,0.497
"447","CYB561D1","hurdle",0.443293159500761,1.711372,3.464342,1.75297,0.497
"2126","WDR24","hurdle",0.193169516051667,0.04695966,2.18189764,2.13493798,0.496
"2119","WAPAL","hurdle",0.996468198995858,5.885177,6.661422,0.776245,0.496
"1778","SLC2A14","hurdle",0.108843705568025,-1.5812132,-0.1321035,1.4491097,0.496
"1000","LOC100130581","hurdle",0.115297279289931,1.449942,4.631541,3.181599,0.496
"769","HAUS8","hurdle",0.324805454714625,0.9862587,2.6235157,1.637257,0.496
"737","GPN2","hurdle",0.301579814277387,1.848742,3.725196,1.876454,0.496
"477","DDR1","hurdle",0.126222220005746,-0.09475505,2.41953889,2.51429394,0.496
"476","DDI2","hurdle",0.299753348642135,1.16909,2.76288,1.59379,0.496
"5","ABCC10","hurdle",0.923566746891694,2.770023,4.008989,1.238966,0.496
"2235","ZNF880","hurdle",0.931443246047701,3.787257,4.529821,0.742564,0.495
"2170","ZMIZ1","hurdle",0.942117839025415,5.835794,6.445636,0.609842,0.495
"1849","SP1","hurdle",0.627097975789559,4.067737,5.223036,1.155299,0.495
"1511","PSMB7","hurdle",0.844347730018258,5.787966,6.858447,1.070481,0.495
"2150","ZC3H3","hurdle",0.0269565498408271,-1.153792,1.193772,2.347564,0.494
"1684","RTN2","hurdle",0.234225902552259,-1.0172651,0.2172307,1.2344958,0.494
"1480","PPM1L","hurdle",0.541782772953644,0.7483974,1.3074285,0.5590311,0.494
"1336","NUAK1","hurdle",0.893500606850356,6.97587,7.676662,0.700792000000001,0.494
"927","KIAA1033","hurdle",0.992893425183551,6.817038,7.355681,0.538643,0.494
"703","GGA3","hurdle",0.824959056264121,4.150095,5.569096,1.419001,0.494
"429","CTNND1","hurdle",0.30883852081155,1.123048,1.968091,0.845043,0.494
"1501","PRPH2","hurdle",0.227227304858043,2.887018,5.507002,2.619984,0.493
"1353","OGFR","hurdle",0.765496541127546,0.6355516,2.2964574,1.6609058,0.493
"964","LENG9","hurdle",0.192973944332091,-2.073718,-1.514573,0.559145,0.493
"627","FAM86DP","hurdle",0.177969422998828,1.318492,3.281698,1.963206,0.493
"259","C9orf41","hurdle",0.0764203393622346,2.519966,6.0232,3.503234,0.493
"1626","RNF168","hurdle",0.351241672584659,5.838984,6.913338,1.074354,0.492
"1013","LOC100134713","hurdle",0.179846532556894,2.66992,4.008989,1.339069,0.492
"247","C4orf45","hurdle",0.529773755554386,1.51519,2.36807,0.85288,0.492
"71","ANKRD13D","hurdle",0.460799451353356,2.208032,5.183883,2.975851,0.492
"2221","ZNF69","hurdle",0.28874207049025,-0.04964954,0.83794324,0.88759278,0.491
"1925","TCEANC2","hurdle",0.259503106491835,1.563167,3.15583,1.592663,0.491
"1457","PLK4","hurdle",0.0269744618569946,1.385713,6.105385,4.719672,0.491
"1331","NRARP","hurdle",0.313866005876011,0.2318618,1.3434078,1.111546,0.491
"1287","NAMPT","hurdle",0.977924766419152,6.07486,7.923922,1.849062,0.491
"1281","N4BP2","hurdle",0.934491826970128,5.699501,6.802193,1.102692,0.491
"1280","MYOM2","hurdle",0.962517407714161,2.392981,3.165912,0.772931,0.491
"1152","MAT2A","hurdle",0.350705694458009,6.947038,7.789778,0.84274,0.491
"383","CLPB","hurdle",0.235447135065719,1.982328,4.274262,2.291934,0.491
"2102","UXT","hurdle",0.796344576025003,3.986157,4.828454,0.842297,0.49
"2028","TRIM11","hurdle",0.567964354870034,1.851717,2.436295,0.584578,0.49
"1875","SRSF9","hurdle",0.715427025557496,2.564165,3.456149,0.891984,0.49
"1676","RRAGC","hurdle",0.128566659481968,3.582234,4.74685,1.164616,0.49
"1573","RBM34","hurdle",0.0789619191643245,4.478298,5.838574,1.360276,0.49
"1515","PSMD9","hurdle",0.307813739195577,4.109348,5.843293,1.733945,0.49
"1418","PGM2","hurdle",0.740118154422701,3.877963,5.302867,1.424904,0.49
"69","AMMECR1L","hurdle",0.809835067852572,2.828574,3.855491,1.026917,0.49
"2050","TTLL3","hurdle",0.0159144999149232,0.7579433,4.7701683,4.012225,0.489
"1872","SRPR","hurdle",0.0382976952887687,4.836911,7.321703,2.484792,0.489
"1821","SNORA48","hurdle",0.228499223270953,0.7985941,2.3504972,1.5519031,0.489
"1739","SGTA","hurdle",0.0555056922540564,3.547336,6.591148,3.043812,0.489
"1551","RABGEF1","hurdle",0.416910728812354,5.368226,6.207746,0.83952,0.489
"1446","PLAGL2","hurdle",0.276709027111724,2.070517,2.722466,0.651949,0.489
"1126","LYPLA1","hurdle",0.321505416388883,3.899327,6.798148,2.898821,0.489
"1010","LOC100132724","hurdle",0.00636766266504452,-1.095328,1.57289,2.668218,0.489
"787","HIST1H4E","hurdle",0.0282355585402502,0.8016741,4.3469569,3.5452828,0.489
"780","HENMT1","hurdle",0.0964909241477527,4.05521,6.313563,2.258353,0.489
"576","ENO4","hurdle",0.445550047062376,3.777513,5.65571,1.878197,0.489
"404","COX16","hurdle",0.418772458011083,3.29207,3.922436,0.630366,0.489
"261","C9orf82","hurdle",0.56528491697026,3.64274,5.083745,1.441005,0.489
"2210","ZNF550","hurdle",0.057061588239655,2.658073,6.508389,3.850316,0.488
"2192","ZNF317","hurdle",0.952611738550884,4.909195,6.241507,1.332312,0.488
"2173","ZNF117","hurdle",0.34765435813137,3.972214,4.541484,0.569269999999999,0.488
"1664","RPS15AP10","hurdle",0.242763373712846,2.093319,4.074677,1.981358,0.488
"1642","RPL18","hurdle",0.97858206416396,5.026389,6.108002,1.081613,0.488
"1286","NAB2","hurdle",0.430642527272436,4.102184,5.227857,1.125673,0.488
"1155","MB21D2","hurdle",0.958356579490593,3.581786,4.533719,0.951932999999999,0.488
"265","CALML4","hurdle",0.475339720943532,2.904314,5.414897,2.510583,0.488
"2200","ZNF354B","hurdle",0.24219509610774,2.751029,4.22207,1.471041,0.487
"2166","ZFYVE19","hurdle",0.80080581285121,2.854018,5.797013,2.942995,0.487
"1690","RWDD4","hurdle",0.309619457124758,2.481111,3.626439,1.145328,0.487
"1398","PBX3","hurdle",0.303814710062706,2.350497,3.934281,1.583784,0.487
"1329","NR1H2","hurdle",0.648425843361298,2.006555,4.699052,2.692497,0.487
"993","LMAN2L","hurdle",0.701717877506795,4.139483,6.204082,2.064599,0.487
"913","KCNK2","hurdle",0.421201135032907,3.017922,3.922436,0.904514,0.487
"781","HEXB","hurdle",0.00299200974598545,3.251536,5.898753,2.647217,0.487
"380","CLINT1","hurdle",0.570031256965236,5.29129,6.926741,1.635451,0.487
"298","CCND1","hurdle",0.100674168355114,3.335221,4.68159,1.346369,0.487
"61","ALG11","hurdle",0.344840264796539,3.878328,5.442114,1.563786,0.487
"1793","SLC39A8","hurdle",0.244119276017649,2.614951,4.364572,1.749621,0.486
"1623","RNF145","hurdle",0.960376686255745,4.744701,5.446256,0.701555,0.486
"1454","PLEKHM1","hurdle",0.0663988333268949,-0.0776748,2.2403143,2.3179891,0.486
"986","LINC00320","hurdle",0.371025163517493,5.737793,6.974845,1.237052,0.486
"933","KIAA2013","hurdle",0.693211265775285,2.233345,4.346957,2.113612,0.486
"528","DR1","hurdle",0.207712679537226,3.09401,6.319221,3.225211,0.486
"166","BIRC2","hurdle",0.978783844363354,6.028945,7.042754,1.013809,0.486
"2234","ZNF865","hurdle",0.174507234546557,1.410135,2.53294,1.122805,0.485
"2220","ZNF678","hurdle",0.0199761205402524,3.369355,5.580447,2.211092,0.485
"1898","SUCLG2","hurdle",0.655406920356968,3.634127,5.58233,1.948203,0.485
"1579","RC3H1","hurdle",0.610551903244266,6.846977,7.880961,1.033984,0.485
"1506","PSEN1","hurdle",0.0674255237985678,6.43911,7.368834,0.929723999999999,0.485
"305","CCZ1B","hurdle",0.175711074332845,2.459822,3.50462,1.044798,0.485
"46","AGMAT","hurdle",0.32146745568061,-0.04410923,0.56071495,0.60482418,0.485
"1744","SH3BP4","hurdle",0.317199834904024,3.39762,5.083745,1.686125,0.484
"1594","RFX1","hurdle",0.0143487427272166,-0.2141034,3.3183168,3.5324202,0.484
"1452","PLEKHG2","hurdle",0.183953239927951,1.581203,2.419539,0.838336,0.484
"1384","PABPN1","hurdle",0.150793873363949,1.057563,2.141596,1.084033,0.484
"1355","OIP5","hurdle",0.155733001916425,1.535683,3.397461,1.861778,0.484
"1252","MTAP","hurdle",0.43647750282943,4.484301,5.871289,1.386988,0.484
"1066","LOC387723","hurdle",0.0969393553249447,0.4750463,2.4692348,1.9941885,0.484
"1053","LOC284023","hurdle",0.7680826177465,3.600034,4.899659,1.299625,0.484
"282","CASP7","hurdle",0.0395740223853847,2.044752,6.366978,4.322226,0.484
"131","ATP6V1G1","hurdle",0.975861919138971,6.966295,7.763461,0.797166000000001,0.484
"1947","TIMM17A","hurdle",0.666792369680425,6.334802,7.258919,0.924117,0.483
"1559","RAPH1","hurdle",0.647822454703899,5.699398,7.92763,2.228232,0.483
"1430","PIGO","hurdle",0.0364082111401151,3.568285,5.35447,1.786185,0.483
"1097","LONRF3","hurdle",0.705892994418599,2.957065,4.069315,1.11225,0.483
"175","BRAP","hurdle",0.095689687671555,4.030152,8.255501,4.225349,0.483
"36","ADPGK","hurdle",0.335453545156373,2.960514,4.390599,1.430085,0.483
"2187","ZNF259","hurdle",0.340655669070558,2.110808,2.925999,0.815191,0.482
"1801","SLC9B1","hurdle",0.096317644656396,0.546556,2.419539,1.872983,0.482
"1799","SLC7A8","hurdle",0.832613697969923,4.237133,4.841093,0.60396,0.482
"1616","RNASEL","hurdle",0.275114553328126,3.198775,4.264912,1.066137,0.482
"980","LINC00115","hurdle",0.211425683312606,2.363062,4.157852,1.79479,0.482
"783","HIC2","hurdle",0.165428589880066,0.8016741,2.4854268,1.6837527,0.482
"577","ENPP1","hurdle",0.0380400563213478,2.735007,6.920799,4.185792,0.482
"426","CTDNEP1","hurdle",0.368608182056514,1.635724,2.76288,1.127156,0.482
"1908","SYNDIG1","hurdle",0.109702252578033,3.768489,7.654457,3.885968,0.481
"1344","NUS1","hurdle",0.557947728577107,3.715991,5.261155,1.545164,0.481
"1278","MYO9B","hurdle",0.453609842992444,3.364156,5.613974,2.249818,0.481
"1162","MDK","hurdle",0.0611364685487781,0.7985941,3.2152903,2.4166962,0.481
"619","FAM198B","hurdle",0.0735079933742732,4.697115,5.673486,0.976370999999999,0.481
"1818","SNHG3","hurdle",0.950057628093804,4.519803,5.775775,1.255972,0.48
"1229","MMS22L","hurdle",0.816164844933265,4.431345,6.720757,2.289412,0.48
"1062","LOC286367","hurdle",0.253825155942259,2.120707,3.422906,1.302199,0.48
"457","CYP51A1","hurdle",0.645803393529369,7.306694,7.8844,0.577706,0.48
"448","CYB5R1","hurdle",0.946874547535906,5.380509,6.485427,1.104918,0.48
"372","CKS2","hurdle",0.485444568758684,3.713949,4.627899,0.91395,0.48
"13","ACAT2","hurdle",0.527296019667416,5.711116,6.571373,0.860257000000001,0.48
"2125","WDR13","hurdle",0.87891152688522,2.698293,3.690696,0.992403,0.479
"2029","TRIM14","hurdle",0.0759763107146342,1.414166,3.849249,2.435083,0.479
"2007","TOE1","hurdle",0.348144385410803,2.904314,3.725196,0.820882,0.479
"1764","SIPA1L2","hurdle",0.905598456638947,5.985675,7.14249,1.156815,0.479
"1706","SCARNA9","hurdle",0.0588054339247482,-1.2147256,-0.3446482,0.8700774,0.479
"1227","MLXIP","hurdle",0.187636868297955,3.557849,4.73674,1.178891,0.479
"612","FAM133B","hurdle",0.589254882132793,2.34523,4.101188,1.755958,0.479
"348","CENPBD1","hurdle",0.0379683436152675,2.043451,5.889656,3.846205,0.479
"236","C22orf46","hurdle",0.112010535826523,2.184628,4.432959,2.248331,0.479
"2199","ZNF35","hurdle",0.27000436853865,2.119473,3.185867,1.066394,0.478
"2127","WDR27","hurdle",0.500789846410024,2.570499,4.074677,1.504178,0.478
"947","KRCC1","hurdle",0.303156349201825,5.25186,6.378945,1.127085,0.478
"829","HSPA6","hurdle",0.276139120878333,5.34809,6.343852,0.995762,0.478
"812","HNRNPA1","hurdle",0.197490377222348,4.641688,5.561479,0.919791,0.478
"634","FBXO7","hurdle",0.182365594271077,5.725074,6.467198,0.742124,0.478
"589","ERV3-1","hurdle",0.755186700182268,2.646128,4.315602,1.669474,0.478
"503","DISP1","hurdle",0.227687960824836,2.051236,3.093814,1.042578,0.478
"2066","UBASH3B","hurdle",0.861920035418698,5.206682,6.495455,1.288773,0.477
"1919","TBC1D14","hurdle",0.037108774224849,1.492497,4.579693,3.087196,0.477
"1367","ORC6","hurdle",0.276823056268498,2.421292,3.589464,1.168172,0.477
"982","LINC00173","hurdle",0.232294777597032,2.894971,4.137504,1.242533,0.477
"761","GUSBP11","hurdle",0.762077280771811,3.840641,4.809286,0.968645,0.477
"495","DGKD","hurdle",0.12526592434647,4.20143,5.054197,0.852767,0.477
"472","DCAF4L1","hurdle",0.278650774785592,2.573205,3.61912,1.045915,0.477
"165","BIN3","hurdle",0.0422535986882007,3.068664,6.481396,3.412732,0.477
"120","ASPA","hurdle",0.230585390590324,4.051657,5.400026,1.348369,0.477
"2231","ZNF846","hurdle",0.930553408791992,3.613681,5.032321,1.41864,0.476
"2161","ZFP161","hurdle",0.301215572908294,3.637578,5.178914,1.541336,0.476
"1343","NUPR1","hurdle",0.864229665411748,3.216769,3.718362,0.501593,0.476
"977","LIMK1","hurdle",0.482953077502813,0.7830944,2.5789387,1.7958443,0.476
"853","IKBKB","hurdle",0.807450183987002,3.447142,4.799605,1.352463,0.476
"2217","ZNF669","hurdle",0.345325679793062,3.329364,4.182891,0.853527,0.475
"1910","SYNJ2BP","hurdle",0.470798036488541,6.653579,7.447393,0.793814,0.475
"1585","RDH13","hurdle",0.317822024217908,1.891289,2.501439,0.61015,0.475
"1463","PLXND1","hurdle",0.098049063805383,1.555889,3.244126,1.688237,0.475
"1441","PION","hurdle",0.186019292172857,5.547026,7.248283,1.701257,0.475
"1137","MAML2","hurdle",0.934214164468792,3.878693,4.841093,0.9624,0.475
"1050","LOC221442","hurdle",0.155606193064481,2.766087,4.890568,2.124481,0.475
"186","BZW2","hurdle",0.300453225430239,5.155838,5.96953,0.813692,0.475
"134","ATPAF2","hurdle",0.292494107989473,2.415272,3.165912,0.75064,0.475
"31","ADAT1","hurdle",0.254521423094708,4.466945,6.433168,1.966223,0.475
"2197","ZNF34","hurdle",0.102226036269311,4.184422,6.158105,1.973683,0.474
"1672","RPS6KA3","hurdle",0.26299070511549,4.806953,6.565673,1.75872,0.474
"1322","NOL10","hurdle",0.362089937512162,4.422868,5.889656,1.466788,0.474
"715","GLA","hurdle",0.792409044740992,5.07509,5.650334,0.575244,0.474
"516","DNAJC2","hurdle",0.175040086029768,4.236279,5.821136,1.584857,0.474
"281","CASP6","hurdle",0.0679793391868685,2.313213,5.526695,3.213482,0.474
"202","C14orf37","hurdle",0.165348279474546,4.695874,6.991238,2.295364,0.474
"2230","ZNF836","hurdle",0.213288818237567,2.058979,3.165912,1.106933,0.473
"2017","TPP2","hurdle",0.666030314796321,6.082557,7.07588,0.993322999999999,0.473
"1795","SLC4A5","hurdle",0.0803522805965532,3.558759,5.860466,2.301707,0.473
"1784","SLC33A1","hurdle",0.483853185312757,4.200555,5.641329,1.440774,0.473
"1567","RASSF8","hurdle",0.273422815116262,4.734261,6.585526,1.851265,0.473
"635","FBXW11","hurdle",0.0439448788070362,4.467915,6.247453,1.779538,0.473
"526","DPM1","hurdle",0.159916117724543,4.77851,5.906289,1.127779,0.473
"393","CNOT6","hurdle",0.0171645858991493,4.210439,7.196356,2.985917,0.473
"289","CCDC50","hurdle",0.92388969060419,5.927648,6.794091,0.866443,0.473
"164","BIN1","hurdle",0.190421723515042,3.9571,4.976134,1.019034,0.473
"1399","PCBP2","hurdle",0.967429438034838,6.382188,7.514517,1.132329,0.472
"1038","LOC100508120","hurdle",0.196534202698007,1.644328,2.469235,0.824907,0.472
"950","KTI12","hurdle",0.179353637362035,3.215615,4.594698,1.379083,0.472
"416","CSF1","hurdle",0.298024602784522,3.064824,3.66249,0.597666,0.472
"288","CCDC125","hurdle",0.762756369421883,2.978318,3.731998,0.75368,0.472
"2098","UTP20","hurdle",0.842690568513742,4.843651,7.033836,2.190185,0.471
"2078","UFD1L","hurdle",0.0566329832976077,4.221406,5.143638,0.922232,0.471
"2054","TWISTNB","hurdle",0.389408052525945,5.19911,6.340518,1.141408,0.471
"1105","LRIF1","hurdle",0.746407985606472,4.408293,5.512938,1.104645,0.471
"263","CA5B","hurdle",0.574714208179198,1.751746,3.804776,2.05303,0.471
"169","BLVRB","hurdle",0.0914138489275391,3.731821,5.254084,1.522263,0.471
"82","APAF1","hurdle",0.188880191331588,4.868649,6.260449,1.3918,0.471
"58","AKR1B1","hurdle",0.890630849277547,5.893772,6.486433,0.592661,0.471
"2232","ZNF85","hurdle",0.0905791475518483,4.060362,6.782671,2.722309,0.47
"1338","NUB1","hurdle",0.493390834064076,5.141627,7.42238,2.280753,0.47
"1036","LOC100507495","hurdle",0.186358838416649,1.8665,2.88996,1.02346,0.47
"997","LOC100128505","hurdle",0.0530063224592402,2.390938,5.363259,2.972321,0.47
"687","FTSJ2","hurdle",0.209387030711093,4.010986,5.431707,1.420721,0.47
"632","FBXL18","hurdle",0.00903204908522101,0.3074827,3.4229057,3.115423,0.47
"212","C16orf89","hurdle",0.113642327664713,3.223101,5.286789,2.063688,0.47
"146","BAP1","hurdle",0.828566281043409,3.283834,4.432959,1.149125,0.47
"24","ACTR5","hurdle",0.0818038423074946,2.039543,4.301953,2.26241,0.47
"2149","ZC3H18","hurdle",0.552742821750013,1.644328,2.501439,0.857111,0.469
"2076","UBXN11","hurdle",0.13787459367406,2.437224,4.260214,1.82299,0.469
"1797","SLC6A8","hurdle",0.572876454274721,3.272778,4.346957,1.074179,0.469
"1558","RAPGEF2","hurdle",0.25629520255843,7.803108,8.824084,1.020976,0.469
"1283","NAA25","hurdle",0.0700998423995806,6.664564,7.634176,0.969612,0.469
"1815","SMURF2","hurdle",0.118008064902147,5.304107,6.644397,1.34029,0.468
"657","FKBP15","hurdle",0.183092583842564,4.475408,5.65392,1.178512,0.468
"599","EXOSC3","hurdle",0.247244760307837,2.217288,2.949535,0.732247,0.468
"368","CIRH1A","hurdle",0.258537957420877,4.897006,5.745842,0.848835999999999,0.468
"299","CCNJ","hurdle",0.113448915154312,1.711372,2.722466,1.011094,0.468
"185","BUB3","hurdle",0.155222194504741,6.298196,6.934133,0.635937,0.468
"161","BET1","hurdle",0.843823082147458,3.948094,4.862947,0.914853,0.468
"2133","WIBG","hurdle",0.247774039175577,2.755801,4.226894,1.471093,0.467
"2031","TRIM32","hurdle",0.0339909270986113,3.590271,7.1753,3.585029,0.467
"1978","TMEM175","hurdle",0.426699010734799,1.503888,2.563768,1.05988,0.467
"1494","PREB","hurdle",0.762647976591067,4.073164,5.425426,1.352262,0.467
"1493","PRDM10","hurdle",0.636569235795869,3.509691,5.922733,2.413042,0.467
"469","DCAF13","hurdle",0.850687885984201,5.17363,6.253375,1.079745,0.467
"203","C14orf43","hurdle",0.32357611087595,8.25933,8.78353,0.5242,0.467
"118","ARSB","hurdle",0.382228206692649,4.37482,5.542258,1.167438,0.467
"38","ADPRHL2","hurdle",0.550864455204378,4.320291,6.567576,2.247285,0.467
"2151","ZC3HAV1","hurdle",0.356822197069025,6.191946,7.627807,1.435861,0.466
"2134","WIPI1","hurdle",0.145383388017297,3.70246,5.275193,1.572733,0.466
"1982","TMEM38B","hurdle",0.227631317515743,4.484061,6.096188,1.612127,0.466
"1485","PPP2R2D","hurdle",0.206842737244417,4.454523,5.637712,1.183189,0.466
"1341","NUP188","hurdle",0.410110010474977,5.326333,6.554205,1.227872,0.466
"1128","LYST","hurdle",0.105118238722979,6.406795,7.941268,1.534473,0.466
"1756","SIAH2","hurdle",0.636868398410827,3.768883,5.275193,1.50631,0.465
"1640","RPL10A","hurdle",0.419357601433793,4.566498,5.844863,1.278365,0.465
"1149","MAPRE1","hurdle",0.302899976329673,5.604594,6.757057,1.152463,0.465
"1022","LOC100499467","hurdle",0.182005327879788,3.750272,4.802839,1.052567,0.465
"1001","LOC100130744","hurdle",0.00259130515069706,0.5756362,4.3110671,3.7354309,0.465
"535","DVL3","hurdle",0.865483510411241,4.433828,4.987548,0.55372,0.465
"304","CCT2","hurdle",0.808994775442667,6.593146,7.74172,1.148574,0.465
"167","BLMH","hurdle",0.824339353712942,4.072845,6.154312,2.081467,0.465
"2198","ZNF346","hurdle",0.601248410311696,3.754649,5.587965,1.833316,0.464
"2100","UTRN","hurdle",0.825719577414248,5.570917,6.53683,0.965913,0.464
"600","EXPH5","hurdle",0.232479715082526,3.964677,4.631541,0.666864,0.464
"242","C3orf23","hurdle",0.0196792016277413,4.772439,7.506605,2.734166,0.464
"2154","ZDHHC20","hurdle",0.141608520269067,5.136452,6.880808,1.744356,0.463
"1791","SLC38A9","hurdle",0.824297870096537,3.979373,4.799605,0.820232,0.463
"1591","RETSAT","hurdle",0.0819789091296786,1.204429,2.984134,1.779705,0.463
"1388","PAN3-AS1","hurdle",0.00875816628657522,2.051236,5.832257,3.781021,0.463
"1156","MBD4","hurdle",0.0324550916126101,4.833906,6.840463,2.006557,0.463
"965","LEPREL1","hurdle",0.176505897074511,2.623679,3.431289,0.80761,0.463
"904","JHDM1D","hurdle",0.12462700866288,3.879422,6.02597,2.146548,0.463
"808","HMGB2","hurdle",0.290206479810046,5.056999,6.175674,1.118675,0.463
"792","HIVEP3","hurdle",0.306347565938541,4.248464,5.630449,1.381985,0.463
"735","GPATCH1","hurdle",0.351705257472524,3.475384,3.992089,0.516705,0.463
"1404","PDGFC","hurdle",0.65238713019745,5.223862,6.036998,0.813136,0.462
"1235","MPG","hurdle",0.0387963504077908,2.30564,4.993221,2.687581,0.462
"928","KIAA1147","hurdle",0.0255381319266243,4.545293,6.173177,1.627884,0.462
"2188","ZNF266","hurdle",0.72146728770267,6.109604,6.945883,0.836279,0.461
"1984","TMEM70","hurdle",0.517039612472937,3.690463,5.408542,1.718079,0.461
"1786","SLC35A4","hurdle",0.305406855630171,3.995938,4.893605,0.897667,0.461
"1436","PIK3CA","hurdle",0.191277355556578,5.659846,6.815864,1.156018,0.461
"1407","PDZD8","hurdle",0.207861685596286,3.499295,4.137504,0.638209,0.461
"1327","NPHP4","hurdle",0.0984418298291267,2.422293,3.874059,1.451766,0.461
"962","LEMD2","hurdle",0.0863904682978598,0.6696675,1.8479969,1.1783294,0.461
"876","INTS9","hurdle",0.318007697930173,3.088346,5.067703,1.979357,0.461
"772","HCG11","hurdle",0.187923579986059,3.443202,4.627899,1.184697,0.461
"456","CYP2R1","hurdle",0.185252995669284,3.358938,4.338068,0.97913,0.461
"2128","WDR41","hurdle",0.276264096046733,5.380251,6.117124,0.736872999999999,0.46
"1981","TMEM216","hurdle",0.227422079201644,3.317039,4.014578,0.697539,0.46
"1796","SLC50A1","hurdle",0.0925083727464006,3.202858,5.330021,2.127163,0.46
"1427","PIGG","hurdle",0.605670355203903,4.608655,5.442114,0.833459,0.46
"1147","MAPK12","hurdle",0.0391162749535481,2.483031,5.198691,2.71566,0.46
"2085","UNC50","hurdle",0.167940712769533,5.215658,6.928222,1.712564,0.459
"2018","TPRKB","hurdle",0.125106937287571,3.021229,3.551516,0.530287,0.459
"1895","STX8","hurdle",0.1416324597754,4.281657,5.780704,1.499047,0.459
