"","Gene","test.type","p_value","log2.mean.Cluster_Other","log2.mean.OPC","log2fold_change","Auc"
"1284","ORM2","hurdle",0.0482765373736934,-2.578493,-0.4918531,2.0866399,0.552
"1059","MAP7D3","hurdle",0.47599236016977,3.21816,4.077053,0.858893,0.552
"929","LOC100132735","hurdle",0.0253434552169487,-3.217717,2.697971,5.915688,0.552
"774","IGFBP1","hurdle",0.0204522154098783,-3.168305,1.070389,4.238694,0.552
"660","GDNF","hurdle",0.0373751146142334,-2.7864343,0.7273154,3.5137497,0.552
"556","FAM111A","hurdle",0.0705314187157554,4.127491,5.66581,1.538319,0.552
"552","FAIM3","hurdle",0.0255843323368284,-3.217717,1.77961,4.997327,0.552
"514","EIF2AK3","hurdle",0.460971999846629,4.596779,5.331514,0.734735000000001,0.552
"404","CRYBA1","hurdle",0.355398256992827,1.145586,2.471043,1.325457,0.552
"386","CPN2","hurdle",0.0554622273937114,-3.217717,-2.243926,0.973791,0.552
"350","CLEC1B","hurdle",0.00222261458281425,-3.217717,4.164572,7.382289,0.552
"2079","ZNF507","hurdle",0.204176444852669,4.37229,5.094048,0.721758,0.551
"1698","SNORA8","hurdle",0.181940436889586,2.865378,5.451761,2.586383,0.551
"1241","NPHP3-ACAD11","hurdle",0.377107326699096,1.663306,3.443312,1.780006,0.551
"939","LOC100288077","hurdle",0.000398034608547329,-3.074285,2.184104,5.258389,0.551
"912","LMAN1","hurdle",0.588021429896365,6.27962,7.998684,1.719064,0.551
"911","LIPN","hurdle",0.00185919141220685,-3.168305,3.450661,6.618966,0.551
"745","HS2ST1","hurdle",0.568265108120574,4.725308,5.455419,0.730111,0.551
"576","FAM71A","hurdle",0.000257531235269682,-3.16830491,0.06273576,3.23104067,0.551
"549","F11R","hurdle",0.383718651397665,2.315104,3.583626,1.268522,0.551
"393","CREB3L2","hurdle",0.546290819955925,4.456161,6.489001,2.03284,0.551
"341","CHST8","hurdle",0.00856681855431467,-3.1205292,-0.8771433,2.2433859,0.551
"307","CDC14C","hurdle",0.32277878421813,-0.2617382,1.3155018,1.57724,0.551
"258","CASP10","hurdle",0.351470862212458,1.164994,1.95523,0.790236,0.551
"52","ALDH1B1","hurdle",0.107106893421114,2.10509,5.638717,3.533627,0.551
"2042","ZMYM6NB","hurdle",0.613247383133437,3.990751,5.236918,1.246167,0.55
"1952","UGT2A1","hurdle",0.0658087533431073,-3.029477,-2.243926,0.785551,0.55
"1719","SNX5","hurdle",0.288038770787465,5.983502,6.671482,0.68798,0.55
"1705","SNORD114-16","hurdle",0.0232952134208241,-2.001081,-0.60921,1.391871,0.55
"1667","SLC7A7","hurdle",0.0751783322336489,3.578057,5.772296,2.194239,0.55
"1530","RLN2","hurdle",0.0196629225127566,-3.120529,1.378512,4.499041,0.55
"1462","PTPN4","hurdle",0.499650055612362,6.039531,6.588132,0.548601,0.55
"1300","PANX1","hurdle",0.0314494965030814,2.365254,6.893335,4.528081,0.55
"1243","NR0B1","hurdle",0.0897080728806776,-2.368604,-1.206451,1.162153,0.55
"1198","MYZAP","hurdle",0.0165070233133384,-2.862988,2.527738,5.390726,0.55
"1120","MIR29A","hurdle",0.0457334199508535,-3.168305,-1.633872,1.534433,0.55
"1097","MGC12982","hurdle",0.0830147742469898,-2.3686036,0.4029647,2.7715683,0.55
"987","LOC400891","hurdle",0.0192642894253959,-3.1205292,0.9510904,4.0716196,0.55
"975","LOC285626","hurdle",0.0776329077463235,-2.943832,-1.206451,1.737381,0.55
"922","LOC100129935","hurdle",0.0766462164207608,-3.120529,-2.243926,0.876603,0.55
"793","INTS2","hurdle",0.675660599464112,5.351702,6.130199,0.778497,0.55
"786","IL4","hurdle",0.0340829736896977,-3.1683049,-0.7369656,2.4313393,0.55
"741","HNRNPU-AS1","hurdle",0.353704431229998,5.712103,6.46198,0.749877,0.55
"721","HELB","hurdle",0.056762846619669,1.970936,5.390026,3.41909,0.55
"529","EN2","hurdle",0.0545688580210786,-2.546574,-1.906891,0.639683,0.55
"280","CCDC38","hurdle",0.343577788820488,-0.07371622,0.51937416,0.59309038,0.55
"1921","TSNAX","hurdle",0.250749982529111,5.619741,6.41297,0.793228999999999,0.549
"1504","RBM11","hurdle",0.402856119212446,3.215836,4.383896,1.16806,0.549
"1347","PEX10","hurdle",0.0203898539473044,-2.578493,2.111773,4.690266,0.549
"928","LOC100132356","hurdle",0.340199460903431,1.00189,2.456514,1.454624,0.549
"896","LGR5","hurdle",0.145511655089777,1.406298,3.840183,2.433885,0.549
"642","GABRQ","hurdle",0.0737336825978011,-2.6787205,0.1375035,2.816224,0.549
"613","FLJ41484","hurdle",0.0043802323194817,-3.1205292,0.8210299,3.9415591,0.549
"168","C10orf131","hurdle",0.367463462534805,2.285485,3.823296,1.537811,0.549
"2097","ZNF677","hurdle",0.576828506390205,1.959867,4.234365,2.274498,0.548
"1753","SREK1","hurdle",0.300759114547012,7.258683,8.113105,0.854421999999999,0.548
"1717","SNX2","hurdle",0.730529974872405,6.493995,7.274469,0.780474,0.548
"1617","SFXN2","hurdle",0.385859073891848,-0.6623798,2.4120287,3.0744085,0.548
"1533","RNASE2","hurdle",0.0970718857933225,-1.589834,3.711495,5.301329,0.548
"999","LOC723809","hurdle",0.120315367704838,-0.3833286,1.1805722,1.5639008,0.548
"964","LOC152742","hurdle",0.094457392651421,-1.0195844,0.8210299,1.8406143,0.548
"665","GGTA1P","hurdle",0.424481030726852,1.230935,2.722466,1.491531,0.548
"440","DCAF13","hurdle",0.68813398868341,5.165069,6.228605,1.063536,0.548
"254","CARD11","hurdle",0.134036570087308,-2.5153453,-0.3833286,2.1320167,0.548
"205","C2orf65","hurdle",0.0649147225262049,-1.690881,2.269698,3.960579,0.548
"1967","UTS2","hurdle",0.108377413513162,-1.726199,2.660432,4.386631,0.547
"1247","NR6A1","hurdle",0.392481192612077,-0.17378,1.180572,1.354352,0.547
"977","LOC285889","hurdle",0.165224756353161,-0.8837748,0.8210299,1.7048047,0.547
"909","LINC00575","hurdle",0.0560802986562281,-1.83766,3.777274,5.614934,0.547
"758","HULC","hurdle",0.151850700575139,-0.9870899,2.2360674,3.2231573,0.547
"617","FMO6P","hurdle",0.0854173184737665,-2.67872045,-0.09953567,2.57918478,0.547
"611","FLJ38576","hurdle",0.0429749175397824,-0.8738389,3.7176003,4.5914392,0.547
"574","FAM66C","hurdle",0.346965238824916,1.97369,3.450661,1.476971,0.547
"419","CTSO","hurdle",0.165083277175886,4.641195,6.159647,1.518452,0.547
"295","CD180","hurdle",0.128481933538119,-2.943832,-1.206451,1.737381,0.547
"90","AQP6","hurdle",0.131855650109812,-1.639473,2.286224,3.925697,0.547
"2060","ZNF235","hurdle",0.4167214399929,3.043051,6.726256,3.683205,0.546
"1960","USP43","hurdle",0.494842517709322,1.052265,2.839064,1.786799,0.546
"1912","TRIM5","hurdle",0.464110066741642,2.786126,4.440362,1.654236,0.546
"1907","TRIM22","hurdle",0.150322616296459,3.665394,6.469235,2.803841,0.546
"1418","PPP2CA","hurdle",0.471082986923415,6.48268,7.449745,0.967065,0.546
"1396","PNO1","hurdle",0.490116598391105,4.050994,5.236918,1.185924,0.546
"1389","PLXDC2","hurdle",0.528666950883954,3.822215,5.646739,1.824524,0.546
"1311","PATL2","hurdle",0.163377957775068,-2.862988,-1.906891,0.956097,0.546
"1140","MIR4760","hurdle",0.181142061361429,-0.3974937,1.5796093,1.977103,0.546
"1048","MAGI2","hurdle",0.774325840273953,5.853194,6.692557,0.839363,0.546
"921","LOC100129924","hurdle",0.180989744290487,-1.857103,-0.60921,1.247893,0.546
"803","IRX2","hurdle",0.175719399090548,-2.1610369,0.2763312,2.4373681,0.546
"603","FKBP11","hurdle",0.676300929253432,3.635272,4.191141,0.555869,0.546
"321","CEP164","hurdle",0.424054331644576,4.560142,5.253821,0.693679,0.546
"198","C21orf15","hurdle",0.144344033073283,-2.6445318,0.2763312,2.920863,0.546
"21","ACTR3","hurdle",0.540923219613113,5.828209,6.914086,1.085877,0.546
"13","ACACA","hurdle",0.477993055551362,6.165242,6.845351,0.680109,0.546
"1968","UVRAG","hurdle",0.688670119532429,4.528651,5.149296,0.620645,0.545
"1849","TLR6","hurdle",0.180391867701489,-2.045002,1.438884,3.483886,0.545
"1736","SPAG9","hurdle",0.821752401089843,7.94639,8.671207,0.724817000000001,0.545
"1710","SNORD114-6","hurdle",0.168652040383072,-1.606191,1.378512,2.984703,0.545
"1657","SLC2A5","hurdle",0.228673005935679,3.22742,4.986917,1.759497,0.545
"1629","SIGLEC10","hurdle",0.00613343094615987,1.542374,4.772003,3.229629,0.545
"1579","SCARNA5","hurdle",0.224803649484798,-0.1317335,1.1805722,1.3123057,0.545
"1489","RAD23B","hurdle",0.472161676705257,5.197384,5.885086,0.687702000000001,0.545
"1451","PTCD2","hurdle",0.388886792657629,3.460757,4.053111,0.592354,0.545
"1339","PDSS2","hurdle",0.38746745438573,3.247472,4.212915,0.965443,0.545
"1328","PCOLCE2","hurdle",0.17607183348028,-0.5552813,2.7345591,3.2898404,0.545
"723","HHEX","hurdle",0.0479511815105999,-1.57366,2.746552,4.320212,0.545
"609","FLJ27352","hurdle",0.0498743910750083,-0.7596571,4.2845799,5.044237,0.545
"480","DNTTIP2","hurdle",0.700077837990707,6.422534,7.197381,0.774847,0.545
"434","CYTL1","hurdle",0.130651862948516,-0.1983685,1.8255595,2.023928,0.545
"294","CD101","hurdle",0.224713893803426,-1.378404,-0.60921,0.769194,0.545
"61","ANGPTL5","hurdle",0.154743252641272,-2.161037,1.870091,4.031128,0.545
"1893","TPH1","hurdle",0.225627716059076,0.3389024,1.7321486,1.3932462,0.544
"1669","SLC9A4","hurdle",0.231394206439488,-3.029477,-2.243926,0.785551,0.544
"1538","RND2","hurdle",0.414076153825585,2.974584,3.771416,0.796832,0.544
"1395","PNLDC1","hurdle",0.0349035505497561,-1.780853,1.683073,3.463926,0.544
"1121","MIR29B1","hurdle",0.224729542350182,-2.454846,-1.633872,0.820974,0.544
"606","FLJ10038","hurdle",0.655434485465382,3.128943,4.705978,1.577035,0.544
"534","ERAP1","hurdle",0.584604977462154,4.50219,5.011973,0.509783000000001,0.544
"528","EMR4P","hurdle",0.170402327572106,-2.902844,-2.243926,0.658918,0.544
"417","CTSC","hurdle",0.467281208944957,3.472001,5.496832,2.024831,0.544
"253","CAPNS2","hurdle",0.226315377378711,-0.8444351,0.4029647,1.2473998,0.544
"5","ABCB10","hurdle",0.686408041967757,3.22106,3.806209,0.585149,0.544
"2114","ZNF93","hurdle",0.419221691308905,0.9991893,2.6979715,1.6987822,0.543
"2101","ZNF695","hurdle",0.0846006682997857,-2.8629878,-0.3833286,2.4796592,0.543
"2049","ZNF157","hurdle",0.060206242537514,-0.7967226,3.4135339,4.2102565,0.543
"2004","XIRP1","hurdle",0.282814303750938,-0.3416494,0.4029647,0.7446141,0.543
"1992","WDR64","hurdle",0.181571915780169,-1.799541,1.82556,3.625101,0.543
"1666","SLC6A8","hurdle",0.687671367785346,3.22106,4.597597,1.376537,0.543
"1306","PARP15","hurdle",0.10297580536684,-1.557665,6.089583,7.647248,0.543
"1268","OLFM4","hurdle",0.249187112223612,0.523139,2.441838,1.918699,0.543
"1109","MIR1248","hurdle",0.0909884136548171,-2.3686036,0.4623432,2.8309468,0.543
"1065","MARCH3","hurdle",0.52973064971331,2.821718,3.668018,0.8463,0.543
"1000","LOC727896","hurdle",0.702052747501745,3.557093,4.432959,0.875866,0.543
"578","FAM72A","hurdle",0.0777122571349173,-1.726199,2.236067,3.962266,0.543
"471","DNAI1","hurdle",0.256510938516861,-0.4335269,2.3661279,2.7996548,0.543
"466","DKK1","hurdle",0.241536245376422,2.49935,5.270529,2.771179,0.543
"355","CLEC9A","hurdle",0.17136758771209,0.6525187,3.9531617,3.300643,0.543
"2008","XPO5","hurdle",0.43392970688847,4.450736,5.211185,0.760449,0.542
"1926","TTC21A","hurdle",0.676919874257923,2.46061,4.329124,1.868514,0.542
"1714","SNORD5","hurdle",0.528355489671638,1.17938,2.827819,1.648439,0.542
"1546","RNF152","hurdle",0.05515097537977,-1.67354,3.094987,4.768527,0.542
"978","LOC285965","hurdle",0.157426194873644,-1.9170576,-0.2823997,1.6346579,0.542
"456","DGKI","hurdle",0.438139432472889,4.270137,5.863223,1.593086,0.542
"2021","ZC3HAV1L","hurdle",0.299514539987267,-0.8541699,2.0356239,2.8897938,0.541
"1806","TAF3","hurdle",0.308452977218367,3.555255,4.105268,0.550013,0.541
"1561","RPL21P44","hurdle",0.295981095717559,3.469076,5.440731,1.971655,0.541
"1377","PLBD1","hurdle",0.278861218555726,-2.1610369,-0.8771433,1.2838936,0.541
"1196","MYOZ2","hurdle",0.19157559920526,-0.2944983,2.3968902,2.6913885,0.541
"877","KYNU","hurdle",0.156453325935347,-0.6623798,3.8568751,4.5192549,0.541
"624","FOXM1","hurdle",0.160335982248009,-2.04500212,-0.09953567,1.94546645,0.541
"565","FAM201A","hurdle",0.295656708855022,-0.5955377,0.4623432,1.0578809,0.541
"422","CUX2","hurdle",0.375144586010277,1.5312,3.254661,1.723461,0.541
"420","CTSS","hurdle",0.139571441563387,3.328774,4.966554,1.63778,0.541
"338","CHODL","hurdle",0.299682106810898,0.01985515,0.90902634,0.88917119,0.541
"169","C10orf76","hurdle",0.382756997852552,3.541864,5.187187,1.645323,0.541
"1962","USP45","hurdle",0.659090549832594,4.558309,5.602884,1.044575,0.54
"1842","TIGD4","hurdle",0.268801414160115,0.0514829,3.0277832,2.9763003,0.54
"1795","SUZ12P","hurdle",0.315910193086951,3.944823,4.994479,1.049656,0.54
"1407","PP2D1","hurdle",0.123160875547488,0.04101717,4.13294236,4.09192519,0.54
"1002","LOC728855","hurdle",0.290350732207017,-2.235419,-1.032421,1.202998,0.54
"622","FOXJ3","hurdle",0.704524821390011,6.096153,7.134883,1.03873,0.54
"593","FCGR1C","hurdle",0.135445009961461,-0.7596571,2.4418376,3.2014947,0.54
"364","CNIH3","hurdle",0.35941889614855,2.767996,3.968603,1.200607,0.54
"308","CDC25A","hurdle",0.330255839633823,0.2733538,1.2496139,0.9762601,0.54
"124","ATP7A","hurdle",0.705076544440281,4.023348,4.884815,0.861466999999999,0.54
"122","ATP6V0A2","hurdle",0.396438655462341,3.868081,5.274676,1.406595,0.54
"2113","ZNF92","hurdle",0.53382015686219,3.790546,5.094048,1.303502,0.539
"1880","TMF1","hurdle",0.825517485940036,6.542275,7.145111,0.602836,0.539
"1766","ST7-OT4","hurdle",0.384047279033988,1.678578,2.608809,0.930231,0.539
"1650","SLC24A5","hurdle",0.737778244058698,2.425837,3.549806,1.123969,0.539
"952","LOC100507062","hurdle",0.420703031727654,3.276201,5.217662,1.941461,0.539
"824","KCMF1","hurdle",0.691962348271385,4.152317,5.374653,1.222336,0.539
"634","FUZ","hurdle",0.391556001914132,-0.7967226,-0.2823997,0.5143229,0.539
"274","CCDC126","hurdle",0.155097806372455,4.609894,6.312681,1.702787,0.539
"227","C6orf192","hurdle",0.82494136481238,6.346153,7.121706,0.775552999999999,0.539
"2043","ZNF114","hurdle",0.322972171267552,-0.5955377,0.8656989,1.4612366,0.538
"2019","ZC3H12B","hurdle",0.705626026525875,3.302179,4.169034,0.866855,0.538
"1938","UBE2B","hurdle",0.947539632371086,7.578354,8.349171,0.770817,0.538
"1898","TRAM1","hurdle",0.24112332187554,5.951204,6.887931,0.936727,0.538
"1704","SNORD114-15","hurdle",0.389755182839305,-0.7057854,0.8656989,1.5714843,0.538
"1294","PAFAH1B1","hurdle",0.77969506554033,7.089476,7.695731,0.606255,0.538
"1231","NLRC4","hurdle",0.383612850163251,1.256038,1.934412,0.678374,0.538
"1074","MCMBP","hurdle",0.100170852290947,4.966294,6.963731,1.997437,0.538
"1027","LRRC69","hurdle",0.0656389074284246,-1.958458,2.252981,4.211439,0.538
"872","KLRC1","hurdle",0.295161508248003,-2.644532,-1.633872,1.01066,0.538
"753","HSPA4","hurdle",0.172324505979329,6.068563,7.592789,1.524226,0.538
"264","CASS4","hurdle",0.245103210245252,-0.09664392,3.22924609,3.32589001,0.538
"259","CASP2","hurdle",0.582354152754083,5.854969,6.727013,0.872044000000001,0.538
"185","C17orf57","hurdle",0.376395696152617,3.764144,4.82669,1.062546,0.538
"181","C15orf5","hurdle",0.250610034562988,-1.008671,2.673054,3.681725,0.538
"109","ASAH1","hurdle",0.164051046434048,7.195354,8.532204,1.33685,0.538
"68","ANKRD28","hurdle",0.842380361884691,6.503078,7.751098,1.24802,0.538
"1930","TUBB1","hurdle",0.435707403908064,-0.179888,2.412029,2.591917,0.537
"1756","SRP19","hurdle",0.414806834318403,6.047641,6.715619,0.667978000000001,0.537
"1609","SERTAD2","hurdle",0.761746659637706,4.069456,4.884815,0.815359,0.537
"1413","PPIL3","hurdle",0.397188812353021,4.539147,5.606179,1.067032,0.537
"1190","MUTED","hurdle",0.126947208066458,-2.287227,0.1375035,2.4247305,0.537
"1033","LRRD1","hurdle",0.0683104030624356,0.6421694,4.5742361,3.9320667,0.537
"619","FNDC3A","hurdle",0.366346944367596,6.586015,7.379763,0.793748,0.537
"568","FAM212B","hurdle",0.101333073323852,1.391957,5.121936,3.729979,0.537
"401","CROT","hurdle",0.717395821031104,2.572027,3.878834,1.306807,0.537
"151","BMP8B","hurdle",0.0445565123888354,-1.6735402,0.9919627,2.6655029,0.537
"115","ATAD3C","hurdle",0.0819900647743281,-1.450409,2.441838,3.892247,0.537
"2041","ZMYM4","hurdle",0.227193074730929,5.965715,6.488108,0.522393,0.536
"1946","UBXN2B","hurdle",0.193430918772821,5.24575,6.144998,0.899248,0.536
"1899","TRAM1L1","hurdle",0.184143408806939,3.361737,5.004501,1.642764,0.536
"1789","SUGT1P1","hurdle",0.432489373834391,-2.210197,-1.40439,0.805807,0.536
"1725","SOWAHC","hurdle",0.0488489451804622,2.925644,6.143865,3.218221,0.536
"1549","RNF38","hurdle",0.730961308745955,5.761048,8.185096,2.424048,0.536
"1320","PCDHB18","hurdle",0.251821550310148,0.3043141,2.1483918,1.8440777,0.536
"1107","MILR1","hurdle",0.297331937458671,0.1424073,1.6322682,1.4898609,0.536
"857","KIF1C","hurdle",0.782501332779035,1.711949,2.381591,0.669642,0.536
"626","FPGT","hurdle",0.254931954218458,3.554336,7.011103,3.456767,0.536
"612","FLJ39639","hurdle",0.271897673554725,-0.7688346,1.6830726,2.4519072,0.536
"530","ENPP1","hurdle",0.616284067571968,3.655995,4.337077,0.681082,0.536
"468","DLEU2","hurdle",0.0567354932706888,2.901983,5.149296,2.247313,0.536
"236","C8orf76","hurdle",0.172449207326486,2.022384,4.033668,2.011284,0.536
"1875","TMEM45B","hurdle",0.483603443954362,-0.3348185,1.282934,1.6177525,0.535
"1641","SLC17A8","hurdle",0.517826388334692,1.913288,2.977789,1.064501,0.535
"1640","SLC17A5","hurdle",0.00138624895988756,2.498394,5.523213,3.024819,0.535
"1632","SIGLEC8","hurdle",0.122803238384588,0.8572728,4.5708677,3.7135949,0.535
"1604","SERPINA1","hurdle",0.496934097718742,0.4772989,2.4270101,1.9497112,0.535
"1443","PRSS12","hurdle",0.630302204846886,2.009022,5.347351,3.338329,0.535
"1194","MYO1H","hurdle",0.0809822692288493,-1.052828,2.621889,3.674717,0.535
"1006","LONRF1","hurdle",0.681972572498775,4.876991,6.627574,1.750583,0.535
"930","LOC100133315","hurdle",0.449780844626383,0.68649,1.347351,0.660861,0.535
"926","LOC100131208","hurdle",0.498109325404671,0.2093657,1.1080597,0.898694,0.535
"917","LOC100129216","hurdle",0.469588291185708,-0.2944983,0.5742361,0.8687344,0.535
"661","GDPD4","hurdle",0.335277002591186,-1.510719,2.269698,3.780417,0.535
"485","DPH5","hurdle",0.0659012186285227,3.620411,5.808499,2.188088,0.535
"64","ANKHD1-EIF4EBP3","hurdle",0.309496967283746,0.5418174,1.7560744,1.214257,0.535
"1919","TSHZ3","hurdle",0.258697276076357,3.32716,5.272604,1.945444,0.534
"1847","TLR10","hurdle",0.38820444859101,-0.6882661,0.9090263,1.5972924,0.534
"1808","TAF9B","hurdle",0.868779496520792,6.484612,7.289916,0.805304,0.534
"1439","PROX2","hurdle",0.281564776490781,0.2233184,2.6855664,2.462248,0.534
"1244","NR2C2","hurdle",0.468571641611879,5.328088,6.730791,1.402703,0.534
"792","INPP5D","hurdle",0.238274558110491,2.648991,3.336283,0.687292,0.534
"2086","ZNF615","hurdle",0.580084912738359,3.708191,5.245394,1.537203,0.533
"1689","SNORA4","hurdle",0.274865574928021,0.07731982,1.68307259,1.60575277,0.533
"1056","MAP3K6","hurdle",0.103892317732969,-0.6969992,2.381591,3.0785902,0.533
"728","HIVEP2","hurdle",0.490413553284178,5.613794,6.749534,1.13574,0.533
"662","GEMIN8P4","hurdle",0.54957091539875,0.9937727,2.0550414,1.0612687,0.533
"194","C1orf50","hurdle",0.146476970211436,1.03391,3.066568,2.032658,0.533
"174","C12orf56","hurdle",0.529449511677346,0.7229572,1.9344117,1.2114545,0.533
"78","AP1S3","hurdle",0.303484401710382,2.375703,3.862396,1.486693,0.533
"50","ALB","hurdle",0.522908337289749,1.184144,3.312278,2.128134,0.533
"2059","ZNF233","hurdle",0.205460828439305,2.976645,5.226252,2.249607,0.532
"2028","ZEB1-AS1","hurdle",0.0719917274926476,0.9719009,4.3410369,3.369136,0.532
"2015","ZBTB20-AS1","hurdle",0.670750059476738,2.889641,3.856875,0.967234,0.532
"1892","TOR1AIP1","hurdle",0.852724117790101,6.449122,7.159199,0.710077,0.532
"1551","RNFT2","hurdle",0.829926274525235,4.493821,5.99975,1.505929,0.532
"1336","PDIA3P","hurdle",0.320339496552234,4.160801,4.966554,0.805753,0.532
"1191","MYCBPAP","hurdle",0.459753587135125,0.7064954,1.606179,0.8996836,0.532
"1087","MEST","hurdle",0.605584509118832,4.64271,5.84242,1.19971,0.532
"1043","LYAR","hurdle",0.733485233016457,2.382973,3.344197,0.961224,0.532
"871","KLHL8","hurdle",0.07379325029968,4.250683,6.018417,1.767734,0.532
"800","IRF8","hurdle",0.0684014626533809,2.41169,5.24328,2.83159,0.532
"255","CASC5","hurdle",0.0287532076364924,-2.396782,3.968603,6.365385,0.532
"180","C14orf64","hurdle",0.527732988613995,0.5820778,1.657894,1.0758162,0.532
"2105","ZNF747","hurdle",0.514968560923556,-0.7146255,1.1447715,1.859397,0.531
"1881","TMPO","hurdle",0.853258757735116,4.968194,5.834014,0.865819999999999,0.531
"1822","TCAM1P","hurdle",0.327199383303662,1.133322,3.596935,2.463613,0.531
"1509","RBP7","hurdle",0.587373971947009,-0.3485129,0.3410369,0.6895498,0.531
"1430","PRKAB1","hurdle",0.571359813769157,4.354438,6.133627,1.779189,0.531
"1210","NCAPG","hurdle",0.556313546088282,-0.7873665,0.8656989,1.6530654,0.531
"1202","NARS2","hurdle",0.767418370375566,3.509492,4.480409,0.970917,0.531
"707","GUCY2C","hurdle",0.193542530111547,1.267306,5.550832,4.283526,0.531
"689","GPATCH8","hurdle",0.806449983996619,6.249754,7.185316,0.935562,0.531
"667","GIMAP4","hurdle",0.286239067687986,2.879397,5.72459,2.845193,0.531
"411","CTAGE10P","hurdle",0.595281337505958,-2.261091,-1.633872,0.627219,0.531
"277","CCDC168","hurdle",0.654966110253095,2.11884,2.946939,0.828099,0.531
"161","BTK","hurdle",0.351139187885245,1.658179,4.313085,2.654906,0.531
"2073","ZNF460","hurdle",0.509879872329306,5.14734,6.102472,0.955132,0.53
"2072","ZNF439","hurdle",0.0237311815445922,2.461591,4.996991,2.5354,0.53
"1681","SNAPIN","hurdle",0.810090744182884,4.378278,6.04779,1.669512,0.53
"1638","SLC12A6","hurdle",0.64475263512908,5.536041,6.05745,0.521409,0.53
"1628","SHOC2","hurdle",0.451661597379449,6.10348,7.716457,1.612977,0.53
"1245","NR2E3","hurdle",0.112405329862698,0.6831287,3.729734,3.0466053,0.53
"1103","MGC70870","hurdle",0.00151832038288578,-2.113497,2.074201,4.187698,0.53
"1046","MAEL","hurdle",0.230653194238542,-0.0511472,4.5539066,4.6050538,0.53
"722","HEMK1","hurdle",0.572230515903675,1.385767,1.95523,0.569463,0.53
"604","FKBP14","hurdle",0.746331116302964,4.003946,6.392127,2.388181,0.53
"599","FGFBP3","hurdle",0.628486297132957,0.04101717,0.90902634,0.86800917,0.53
"330","CFLAR","hurdle",0.750658859780874,5.493617,6.42701,0.933393,0.53
"1934","TYSND1","hurdle",0.59538002846075,2.616759,3.610123,0.993364,0.529
"1911","TRIM44","hurdle",0.381311228943922,5.510666,6.228605,0.717939,0.529
"1816","TAS2R4","hurdle",0.646664509612951,0.7932374,1.5249552,0.7317178,0.529
"1615","SFT2D2","hurdle",0.127052084667487,0.4850408,4.8295113,4.3444705,0.529
"1511","RCBTB2","hurdle",0.755236347552448,4.727553,5.997242,1.269689,0.529
"1272","ONECUT2","hurdle",0.396245960798137,-0.4630158,0.5742361,1.0372519,0.529
"1222","NF1","hurdle",0.0281891734015285,6.767872,7.509907,0.742035,0.529
"888","LCA5L","hurdle",0.571793336456847,1.549775,3.094987,1.545212,0.529
"863","KLF7","hurdle",0.786624684202782,3.65942,4.533286,0.873866,0.529
"66","ANKRD13A","hurdle",0.0771205623170766,4.600793,7.677054,3.076261,0.529
"2116","ZSWIM2","hurdle",0.0389357078414601,-3.321928,-2.684498,0.63743,0.528
"1986","WDFY4","hurdle",0.138862283134421,-0.179888,1.657894,1.837782,0.528
"1975","VN1R5","hurdle",0.0389357078414601,-3.321928,-2.684498,0.63743,0.528
"1791","SULT1C3","hurdle",0.0389357078414601,-3.321928,-2.684498,0.63743,0.528
"1738","SPATA19","hurdle",0.0389357078414601,-3.321928,-2.243926,1.078002,0.528
"1712","SNORD1C","hurdle",0.0389357078414601,-3.321928,-1.633872,1.688056,0.528
"1692","SNORA56","hurdle",0.0389357078414601,-3.3219281,0.9919627,4.3138908,0.528
"1685","SNORA2A","hurdle",0.0389357078414588,-3.3219281,-0.3833286,2.9385995,0.528
"1571","S100A14","hurdle",0.0389357078414601,-3.3219281,-0.2823997,3.0395284,0.528
"1541","RNF133","hurdle",0.0389357078414603,-3.321928,-2.684498,0.63743,0.528
"1488","RAD18","hurdle",0.107001593917093,2.716313,5.654716,2.938403,0.528
"1469","PUM2","hurdle",0.937550133942782,7.374346,8.14205,0.767703999999999,0.528
"1456","PTH","hurdle",0.0389357078414601,-3.321928,-2.684498,0.63743,0.528
"1321","PCDHB8","hurdle",0.038935707841458,-3.321928,-2.243926,1.078002,0.528
"1312","PAX9","hurdle",0.0389357078414601,-3.321928,-2.684498,0.63743,0.528
"1283","OR6B1","hurdle",0.0389357078414588,-3.321928,-2.684498,0.63743,0.528
"1282","OR5A2","hurdle",0.0389357078414617,-3.321928,-2.684498,0.63743,0.528
"1277","OR13C9","hurdle",0.0389357078414601,-3.321928,-2.684498,0.63743,0.528
"1201","NANOS1","hurdle",0.74304332392919,3.283434,4.09123,0.807796,0.528
"1187","MTNR1B","hurdle",0.0389357078414601,-3.321928,-2.684498,0.63743,0.528
"1145","MIR525","hurdle",0.0389357078414601,-3.321928,-2.684498,0.63743,0.528
"1144","MIR520D","hurdle",0.0389357078414616,-3.321928,-2.243926,1.078002,0.528
"1132","MIR411","hurdle",0.0389357078414617,-3.321928,-1.906891,1.415037,0.528
"1130","MIR3925","hurdle",0.038935707841458,-3.32192809,0.06273576,3.38466385,0.528
"1128","MIR372","hurdle",0.0389357078414601,-3.321928,-2.684498,0.63743,0.528
"1124","MIR3613","hurdle",0.0389357078414588,-3.321928,-2.684498,0.63743,0.528
"1123","MIR3156-3","hurdle",0.0389357078414616,-3.321928,-2.684498,0.63743,0.528
"1119","MIR299","hurdle",0.0389357078414617,-3.321928,-2.684498,0.63743,0.528
