"","Gene","test.type","p_value","log2.mean.Cluster_Other","log2.mean.oligodendrocytes","log2fold_change","Auc"
"2225","PLP1","hurdle",5.07736456967573e-36,8.641294,14.448403,5.807109,0.991
"933","ENPP2","hurdle",8.11058883261798e-36,5.349366,10.463922,5.114556,0.984
"3012","TMEM144","hurdle",3.85245680189789e-34,6.539014,11.826776,5.287762,0.983
"948","ERMN","hurdle",2.82949931668649e-38,4.938987,11.209129,6.270142,0.976
"3195","UGT8","hurdle",2.65049104493825e-34,3.289858,9.14337,5.853512,0.972
"2954","TF","hurdle",2.03651483082921e-37,5.409693,11.072658,5.662965,0.971
"622","CLDN11","hurdle",6.39625046647904e-34,4.296502,10.313295,6.016793,0.968
"2855","ST18","hurdle",1.20999168910956e-32,2.943189,8.182499,5.23931,0.967
"975","FAM107B","hurdle",5.88697843554152e-33,4.004265,9.469203,5.464938,0.966
"625","CLDND1","hurdle",2.90131458316419e-26,7.696157,12.08367,4.387513,0.965
"2199","PIP4K2A","hurdle",6.43015923416431e-24,8.207196,12.649491,4.442295,0.964
"646","CNP","hurdle",3.1296642783057e-26,7.336735,12.151416,4.814681,0.963
"123","ANLN","hurdle",7.49550495116302e-31,4.019832,9.130218,5.110386,0.962
"2079","OPALIN","hurdle",9.17376323649862e-33,5.016461,10.203857,5.187396,0.958
"2675","SLAIN1","hurdle",1.5178611225937e-27,5.487524,10.099825,4.612301,0.955
"2483","RNASE1","hurdle",4.28748779927651e-29,4.754606,9.364987,4.610381,0.955
"2577","SCD","hurdle",1.02342919949457e-22,7.411406,11.176564,3.765158,0.953
"250","BCAS1","hurdle",3.98309647089481e-28,4.161365,8.410262,4.248897,0.953
"955","EVI2A","hurdle",1.97319869460553e-26,5.640781,10.011551,4.37077,0.951
"2368","QDPR","hurdle",1.27612243700139e-23,5.783344,10.102625,4.319281,0.949
"1212","GPR37","hurdle",1.47337600711509e-27,4.265557,8.142752,3.877195,0.949
"1867","MOBP","hurdle",6.80772845209593e-30,3.458741,8.644786,5.186045,0.948
"640","CNDP1","hurdle",6.13712087933873e-33,4.061007,10.013279,5.952272,0.946
"1765","MBP","hurdle",9.69048792930957e-25,7.186528,11.759536,4.573008,0.939
"2678","SLC12A2","hurdle",6.65579704613577e-21,7.00026,10.59002,3.58976,0.937
"318","C11orf9","hurdle",3.20638286533052e-28,2.028483,8.103674,6.075191,0.936
"527","CD9","hurdle",6.7198409071972e-24,5.033325,8.853539,3.820214,0.93
"148","APOD","hurdle",2.31011998047927e-22,7.161002,9.45223,2.291228,0.93
"2801","SOX2-OT","hurdle",1.1355743655877e-18,6.581533,9.878487,3.296954,0.929
"460","CAPN3","hurdle",3.9113892020747e-25,4.648684,8.88552,4.236836,0.929
"1491","KLK6","hurdle",1.56663412496769e-33,0.5779364,8.3318363,7.7538999,0.926
"658","COL4A5","hurdle",5.68771937363421e-24,3.430307,7.665111,4.234804,0.926
"3145","TTLL7","hurdle",2.86163543347264e-19,6.331222,9.560725,3.229503,0.925
"5","ABCA8","hurdle",8.3541112927729e-28,2.437172,7.818464,5.381292,0.924
"841","DOCK5","hurdle",4.94444887938404e-25,4.766887,9.466951,4.700064,0.923
"696","CREB5","hurdle",9.36238542039357e-22,5.961123,9.109336,3.148213,0.922
"1276","HHIP","hurdle",1.14603871623998e-23,3.053534,7.799333,4.745799,0.919
"462","CARNS1","hurdle",5.46621592763205e-28,1.412919,7.122978,5.710059,0.917
"1727","MAG","hurdle",2.58662629849112e-31,-2.566392,6.91503,9.481422,0.916
"704","CRYAB","hurdle",3.29654221197769e-18,7.47234,10.65334,3.181,0.915
"42","ADAMTS4","hurdle",4.55334342826481e-23,6.389234,7.446387,1.057153,0.912
"2218","PLEKHH1","hurdle",3.04417183729409e-21,4.804578,8.362728,3.55815,0.911
"944","ERBB3","hurdle",1.0616257516701e-22,3.414508,8.126677,4.712169,0.911
"2825","SPP1","hurdle",2.10532511821026e-20,8.592831,10.839428,2.246597,0.909
"2223","PLLP","hurdle",1.750130732992e-23,3.167782,7.591237,4.423455,0.909
"3104","TRIM59","hurdle",7.76628133383442e-29,3.721714,9.245915,5.524201,0.905
"1112","FRMD4B","hurdle",1.65572733714199e-22,3.50732,8.627131,5.119811,0.905
"757","DBNDD2","hurdle",8.61958082911034e-24,2.107864,7.715836,5.607972,0.905
"631","CLMN","hurdle",1.7729322885586e-21,4.198424,8.509129,4.310705,0.904
"2419","RASSF2","hurdle",4.71187850708622e-19,5.435432,8.75917,3.323738,0.903
"2710","SLC44A1","hurdle",6.36742944834262e-20,4.750055,8.567035,3.81698,0.902
"2615","SEPT4","hurdle",1.30185654994002e-20,5.206403,9.570045,4.363642,0.902
"2722","SLCO1A2","hurdle",2.77039420978921e-24,4.321256,8.776502,4.455246,0.901
"2343","PTMA","hurdle",1.57917717353669e-14,6.785638,8.790803,2.005165,0.901
"1178","GLTP","hurdle",6.24543627858479e-18,5.581027,8.921825,3.340798,0.901
"2684","SLC24A2","hurdle",1.8703221994282e-16,7.441556,10.809066,3.36751,0.9
"2610","SEPP1","hurdle",1.35736621290729e-22,3.317072,7.704231,4.387159,0.897
"650","CNTN2","hurdle",3.42838571614405e-21,3.491827,8.515783,5.023956,0.896
"1695","LPAR1","hurdle",3.77789906046675e-24,2.853099,8.335249,5.48215,0.895
"1331","HSPA2","hurdle",7.66190030215043e-21,3.544337,7.834854,4.290517,0.894
"3146","TTYH2","hurdle",1.08424257068671e-19,3.344357,6.848722,3.504365,0.892
"2412","RAPGEF5","hurdle",8.59789005958586e-19,3.876472,7.528464,3.651992,0.891
"1510","LAMP2","hurdle",2.59929078677019e-15,8.05679,11.03436,2.97757,0.89
"2452","REEP3","hurdle",2.58134397812928e-16,6.215023,9.209184,2.994161,0.888
"2362","PXK","hurdle",6.89951860683696e-18,5.479037,8.804708,3.325671,0.888
"2073","OLIG1","hurdle",8.10071884392e-19,3.317658,6.658888,3.34123,0.888
"2616","SEPT7","hurdle",2.20322557693574e-09,8.947938,10.754246,1.806308,0.887
"2449","RDX","hurdle",1.88777202407248e-15,7.124799,9.799273,2.674474,0.887
"1205","GPM6B","hurdle",7.75669637273246e-12,8.774023,10.980023,2.206,0.887
"581","CERCAM","hurdle",4.58523743378974e-20,2.379971,6.644919,4.264948,0.885
"1730","MAL","hurdle",2.77708005717727e-19,2.64661,6.130801,3.484191,0.882
"882","EDIL3","hurdle",1.80366928138455e-15,6.406068,9.176619,2.770551,0.882
"1198","GOLGA7","hurdle",8.38268048860323e-15,6.155961,8.866042,2.710081,0.879
"587","CFL2","hurdle",3.25677793201141e-15,6.797291,9.993825,3.196534,0.879
"2476","RHOU","hurdle",2.26158745617235e-17,4.89628,8.633359,3.737079,0.878
"2228","PMP22","hurdle",2.1636299006753e-14,7.144088,9.653731,2.509643,0.877
"470","CBR1","hurdle",9.32625319126279e-16,5.664582,8.464256,2.799674,0.876
"2604","SEMA6A","hurdle",1.00073375757254e-15,5.197358,8.322853,3.125495,0.874
"544","CDH19","hurdle",3.37241000925643e-21,3.475116,7.628551,4.153435,0.874
"1217","GPRC5B","hurdle",4.62925977633397e-15,6.184028,8.560313,2.376285,0.873
"447","CA2","hurdle",6.60945411629527e-14,6.789551,9.771003,2.981452,0.873
"2705","SLC38A2","hurdle",5.18726095392111e-12,7.780422,10.213673,2.433251,0.871
"2273","PPP1R14A","hurdle",1.78034839533493e-21,-0.08603983,4.98784741,5.07388724,0.869
"628","CLIC4","hurdle",5.5589385953547e-16,5.710703,8.406798,2.696095,0.869
"3","AATK","hurdle",1.38619366665344e-16,2.174073,5.85654,3.682467,0.869
"1402","JAM3","hurdle",1.78133934120752e-16,4.917308,8.481991,3.564683,0.868
"3148","TUBB4A","hurdle",8.1412057990595e-16,4.550906,7.50817,2.957264,0.867
"1420","KCNH8","hurdle",3.61366737561876e-18,3.751509,6.957805,3.206296,0.866
"2164","PEX5L","hurdle",1.19229402610187e-13,6.568053,9.688149,3.120096,0.864
"1458","KIAA1598","hurdle",1.43247133351509e-12,6.675326,9.127234,2.451908,0.864
"154","ARAP2","hurdle",1.61886319518235e-13,6.746954,9.143705,2.396751,0.863
"1115","FRYL","hurdle",1.72811120288335e-12,6.565527,9.439218,2.873691,0.86
"555","CDKN1C","hurdle",7.60550191975257e-16,3.397426,6.554104,3.156678,0.858
"2369","QKI","hurdle",5.37353298636906e-10,8.710593,10.563668,1.853075,0.857
"2131","PCDH9","hurdle",5.38060749609595e-09,9.8551,11.63089,1.77579,0.857
"3293","ZDHHC9","hurdle",7.6867082839114e-15,4.988216,8.200937,3.212721,0.856
"2551","S100B","hurdle",1.63831974535577e-13,7.043451,9.262206,2.218755,0.856
"1104","FOLH1","hurdle",1.79405999040675e-23,0.6127297,6.9443036,6.3315739,0.854
"2823","SPOCK3","hurdle",3.79566014507245e-13,7.125009,9.308327,2.183318,0.853
"1068","FEZ1","hurdle",7.39788001287696e-11,7.289056,9.448105,2.159049,0.851
"2215","PLEKHB1","hurdle",5.42503711657047e-14,5.769491,8.082541,2.31305,0.848
"1166","GJB1","hurdle",6.2358307877575e-24,-1.910546,5.549572,7.460118,0.848
"3055","TMTC4","hurdle",4.13951979761419e-14,4.893335,7.431948,2.538613,0.847
"143","APLP1","hurdle",1.62775579280543e-13,4.952443,7.417808,2.465365,0.847
"1465","KIF13B","hurdle",9.68217377887474e-15,4.74549,8.270701,3.525211,0.846
"2620","SERINC5","hurdle",5.49041748640542e-12,7.350723,10.190078,2.839355,0.845
"2014","NIPAL3","hurdle",3.46034445262669e-13,6.747062,8.648859,1.901797,0.844
"77","AIF1L","hurdle",6.68491251486973e-18,1.599877,6.310876,4.710999,0.844
"2694","SLC31A2","hurdle",4.29971472258306e-16,4.049412,7.808168,3.758756,0.843
"2318","PRRG1","hurdle",9.35452285500131e-16,3.818037,7.944643,4.126606,0.843
"3043","TMEM63A","hurdle",2.76386567686725e-17,2.396705,5.878648,3.481943,0.842
"968","FA2H","hurdle",4.95459760033938e-22,-1.106646,4.285013,5.391659,0.841
"1171","GLDN","hurdle",8.34389365659904e-14,7.091524,9.79906,2.707536,0.839
"2659","SH3TC2","hurdle",4.13621959724477e-22,1.755017,9.214818,7.459801,0.838
"1549","LIPA","hurdle",6.51519042750375e-13,6.19148,8.888407,2.696927,0.838
"3272","YWHAQ","hurdle",2.07693524083975e-10,7.078186,9.502246,2.42406,0.836
"1396","ITGB8","hurdle",7.6079789026376e-11,8.041819,9.94482,1.903001,0.835
"2298","PREX1","hurdle",8.54211105268988e-13,4.350469,5.584804,1.234335,0.834
"851","DPYSL2","hurdle",5.5891491936318e-07,11.08693,12.71197,1.62504,0.833
"981","FAM123A","hurdle",6.92637219678174e-11,6.422368,8.453249,2.030881,0.832
"2205","PLA2G16","hurdle",1.78899780406148e-12,4.770101,7.25833,2.488229,0.831
"326","C13orf15","hurdle",2.70279818097233e-13,4.486704,6.862817,2.376113,0.831
"2418","RASGRP3","hurdle",3.14981348637726e-15,3.520613,8.227021,4.706408,0.83
"1873","MOSPD2","hurdle",3.16248021625783e-13,4.871752,8.258727,3.386975,0.83
"1868","MOG","hurdle",3.51831521626332e-20,-1.631859,3.757136,5.388995,0.828
"1422","KCNJ2","hurdle",2.00214081623574e-12,5.671933,8.792345,3.120412,0.828
"3014","TMEM165","hurdle",2.09264949122774e-12,4.811667,7.549491,2.737824,0.827
"1742","MAP7","hurdle",1.23250557977744e-11,5.146321,7.613121,2.4668,0.827
"714","CSRP1","hurdle",6.23761605404269e-13,6.931441,8.646303,1.714862,0.827
"1983","NDRG1","hurdle",2.15803495313194e-11,4.479391,6.716702,2.237311,0.826
"1123","FUT8","hurdle",1.57183137911726e-12,5.63656,8.755397,3.118837,0.825
"2151","PDE8A","hurdle",3.6833644012808e-11,5.517671,8.099805,2.582134,0.824
"943","ERBB2IP","hurdle",3.82644508873724e-11,6.883321,9.304069,2.420748,0.824
"2212","PLD1","hurdle",2.06008526934955e-16,2.640066,7.767975,5.127909,0.822
"2106","PADI2","hurdle",3.03921990947278e-11,5.539937,7.357274,1.817337,0.822
"2489","RNF130","hurdle",2.26923805552226e-12,3.751942,7.105164,3.353222,0.821
"1109","FOXN2","hurdle",5.3889146584535e-10,6.056617,8.374559,2.317942,0.821
"249","BBX","hurdle",2.21427982077533e-10,6.290911,8.500664,2.209753,0.821
"511","CCP110","hurdle",9.20128295996514e-11,6.088811,8.41316,2.324349,0.82
"2595","SECISBP2L","hurdle",3.88657405489044e-10,6.266309,8.550929,2.28462,0.819
"3050","TMEM98","hurdle",7.83343749480047e-16,3.343206,6.95107,3.607864,0.818
"2488","RNF13","hurdle",3.52282446568597e-11,6.992942,9.689713,2.696771,0.817
"1070","FGF1","hurdle",2.71437989779765e-12,5.028143,8.258231,3.230088,0.817
"548","CDK19","hurdle",1.10116130122806e-12,4.372349,8.22118,3.848831,0.817
"3294","ZEB2","hurdle",3.57087626864034e-09,7.9727,9.916461,1.943761,0.816
"3147","TUBA1A","hurdle",4.34999354554355e-08,9.000852,10.715596,1.714744,0.815
"889","EFHD1","hurdle",4.74169496263116e-12,3.872091,5.983174,2.111083,0.815
"2644","SGK1","hurdle",2.24441348338257e-10,7.603302,9.425536,1.822234,0.813
"2103","P2RX7","hurdle",2.31735688459359e-11,5.044341,7.819641,2.7753,0.813
"2074","OLIG2","hurdle",3.40747947373941e-14,1.498096,4.670638,3.172542,0.813
"3101","TRIM2","hurdle",2.23273892321617e-08,8.337228,10.104764,1.767536,0.81
"1286","HIPK2","hurdle",8.43562648221497e-10,6.236562,8.173585,1.937023,0.81
"861","DUSP10","hurdle",5.46793677123795e-11,5.836544,8.185501,2.348957,0.81
"734","CXADR","hurdle",1.40319234874403e-09,7.674277,9.551951,1.877674,0.81
"108","ANK3","hurdle",3.40080657038782e-09,7.377103,9.049906,1.672803,0.809
"3027","TMEM206","hurdle",4.01297980876931e-13,3.595486,7.780117,4.184631,0.808
"1762","MBNL2","hurdle",3.9289363159113e-09,6.686257,8.597249,1.910992,0.808
"391","C21orf91","hurdle",4.5163040342339e-14,3.0876,7.409793,4.322193,0.807
"2541","RTKN","hurdle",1.51071129010445e-13,0.6652381,4.325341,3.6601029,0.805
"2322","PSAT1","hurdle",7.2881764623971e-10,7.55094,9.293096,1.742156,0.805
"1512","LANCL1","hurdle",6.80431263734108e-09,7.637203,9.85285,2.215647,0.805
"922","ELOVL1","hurdle",4.75851763856618e-15,2.658686,6.068807,3.410121,0.805
"1551","LITAF","hurdle",9.07538597150536e-11,4.776722,7.391368,2.614646,0.804
"740","CYB5R2","hurdle",7.89143649038405e-19,-0.1173768,5.7126537,5.8300305,0.804
"3220","VEZF1","hurdle",8.63032257115645e-10,5.18312,7.945259,2.762139,0.803
"2603","SEMA4D","hurdle",6.04577186103672e-11,6.132092,8.259842,2.12775,0.803
"3211","USP54","hurdle",3.80803172565664e-10,5.504479,7.556365,2.051886,0.8
"2671","SIRT2","hurdle",4.65770558529931e-10,5.189697,8.066344,2.876647,0.799
"1944","MYO1E","hurdle",2.60329555475218e-11,2.991726,5.745577,2.753851,0.799
"1997","NFASC","hurdle",1.66632492059488e-09,5.185048,7.250872,2.065824,0.798
"1532","LHPP","hurdle",1.98461802027441e-11,1.719986,5.117083,3.397097,0.798
"2800","SOX10","hurdle",1.75950971353389e-13,1.888788,5.977159,4.088371,0.797
"1521","LDB3","hurdle",1.34819331113499e-19,1.399697,7.245628,5.845931,0.797
"375","C1orf198","hurdle",9.49746687254649e-10,7.092081,8.640036,1.547955,0.797
"55","ADIPOR2","hurdle",3.90583935188987e-12,4.495535,8.303396,3.807861,0.797
"1767","MCAM","hurdle",1.41027225534813e-11,4.153838,6.170347,2.016509,0.795
"1979","NDE1","hurdle",4.67627999422822e-13,1.996638,6.009342,4.012704,0.794
"1752","MARCKSL1","hurdle",3.0941234054189e-11,4.669261,7.277544,2.608283,0.794
"98","AMD1","hurdle",7.71518979138771e-09,6.563243,8.538832,1.975589,0.794
"3151","TULP4","hurdle",6.16446690320033e-09,6.651412,8.99657,2.345158,0.793
"3004","TMEM123","hurdle",2.45801343364222e-10,4.993359,8.520236,3.526877,0.793
"1425","KCNMB4","hurdle",9.68255241703213e-11,4.687963,8.051252,3.363289,0.793
"1186","GNAI1","hurdle",1.21976595253471e-08,6.363289,8.8081,2.444811,0.793
"1131","GAB1","hurdle",3.80078717435536e-10,5.393388,7.518974,2.125586,0.792
"3304","ZFYVE16","hurdle",2.5814245275776e-07,7.121448,8.866368,1.74492,0.789
"2894","SYNJ2","hurdle",2.56535571150255e-10,4.866556,7.459604,2.593048,0.789
"2345","PTP4A2","hurdle",2.4636420698408e-08,6.410744,8.468549,2.057805,0.789
"2178","PHLPP1","hurdle",3.82454681726147e-09,6.053718,7.836516,1.782798,0.789
"307","C10orf90","hurdle",1.50986820558461e-15,1.797643,7.303973,5.50633,0.789
"1025","FAM55C","hurdle",2.11538943777155e-09,4.019832,6.5276,2.507768,0.787
"1181","GLUL","hurdle",2.99596499662884e-08,10.43947,11.23403,0.794560000000001,0.786
"1152","GCA","hurdle",1.55641623799596e-09,4.920783,7.624709,2.703926,0.786
"2211","PLCL1","hurdle",1.87285593021381e-11,3.958035,7.7124,3.754365,0.785
"2036","NPC1","hurdle",2.74336734538403e-09,4.560096,7.015283,2.455187,0.785
"65","AGAP1","hurdle",9.61817996478504e-09,4.76753,6.638455,1.870925,0.785
"1227","GSN","hurdle",6.56209272468715e-09,5.044518,7.162736,2.118218,0.784
"2261","PPAP2C","hurdle",2.37880101786113e-15,1.025187,5.949166,4.923979,0.783
"582","CERS2","hurdle",1.36498754587379e-11,3.830408,6.972088,3.14168,0.783
"273","BNIP3L","hurdle",1.49679473744413e-07,7.794434,9.502141,1.707707,0.783
"3048","TMEM87A","hurdle",4.51681032043371e-08,6.452292,8.327824,1.875532,0.782
"1542","LINC00320","hurdle",1.62709649681755e-13,4.151868,8.300027,4.148159,0.782
"2383","RAB33A","hurdle",6.29643082634351e-11,2.320409,4.946583,2.626174,0.78
"210","ATG4C","hurdle",5.75128330682895e-10,4.542408,7.744975,3.202567,0.779
"2832","SPTLC2","hurdle",1.87617560716939e-08,5.439071,7.373392,1.934321,0.778
"1476","KLF13","hurdle",3.21659965491869e-10,3.733618,5.75545,2.021832,0.778
"972","FAM102A","hurdle",1.00958757199816e-08,3.740189,5.887654,2.147465,0.778
"1075","FGFR2","hurdle",9.82770138503762e-09,5.795699,7.638112,1.842413,0.775
"2464","RFTN2","hurdle",3.99132431167029e-08,7.659041,9.888054,2.229013,0.773
"63","AFMID","hurdle",1.61707984153539e-08,3.009243,5.245728,2.236485,0.773
"3365","ZNF488","hurdle",1.48009857320268e-14,0.785326,4.998576,4.21325,0.771
"2324","PSEN1","hurdle",5.51185853222838e-08,5.945854,8.145436,2.199582,0.771
"10","ABCG1","hurdle",4.13349609038154e-11,1.404118,5.978966,4.574848,0.771
"2177","PHLDB1","hurdle",1.51911731707532e-08,4.340989,7.160349,2.81936,0.77
"1377","IPO13","hurdle",1.71255573630868e-09,3.412864,6.885472,3.472608,0.77
"1405","JUND","hurdle",3.54000391648734e-06,5.300257,6.257289,0.957032,0.769
"1514","LARP6","hurdle",1.86632029351114e-08,3.911051,6.487121,2.57607,0.768
"2321","PRUNE2","hurdle",5.68417079434331e-08,6.252508,8.805218,2.55271,0.767
"1249","H3F3B","hurdle",4.7619234184313e-05,9.772576,10.641025,0.868449,0.767
"2012","NINJ2","hurdle",2.61909100818732e-18,-1.846129,5.647496,7.493625,0.766
"1397","ITM2A","hurdle",1.9418827057167e-09,6.437138,8.536687,2.099549,0.766
"920","ELMO1","hurdle",2.29265659024784e-08,5.733387,7.41247,1.679083,0.765
"2888","SVIP","hurdle",5.72792054672891e-08,3.955025,5.88637,1.931345,0.764
"2879","STXBP3","hurdle",3.84612469590116e-07,6.194673,8.306757,2.112084,0.763
"659","COL9A2","hurdle",5.42952365943733e-11,1.799322,3.854836,2.055514,0.763
"426","C7orf46","hurdle",1.48359445935387e-08,5.039554,7.194705,2.155151,0.763
"2282","PPP2R2A","hurdle",9.03322111203344e-08,5.435971,8.381748,2.945777,0.761
"3217","VAMP3","hurdle",3.61963854271321e-08,5.614674,8.354052,2.739378,0.76
"2874","STRN","hurdle",6.57848942688512e-08,4.92598,7.987608,3.061628,0.76
"2724","SLCO3A1","hurdle",6.38249966528392e-08,5.639492,7.521249,1.881757,0.76
"3080","TPPP","hurdle",2.10309462238832e-07,4.399448,6.776797,2.377349,0.759
"2409","RAP1GDS1","hurdle",2.05984515744211e-06,7.876907,9.137247,1.26034,0.759
"982","FAM124A","hurdle",1.31732984544898e-10,2.09425,6.039092,3.944842,0.759
"502","CCDC88A","hurdle",2.16346025144675e-05,8.782298,9.984973,1.202675,0.759
"2871","STMN1","hurdle",3.17033707902621e-06,9.646072,10.724599,1.078527,0.758
"1328","HSP90AA4P","hurdle",5.66665270215948e-07,2.469169,3.806812,1.337643,0.758
"1118","FTH1","hurdle",4.31511010810509e-07,6.260225,8.068891,1.808666,0.758
"2574","SCARB2","hurdle",4.54019401243632e-06,6.809007,8.433179,1.624172,0.757
"3251","WNK1","hurdle",1.54813793087907e-05,7.074161,8.192397,1.118236,0.756
"2076","OMG","hurdle",6.49748990251141e-07,8.112428,9.713151,1.600723,0.755
"750","DAAM2","hurdle",5.24406582087787e-10,2.850671,5.658061,2.80739,0.755
"3005","TMEM125","hurdle",2.59982687404824e-13,1.248112,4.431201,3.183089,0.754
"2316","PRR18","hurdle",1.76733954808461e-11,2.763042,5.580844,2.817802,0.754
"1741","MAP6D1","hurdle",3.10679894103845e-11,1.977484,5.934343,3.956859,0.753
"3065","TOB1","hurdle",4.68271108243075e-05,8.562809,9.926444,1.363635,0.752
"2798","SORT1","hurdle",1.91075987020751e-06,7.142229,9.095453,1.953224,0.752
"2715","SLC48A1","hurdle",9.27761483877552e-08,7.483741,9.102653,1.618912,0.752
"1142","GALNT6","hurdle",3.67518906628156e-15,-1.910546,5.326477,7.237023,0.751
"41","ADAMTS18","hurdle",7.38977021309694e-14,0.880404,6.328462,5.448058,0.751
"927","ENDOD1","hurdle",5.9571485832472e-07,5.817509,7.913015,2.095506,0.75
"2182","PICALM","hurdle",4.28637991875915e-06,6.378182,8.288417,1.910235,0.749
"1489","KLHL32","hurdle",1.56377158871881e-07,5.031183,8.188237,3.157054,0.749
"856","DSEL","hurdle",8.24877141519505e-07,5.798011,8.219016,2.421005,0.749
"850","DPYD","hurdle",2.99135894000229e-09,2.763042,6.72498,3.961938,0.749
"2654","SH3GL3","hurdle",3.8021708292029e-07,4.248143,6.869651,2.621508,0.747
"869","DYNC1I2","hurdle",2.02750864704243e-06,5.79633,7.224713,1.428383,0.746
"160","ARHGAP1","hurdle",4.34653199956266e-08,6.125498,7.847601,1.722103,0.745
"839","DOCK10","hurdle",3.10123262398004e-07,7.024061,8.284404,1.260343,0.744
"2475","RHOG","hurdle",2.70616900211797e-10,4.349896,5.847997,1.498101,0.742
"2472","RHOA","hurdle",8.98240128640063e-07,7.771896,9.005093,1.233197,0.742
"1756","MAST3","hurdle",2.68503665467464e-07,6.872295,7.625478,0.753183,0.742
"356","C18orf1","hurdle",3.62192461054709e-07,4.681376,7.089639,2.408263,0.742
"121","ANKS1B","hurdle",3.21562528411638e-07,6.62473,8.045515,1.420785,0.742
"3249","WIPF1","hurdle",1.15813117877739e-09,3.486105,6.063707,2.577602,0.741
"2641","SFT2D1","hurdle",9.14090339531939e-07,4.590961,6.786115,2.195154,0.741
"3286","ZCCHC24","hurdle",2.17678437182179e-07,4.218643,5.786046,1.567403,0.74
"2578","SCD5","hurdle",3.89029698567334e-06,8.389075,9.564791,1.175716,0.74
"1989","NECAB1","hurdle",3.88833288431002e-06,7.491714,8.922686,1.430972,0.74
"890","EFNA1","hurdle",2.46675735430961e-08,5.028501,5.65505,0.626549,0.74
"2341","PTK2","hurdle",1.66033323649549e-05,7.644752,9.333909,1.689157,0.739
"2351","PTPRD","hurdle",3.13677881897832e-07,7.747913,8.826281,1.078368,0.737
"1327","HSD17B4","hurdle",2.70784565052362e-06,6.256181,8.161967,1.905786,0.737
"1107","FOS","hurdle",2.66595462153628e-05,10.13131,11.13628,1.00497,0.737
"2338","PTGDS","hurdle",8.82757386750797e-08,6.77154,8.0399,1.26836,0.736
"1541","LINC00263","hurdle",3.21296688994454e-08,3.985582,6.015224,2.029642,0.736
"3022","TMEM189","hurdle",5.02054154549482e-07,3.24189,5.090586,1.848696,0.735
"1094","FMNL2","hurdle",1.16407179729386e-05,7.565968,8.800031,1.234063,0.735
"2803","SOX8","hurdle",6.17617237495031e-09,0.7087725,4.2475278,3.5387553,0.734
"3331","ZNF24","hurdle",9.06251577591455e-06,6.103581,8.341115,2.237534,0.732
"2985","TJAP1","hurdle",7.17661784698867e-08,2.995393,4.823267,1.827874,0.732
"2913","TALDO1","hurdle",3.31606649575236e-06,5.368438,7.386384,2.017946,0.732
"2717","SLC5A11","hurdle",2.37917142896361e-14,-0.3358673,6.4837309,6.8195982,0.732
"519","CD22","hurdle",5.31767157148678e-12,-0.2569727,3.4861046,3.7430773,0.732
"238","BACE1","hurdle",9.18481967096882e-06,6.141472,8.07214,1.930668,0.732
"2807","SPARC","hurdle",6.41838555590655e-07,6.256869,7.666046,1.409177,0.731
"1740","MAP4K5","hurdle",9.25961114759919e-06,6.418413,8.194861,1.776448,0.731
"838","DOCK1","hurdle",2.79238804210386e-06,5.343624,6.620432,1.276808,0.731
"601","CHN2","hurdle",1.09269477954878e-06,4.849031,8.284769,3.435738,0.731
"2793","SNX30","hurdle",1.43518005805338e-06,5.378863,7.478674,2.099811,0.73
"2496","RNF220","hurdle",2.95709024625039e-06,4.332317,6.470092,2.137775,0.729
"2018","NKAIN2","hurdle",7.67438409270128e-07,5.230873,8.243274,3.012401,0.728
"2000","NFE2L2","hurdle",4.17771362799313e-06,6.629044,8.065636,1.436592,0.728
"934","ENPP4","hurdle",2.46818548171365e-06,5.602223,8.340881,2.738658,0.728
"807","DIP2B","hurdle",1.89568890372672e-05,5.769384,7.691064,1.92168,0.728
"456","CALM2","hurdle",0.0024956608198089,10.73397,11.51284,0.778870000000001,0.728
"3054","TMTC2","hurdle",7.66626239163118e-07,4.390007,7.481226,3.091219,0.727
"2214","PLEKHA1","hurdle",2.14203382694693e-06,6.08236,7.775099,1.692739,0.727
"1928","MTUS1","hurdle",1.70803437092353e-05,6.659466,8.340647,1.681181,0.726
"595","CHD7","hurdle",1.08557171866851e-05,6.044898,7.596935,1.552037,0.726
"197","ASPA","hurdle",9.42311065066866e-09,2.697921,6.539077,3.841156,0.726
"2385","RAB40B","hurdle",7.11224561802042e-07,3.595003,5.937444,2.342441,0.725
"2049","NT5DC1","hurdle",1.55744454067796e-06,4.533357,7.273378,2.740021,0.725
"173","ARID5B","hurdle",1.19816268541001e-05,7.994301,9.320848,1.326547,0.725
"2789","SNX22","hurdle",3.43361001969107e-08,0.9148898,5.3785116,4.4636218,0.724
"2549","RYBP","hurdle",9.12229507985853e-06,5.672506,7.320456,1.64795,0.724
"2193","PIK3C2B","hurdle",2.09168552185949e-06,3.386297,5.686353,2.300056,0.724
"1222","GRM3","hurdle",4.31971705398487e-06,7.130897,7.957224,0.826327,0.724
"984","FAM126A","hurdle",2.1629596502808e-07,4.44896,7.13842,2.68946,0.724
"976","FAM108B1","hurdle",8.03684772027205e-07,4.04163,6.696711,2.655081,0.724
"214","ATP10B","hurdle",6.01310074912476e-08,3.329327,6.605304,3.275977,0.724
"1798","MFSD6","hurdle",5.39479789820895e-06,4.857719,7.165648,2.307929,0.723
"2986","TJP1","hurdle",8.73935300616035e-05,7.865707,8.767296,0.901589,0.722
