"","Gene","test.type","p_value","log2.mean.Cluster_Other","log2.mean.neurons","log2fold_change","Auc"
"4478","MEG3","hurdle",1.49877527125425e-59,6.22449,10.3303,4.10581,0.958
"4901","MYT1L","hurdle",7.19010154488057e-62,4.2966,8.755298,4.458698,0.957
"7177","STMN2","hurdle",3.47657482273672e-57,3.99613,8.797516,4.801386,0.951
"6490","SCN2A","hurdle",5.58202294004106e-57,5.393521,9.429752,4.036231,0.951
"7479","TMEM130","hurdle",2.58698527455558e-54,2.429138,7.312197,4.883059,0.945
"6754","SLC4A10","hurdle",2.62191741971544e-57,4.11335,8.291042,4.177692,0.941
"6836","SNAP25","hurdle",3.34738414574919e-50,6.57157,10.59863,4.02706,0.94
"2647","GABRB2","hurdle",2.58759083675051e-51,4.175328,8.851155,4.675827,0.938
"2641","GABBR2","hurdle",8.53838829622239e-53,3.93129,8.400818,4.469528,0.938
"1370","CELF4","hurdle",9.13385418170098e-51,3.535245,6.997425,3.46218,0.938
"7416","THY1","hurdle",8.08377020572489e-52,1.554669,7.872627,6.317958,0.935
"7256","SYT1","hurdle",1.25679310808143e-50,6.620948,10.493933,3.872985,0.933
"6395","RTN1","hurdle",1.43108407237315e-48,6.224741,9.761882,3.537141,0.933
"2651","GABRG2","hurdle",1.30519829380585e-48,4.702744,8.505315,3.802571,0.933
"2630","FXYD6","hurdle",1.31254906194267e-48,4.821472,9.034896,4.213424,0.933
"7198","STXBP1","hurdle",2.0295383886185e-48,5.064802,8.67709,3.612288,0.93
"7873","UCHL1","hurdle",1.50062238745416e-48,5.145095,8.696147,3.551052,0.926
"7229","SV2A","hurdle",1.55627315017266e-46,3.627577,7.236661,3.609084,0.925
"7290","TAGLN3","hurdle",7.69022942817342e-45,3.113025,7.77635,4.663325,0.924
"7105","SRRM4","hurdle",1.19875930530234e-47,2.259517,6.563361,4.303844,0.922
"3097","HMP19","hurdle",1.96713515870586e-44,3.611571,7.128898,3.517327,0.918
"5460","PCLO","hurdle",8.04132220828881e-47,5.532981,8.753258,3.220277,0.917
"2642","GABRA1","hurdle",6.19761954709687e-46,5.404843,9.579389,4.174546,0.917
"5716","PNMA2","hurdle",6.79181726329036e-45,5.546474,9.096908,3.550434,0.916
"7999","VSNL1","hurdle",1.4909115747133e-45,5.37174,9.612307,4.240567,0.915
"6221","RIMS2","hurdle",1.7332270362214e-43,4.417699,7.866599,3.4489,0.913
"6477","SCG2","hurdle",2.66302665333969e-42,6.147291,9.809272,3.661981,0.907
"5176","NRXN3","hurdle",4.97887284284698e-40,4.807489,8.112951,3.305462,0.905
"6478","SCG5","hurdle",1.89961201043713e-39,6.145042,8.83757,2.692528,0.904
"651","BEX1","hurdle",7.45888592180278e-40,5.568158,8.50586,2.937702,0.904
"421","ARL4C","hurdle",3.78822861009104e-40,4.481155,7.848317,3.367162,0.903
"7253","SYNPR","hurdle",3.92461344992682e-44,4.081056,9.479535,5.398479,0.902
"6570","SEZ6L2","hurdle",2.43962974022591e-40,2.267322,5.429616,3.162294,0.902
"2492","FGF12","hurdle",3.96358929491542e-43,6.795715,10.28603,3.490315,0.898
"1959","DNM1","hurdle",1.82121660104719e-41,2.411638,6.513604,4.101966,0.898
"652","BEX2","hurdle",2.07367886300009e-38,5.058069,7.971767,2.913698,0.897
"5558","PGM2L1","hurdle",2.40549483898128e-37,4.815496,8.818743,4.003247,0.895
"1130","CAMK2B","hurdle",2.83281999662306e-38,3.161992,6.402521,3.240529,0.895
"2790","GNG3","hurdle",9.73919780822697e-41,3.599256,7.839786,4.24053,0.893
"1421","CHD5","hurdle",1.95976459656487e-40,2.037907,5.229876,3.191969,0.89
"6127","RBFOX2","hurdle",1.05634312880998e-36,5.78364,8.385685,2.602045,0.889
"4381","MAP2","hurdle",3.67010264680799e-37,6.798327,9.298965,2.500638,0.888
"1479","CKMT1B","hurdle",2.07789490956126e-40,0.2040757,4.6544338,4.4503581,0.888
"2654","GAD1","hurdle",1.37631600979676e-40,5.533183,9.556829,4.023646,0.887
"1427","CHGB","hurdle",3.96522682808074e-38,3.229468,7.318006,4.088538,0.887
"4924","NAP1L3","hurdle",5.76361162649649e-36,5.781598,8.821423,3.039825,0.886
"3564","KLC1","hurdle",7.13374031443956e-37,5.274649,7.710733,2.436084,0.886
"5391","PAR-SN","hurdle",1.22286153344694e-37,5.976596,8.402901,2.426305,0.883
"4397","MAP7D2","hurdle",9.69941851116422e-38,3.923285,7.183255,3.25997,0.883
"7897","UNC80","hurdle",1.1969520973897e-35,5.818752,8.117399,2.298647,0.882
"7211","SULT4A1","hurdle",5.99169930226302e-43,0.003742402,6.718236117,6.714493715,0.882
"5371","PAK3","hurdle",9.91460119501729e-35,3.922667,7.377764,3.455097,0.882
"1129","CAMK2A","hurdle",2.53834389941635e-43,2.686537,6.903132,4.216595,0.882
"487","ATCAY","hurdle",4.36318521300148e-36,2.397483,7.22353,4.826047,0.882
"3997","LOC157627","hurdle",4.48201616615736e-38,3.40068,6.714361,3.313681,0.881
"2891","GRIA1","hurdle",1.15239044595059e-35,4.565866,8.127477,3.561611,0.881
"2873","GPRASP1","hurdle",8.54892461645648e-35,4.993369,8.03225,3.038881,0.881
"7200","STXBP5L","hurdle",1.08329928685971e-36,3.205295,7.450084,4.244789,0.88
"1121","CALM3","hurdle",4.7205738965726e-34,4.153384,6.999234,2.84585,0.879
"6291","RP1-177G6.2","hurdle",1.24049348858304e-35,5.857238,8.545925,2.688687,0.878
"4944","NCDN","hurdle",8.87109200978738e-36,2.320803,6.109817,3.789014,0.878
"7341","TCEAL5","hurdle",7.91628399102346e-36,2.651182,5.169956,2.518774,0.877
"7266","SYT4","hurdle",7.40673768064015e-37,3.315732,7.597134,4.281402,0.877
"6665","SLC22A17","hurdle",1.00755447998957e-33,3.998477,6.961823,2.963346,0.877
"1545","CNTNAP2","hurdle",2.85653945233132e-34,5.562619,9.284027,3.721408,0.876
"507","ATP1B1","hurdle",3.3080745827169e-32,7.660223,9.724333,2.06411,0.875
"6644","SLC12A5","hurdle",6.38665683323798e-36,2.359653,6.345698,3.986045,0.874
"4938","NBEA","hurdle",1.46478652809952e-34,6.61513,8.81984,2.20471,0.873
"4928","NAPB","hurdle",3.12514640295793e-34,5.456746,8.246916,2.79017,0.873
"505","ATP1A3","hurdle",9.9144891546509e-36,0.02231016,4.12019236,4.0978822,0.872
"5986","PTPRN","hurdle",3.97853818406252e-36,-0.4671811,6.2387839,6.705965,0.871
"512","ATP2B2","hurdle",3.16926441558823e-34,3.042008,6.632035,3.590027,0.871
"2779","GNAS","hurdle",1.83843729127303e-30,7.356889,9.462793,2.105904,0.87
"6496","SCN8A","hurdle",2.01449477594166e-33,3.079062,6.907542,3.82848,0.869
"654","BEX5","hurdle",2.95521263993044e-33,3.114107,6.238346,3.124239,0.869
"6838","SNAP91","hurdle",8.01009936629298e-33,5.773743,8.537207,2.763464,0.868
"6126","RBFOX1","hurdle",2.01849668242818e-36,0.4294855,5.6124831,5.1829976,0.868
"3479","KHDRBS2","hurdle",7.97415485442912e-36,1.986825,6.181518,4.194693,0.866
"4696","MLLT11","hurdle",6.41150857143128e-33,5.881436,8.879024,2.997588,0.865
"2900","GRIK2","hurdle",6.16720036952814e-31,4.882135,8.292027,3.409892,0.864
"1146","CAP2","hurdle",2.48269967318656e-31,3.854358,7.995567,4.141209,0.864
"1137","CAMKV","hurdle",2.92547542847044e-36,1.73434,7.332291,5.597951,0.864
"5471","PCSK2","hurdle",3.40635897261546e-35,2.536376,7.42851,4.892134,0.863
"7254","SYP","hurdle",9.41027273243421e-34,2.115621,4.47343,2.357809,0.861
"2150","ENO2","hurdle",2.21850878979171e-29,5.684389,8.76196,3.077571,0.861
"6218","RIMBP2","hurdle",3.44876162701509e-38,0.4502044,6.6813699,6.2311655,0.86
"5269","OLFM1","hurdle",4.66454097780353e-31,5.475607,7.862678,2.387071,0.86
"5168","NRIP3","hurdle",1.02360206223472e-36,4.17429,8.366526,4.192236,0.86
"1472","CIT","hurdle",8.77463478925435e-34,3.72785,7.648754,3.920904,0.86
"6048","RAB3A","hurdle",7.41026577238093e-35,1.06144,4.703444,3.642004,0.859
"1252","CCK","hurdle",1.98523946172356e-30,5.230916,8.665176,3.43426,0.859
"7242","SYN1","hurdle",1.01309218373638e-33,1.889044,5.491388,3.602344,0.858
"3370","JPH4","hurdle",1.67383854395838e-31,2.750579,5.618996,2.868417,0.858
"1797","DCLK1","hurdle",3.82496461530698e-32,4.149166,8.010164,3.860998,0.858
"2040","DYNC1I1","hurdle",7.65257926317549e-33,4.149166,6.627364,2.478198,0.857
"750","C11orf41","hurdle",1.02141846033971e-32,4.213196,6.841664,2.628468,0.857
"3277","INA","hurdle",6.85337905107958e-35,2.613409,7.014647,4.401238,0.856
"73","ACOT7","hurdle",3.86939918754145e-33,2.757522,7.15355,4.396028,0.856
"4233","LPPR4","hurdle",1.84010993717117e-30,3.493434,7.35312,3.859686,0.855
"5085","NMNAT2","hurdle",3.72514597243671e-34,3.186896,7.008843,3.821947,0.854
"8129","YWHAH","hurdle",1.79551605680085e-30,5.975852,8.407612,2.43176,0.852
"7338","TCEAL2","hurdle",3.0560311719126e-29,5.01323,7.301276,2.288046,0.852
"2124","ELAVL4","hurdle",7.02172461931981e-33,2.102593,6.796805,4.694212,0.852
"22","ABCA5","hurdle",2.54309740246642e-29,5.564204,7.469477,1.905273,0.851
"2440","FBXL16","hurdle",1.15397035833972e-34,1.538635,4.949606,3.410971,0.85
"1284","CD200","hurdle",1.10058022509413e-29,5.344792,7.871357,2.526565,0.85
"1904","DLGAP1","hurdle",3.49371021408683e-31,3.945345,6.089906,2.144561,0.849
"557","ATPIF1","hurdle",1.05517258027215e-27,5.576821,7.711574,2.134753,0.849
"5679","PLEKHA5","hurdle",1.08548801205601e-27,4.510222,7.295049,2.784827,0.845
"1109","CACNG8","hurdle",1.30656925551005e-31,2.402807,5.765879,3.363072,0.845
"7243","SYN2","hurdle",1.82352793191049e-31,3.473332,6.778062,3.30473,0.844
"6163","REEP1","hurdle",5.97011753733196e-30,3.277598,7.271648,3.99405,0.844
"1677","CSRNP3","hurdle",7.548846249256e-26,5.046777,7.807753,2.760976,0.843
"7248","SYNGR3","hurdle",4.84563952943389e-33,1.54507,5.569067,4.023997,0.84
"5040","NGFRAP1","hurdle",4.52924097498452e-20,6.899329,8.855774,1.956445,0.84
"511","ATP2B1","hurdle",2.14240657582728e-27,6.604772,8.563381,1.958609,0.84
"6419","RYR2","hurdle",1.26364679315123e-30,3.855653,7.459375,3.603722,0.839
"6493","SCN3B","hurdle",2.03811959036289e-26,3.797552,7.390422,3.59287,0.838
"6285","ROBO2","hurdle",3.41910520868286e-35,2.667494,7.483453,4.815959,0.838
"2123","ELAVL2","hurdle",6.10306439761159e-29,3.773092,6.982436,3.209344,0.838
"186","AHI1","hurdle",2.74844369464917e-26,7.424924,9.022666,1.597742,0.838
"7926","USP11","hurdle",6.45008297644377e-26,6.380155,8.63236,2.252205,0.837
"5399","PARM1","hurdle",1.89502205927842e-27,4.210668,7.375112,3.164444,0.837
"4925","NAP1L5","hurdle",1.06396377212332e-26,4.583947,7.487263,2.903316,0.837
"2648","GABRB3","hurdle",1.60716309545638e-28,3.571945,6.893716,3.321771,0.836
"5862","PRKCE","hurdle",2.71739192981866e-28,2.56357,6.735805,4.172235,0.835
"3550","KIF5C","hurdle",5.79794223011347e-25,5.900694,8.141975,2.241281,0.835
"3404","KCNC2","hurdle",1.80496494761713e-27,2.909885,6.890564,3.980679,0.835
"7953","VAMP2","hurdle",8.02842678813453e-25,4.32352,6.578996,2.255476,0.834
"6999","SNX10","hurdle",2.60324006611904e-27,5.211579,7.625073,2.413494,0.834
"4876","MYL6B","hurdle",4.28806293307348e-27,3.230467,5.597322,2.366855,0.833
"2606","FRMPD4","hurdle",9.96360060949678e-32,1.234653,6.587266,5.352613,0.833
"2494","FGF14","hurdle",5.02798317090603e-28,5.30435,8.540937,3.236587,0.833
"5179","NSF","hurdle",1.67151982803203e-25,6.426635,8.707414,2.280779,0.832
"5174","NRSN2","hurdle",1.40139136062615e-27,3.992604,6.976152,2.983548,0.832
"4476","MEF2C","hurdle",1.19392171255027e-24,7.421048,9.294517,1.873469,0.832
"2377","FAM65B","hurdle",2.94733692485466e-27,3.218439,6.689395,3.470956,0.832
"1113","CADPS","hurdle",1.4512859243165e-24,5.726046,7.742295,2.016249,0.831
"5002","NECAP1","hurdle",2.14837094672245e-24,5.279963,7.94739,2.667427,0.83
"5846","PREPL","hurdle",4.47318157878779e-26,7.094019,8.940456,1.846437,0.829
"5674","PLD3","hurdle",7.86192346639762e-27,2.815895,6.232939,3.417044,0.829
"7805","TUBB2A","hurdle",3.00769424352457e-28,5.430485,7.195403,1.764918,0.828
"5699","PLXNA4","hurdle",2.48729408275205e-30,3.121661,6.401218,3.279557,0.827
"1809","DCX","hurdle",1.94824777902545e-28,3.405108,7.29925,3.894142,0.827
"6182","RFPL1-AS1","hurdle",8.78009415385679e-28,2.007941,5.838886,3.830945,0.826
"5272","OPCML","hurdle",1.04601079157014e-25,3.994368,6.960143,2.965775,0.826
"4357","MAGI1","hurdle",9.70169302580968e-25,5.146947,7.324479,2.177532,0.826
"3291","INPP5F","hurdle",1.12102621239696e-24,5.065362,7.537684,2.472322,0.826
"7178","STMN3","hurdle",2.54566423008391e-26,1.786868,4.861433,3.074565,0.825
"7082","SPTAN1","hurdle",1.76720179858917e-24,6.831032,8.532753,1.701721,0.825
"3220","IGF1","hurdle",2.37382607273969e-28,4.476112,7.405765,2.929653,0.825
"1508","CLSTN1","hurdle",2.57546803411346e-25,4.628562,6.448893,1.820331,0.825
"819","C16orf45","hurdle",5.18652998207265e-23,5.375807,7.407518,2.031711,0.825
"5987","PTPRN2","hurdle",2.40854711166327e-27,3.709348,6.236449,2.527101,0.824
"5369","PAK1","hurdle",2.43580979839612e-25,4.032078,6.994664,2.962586,0.824
"2247","FABP3","hurdle",5.88606994081143e-27,3.681143,6.371732,2.690589,0.824
"1916","DLX6-AS1","hurdle",2.02403329092568e-35,-0.1129812,6.9105661,7.0235473,0.824
"1536","CNR1","hurdle",1.19892052689931e-29,4.45875,9.036155,4.577405,0.824
"613","BASP1","hurdle",7.43480804440178e-25,3.878764,5.621459,1.742695,0.824
"7559","TMEM59L","hurdle",2.03249169627092e-26,2.628637,5.211268,2.582631,0.823
"5347","OXR1","hurdle",6.65020481136515e-21,6.906375,9.170214,2.263839,0.822
"5077","NME1","hurdle",4.47905833738147e-25,4.092634,6.186668,2.094034,0.822
"2957","GUCY1B3","hurdle",6.17252044026695e-24,5.249012,7.746301,2.497289,0.822
"2655","GAD2","hurdle",1.68537892011533e-26,2.375987,6.407719,4.031732,0.822
"1093","CACNA1E","hurdle",3.63063342046066e-26,3.591505,6.78457,3.193065,0.822
"7069","SPINT2","hurdle",7.42021210426947e-29,1.043372,6.132285,5.088913,0.821
"6488","SCN1A","hurdle",6.50226413394107e-24,4.809829,7.512633,2.702804,0.821
"5523","PEG3","hurdle",2.09580960728694e-24,7.071421,9.052715,1.981294,0.821
"6492","SCN3A","hurdle",7.46582939228304e-25,6.150064,7.384041,1.233977,0.82
"6050","RAB3C","hurdle",3.58443505993796e-29,2.241801,5.911673,3.669872,0.82
"5665","PLCB1","hurdle",4.38750140346563e-22,6.028609,8.020677,1.992068,0.82
"260","AMPH","hurdle",2.49307837037963e-25,4.185661,7.03721,2.851549,0.82
"3119","HPRT1","hurdle",1.23995612080161e-25,4.291347,7.168938,2.877591,0.819
"7294","TARBP1","hurdle",3.887942660418e-24,6.049127,7.566089,1.516962,0.818
"2812","GOT1","hurdle",2.22530784998719e-22,5.4817,7.977153,2.495453,0.818
"1337","CDK5R1","hurdle",1.91826282598842e-24,4.192338,6.730733,2.538395,0.818
"6603","SHANK2","hurdle",1.18571638471833e-26,4.293737,7.543126,3.249389,0.817
"2824","GPI","hurdle",2.07015596349233e-21,7.441295,9.194082,1.752787,0.817
"7342","TCEAL6","hurdle",5.67794340951319e-28,0.145995,4.518814,4.372819,0.816
"6552","SERINC1","hurdle",1.70421016985594e-20,8.109149,9.955607,1.846458,0.816
"5345","OXCT1","hurdle",4.6053487762786e-23,4.07551,7.278829,3.203319,0.816
"4377","MAP1B","hurdle",3.14130812423637e-21,10.07316,12.05987,1.98671,0.816
"2192","ERC2","hurdle",5.6618999074219e-27,3.488435,7.098281,3.609846,0.816
"7914","UQCRH","hurdle",2.23407402658005e-22,4.399615,6.144168,1.744553,0.815
"6804","SLITRK4","hurdle",8.76026873592688e-26,3.430529,7.39239,3.961861,0.815
"6734","SLC38A1","hurdle",8.88413286110078e-24,6.14438,7.690137,1.545757,0.815
"7761","TSPYL2","hurdle",1.24232937225343e-21,5.530348,7.792087,2.261739,0.814
"4455","MDH1","hurdle",1.08169223902457e-19,7.773006,9.699011,1.926005,0.814
"534","ATP6V0C","hurdle",4.69666237207725e-23,2.554031,4.214564,1.660533,0.814
"6709","SLC2A13","hurdle",3.06189999984188e-24,3.620739,6.998804,3.378065,0.813
"6446","SARS","hurdle",3.91972340063074e-21,5.797518,8.270005,2.472487,0.813
"4352","MAGEE1","hurdle",2.94197487352315e-23,5.115675,7.374913,2.259238,0.813
"1621","CPLX2","hurdle",8.68398159703668e-25,1.916601,5.893633,3.977032,0.813
"162","AES","hurdle",4.97826318330131e-21,3.212387,5.123956,1.911569,0.813
"6769","SLC6A17","hurdle",5.01457168830655e-28,0.145995,4.980981,4.834986,0.812
"5394","PAR5","hurdle",4.00093090128546e-25,4.614863,7.50895,2.894087,0.812
"2460","FBXO44","hurdle",1.36152267570775e-22,3.649392,5.42424,1.774848,0.812
"1672","CSMD3","hurdle",2.79156789107788e-22,5.148797,7.599124,2.450327,0.812
"306","ANKRD36B","hurdle",2.81259616371437e-23,4.991308,6.484013,1.492705,0.812
"8285","ZNF385D","hurdle",1.09600704743838e-25,2.531523,6.555186,4.023663,0.811
"6998","SNURF","hurdle",1.06893734617512e-22,0.7633288,3.4033926,2.6400638,0.811
"5881","ProSAPiP1","hurdle",3.59642410857439e-25,2.983986,5.109035,2.125049,0.811
"3506","KIAA1107","hurdle",7.90148218978635e-22,6.238578,8.292062,2.053484,0.811
"2166","EPB49","hurdle",2.07222695204098e-26,1.519156,4.450443,2.931287,0.811
"6197","RGS12","hurdle",9.28271124892933e-25,3.781973,6.824471,3.042498,0.809
"1089","CACNA1A","hurdle",1.39446389179298e-23,1.482748,4.601887,3.119139,0.809
"5141","NPTXR","hurdle",1.95120553269683e-23,0.6839151,5.1236397,4.4397246,0.808
"5048","NHP2L1","hurdle",3.5830734913773e-20,5.659584,7.975535,2.315951,0.808
"2762","GLS","hurdle",8.40488977631432e-21,6.085588,8.12215,2.036562,0.808
"6995","SNTG1","hurdle",2.08638218369191e-24,2.625604,6.107263,3.481659,0.807
"2128","ELMOD1","hurdle",1.27632817781461e-24,3.824252,6.198563,2.374311,0.807
"6559","SERPINI1","hurdle",7.14745632350442e-21,6.497712,9.04256,2.544848,0.806
"6458","SCAMP5","hurdle",1.85978761009891e-23,3.954438,6.162118,2.20768,0.806
"1090","CACNA1B","hurdle",2.97034024429585e-23,3.168259,5.713322,2.545063,0.806
"7915","UQCRHL","hurdle",2.24001816172141e-20,2.439537,4.149033,1.709496,0.805
"6767","SLC6A15","hurdle",7.06688037609367e-24,4.881182,7.425759,2.544577,0.805
"6220","RIMS1","hurdle",5.93625350916538e-23,3.964675,6.120145,2.15547,0.805
"2156","ENTPD3","hurdle",3.13967140686886e-27,2.776788,6.85856,4.081772,0.804
"706","BSN","hurdle",1.16589123568197e-25,1.528928,6.318772,4.789844,0.804
"1761","D4S234E","hurdle",5.14755318413487e-27,2.490437,6.24097,3.750533,0.803
"7819","TUSC3","hurdle",7.77244875845325e-25,4.254519,5.972745,1.718226,0.802
"6060","RAB6B","hurdle",6.47588096284871e-21,4.731945,6.71855,1.986605,0.802
"4408","MAPT","hurdle",1.18925919065544e-19,3.986115,5.870666,1.884551,0.802
"2934","GSTA4","hurdle",8.99809961009972e-22,5.427876,7.062394,1.634518,0.802
"1188","CCDC104","hurdle",4.56146309900706e-20,4.472741,6.512157,2.039416,0.802
"584","B3GNT1","hurdle",4.58953145475549e-21,4.649615,6.786965,2.13735,0.802
"1727","CYFIP2","hurdle",2.84322499160854e-22,6.603039,8.623005,2.019966,0.801
"475","ASNS","hurdle",1.85038996041512e-21,4.479056,7.43317,2.954114,0.801
"8304","ZNF483","hurdle",1.2174972773266e-21,5.287898,7.325029,2.037131,0.8
"7896","UNC79","hurdle",1.1243392867014e-22,5.755997,7.41715,1.661153,0.8
"4941","NCALD","hurdle",4.29212727349258e-21,4.69806,8.162683,3.464623,0.8
"4222","LONRF2","hurdle",1.11712885092313e-20,6.374746,7.083335,0.708589,0.8
"1581","COPG2","hurdle",9.82217128524436e-22,3.944737,6.319048,2.374311,0.8
"342","AP1S2","hurdle",2.42233213049345e-23,5.47139,8.280208,2.808818,0.8
"7890","UNC13A","hurdle",1.3324516589903e-22,2.513589,5.842154,3.328565,0.798
"7136","ST8SIA3","hurdle",1.98245082643411e-22,3.642657,6.986784,3.344127,0.798
"3426","KCNJ3","hurdle",2.57308979848658e-27,-1.108934,5.789964,6.898898,0.798
"1613","COX7A2L","hurdle",6.76348932166065e-20,4.74003,6.76981,2.02978,0.798
"1502","CLIP3","hurdle",3.81164853295517e-19,4.794044,7.315796,2.521752,0.798
"7076","SPRYD3","hurdle",9.16914965965233e-22,3.258147,6.270087,3.01194,0.797
"5004","NEDD4L","hurdle",1.70864895360859e-21,5.151699,7.69445,2.542751,0.797
"1510","CLSTN3","hurdle",3.93083862664911e-24,3.334427,4.884732,1.550305,0.797
"6146","RCAN2","hurdle",1.81308109349435e-20,5.765156,7.984434,2.219278,0.796
"5042","NGRN","hurdle",2.36391820173309e-20,5.745209,7.265792,1.520583,0.796
"4717","MOAP1","hurdle",2.44602781346145e-21,4.679535,7.312405,2.63287,0.796
"2577","FNBP1L","hurdle",8.72450803459789e-20,5.671948,6.945654,1.273706,0.796
"7801","TUBA1B","hurdle",4.5999574381075e-19,6.710261,8.819182,2.108921,0.795
"8128","YWHAG","hurdle",3.63594880416295e-20,6.568119,8.218285,1.650166,0.794
"7806","TUBB3","hurdle",1.49700129524961e-22,1.455679,5.640129,4.18445,0.794
"6744","SLC41A2","hurdle",1.1916491475834e-20,4.10684,6.407719,2.300879,0.794
"6027","R3HDM1","hurdle",4.74996346768132e-20,5.467584,7.47382,2.006236,0.794
"5173","NRSN1","hurdle",3.7882272973922e-22,3.358374,6.68405,3.325676,0.794
"4964","NDRG4","hurdle",4.46539944656905e-18,6.295146,8.105493,1.810347,0.794
"3538","KIF1A","hurdle",3.17312114774228e-21,5.9268,7.496319,1.569519,0.793
"1200","CCDC136","hurdle",2.04107206578047e-20,3.92205,6.141518,2.219468,0.793
"1104","CACNG2","hurdle",2.38161338729169e-26,1.270043,4.980632,3.710589,0.793
"604","BAG4","hurdle",1.24539190418506e-18,7.288785,9.329088,2.040303,0.793
"157","ADRBK2","hurdle",5.06403658665522e-21,5.435473,7.535489,2.100016,0.793
"9","AAK1","hurdle",2.81074218357439e-19,6.550037,7.716923,1.166886,0.793
"6846","SNCB","hurdle",2.33983883070387e-28,-2.544321,3.125313,5.669634,0.792
"6205","RHBDD2","hurdle",5.14652639220961e-19,5.043088,7.232785,2.189697,0.792
"4274","LRRC7","hurdle",2.47964198535056e-19,4.327725,6.731666,2.403941,0.792
"3518","KIAA1456","hurdle",1.42347465091681e-23,4.832693,6.943597,2.110904,0.792
"3377","KALRN","hurdle",3.9416042467881e-20,5.411461,7.19953,1.788069,0.792
"7310","TBC1D24","hurdle",1.94906381123343e-20,6.477038,8.396837,1.919799,0.791
"5855","PRKAA2","hurdle",1.96719702656025e-20,3.92205,7.000525,3.078475,0.791
"5720","PNMAL1","hurdle",6.92186482370621e-20,5.614977,7.810454,2.195477,0.791
"5488","PDE2A","hurdle",1.34880247703362e-24,0.228269,6.051734,5.823465,0.791
"1115","CALB2","hurdle",2.53875242830763e-23,2.933376,7.438766,4.50539,0.791
"1102","CACNB4","hurdle",5.40413883397481e-21,4.848387,6.616855,1.768468,0.791
"377","ARF3","hurdle",2.75516181273983e-20,3.933131,6.799576,2.866445,0.791
"1821","DDX24","hurdle",5.09625785120545e-18,6.693704,8.111558,1.417854,0.79
"1596","CORO6","hurdle",3.78796838704401e-24,-0.2289651,4.2491442,4.4781093,0.79
"1541","CNTN4","hurdle",2.80709409165526e-25,1.829665,6.968873,5.139208,0.79
"407","ARHGEF3","hurdle",1.97901135892262e-22,4.187718,6.645518,2.4578,0.79
"6107","RASAL2","hurdle",1.73546883063573e-19,5.412122,7.14307,1.730948,0.789
"3549","KIF5A","hurdle",4.53213371324226e-22,2.128533,5.618772,3.490239,0.789
"1371","CELF5","hurdle",3.62524128107341e-23,0.9639545,4.0567556,3.0928011,0.789
"7233","SVOP","hurdle",5.46806411135981e-28,-1.19211,5.391557,6.583667,0.788
"6298","RPH3A","hurdle",6.131823984023e-25,2.028753,6.73322,4.704467,0.788
"3983","LOC147670","hurdle",3.81206160486566e-22,4.039503,7.047153,3.00765,0.788
"2470","FBXW7","hurdle",6.95752217342627e-19,6.275205,8.291113,2.015908,0.788
"1911","DLX1","hurdle",1.35612426141485e-23,1.595541,5.697281,4.10174,0.788
"348","AP3B2","hurdle",1.96501026872648e-20,2.660102,5.617427,2.957325,0.788
"204","AKAP6","hurdle",6.92113082186943e-19,5.98712,7.520752,1.533632,0.788
"8234","ZNF204P","hurdle",7.92245304657455e-27,0.7522481,6.987392,6.2351439,0.787
"6542","SEPT3","hurdle",2.07613835390395e-18,5.260788,7.31462,2.053832,0.787
"6433","SAMD12","hurdle",3.1502064409906e-19,4.968749,6.660728,1.691979,0.787
"6110","RASGRF1","hurdle",2.65136149709691e-23,2.429138,5.491633,3.062495,0.787
"3552","KIFAP3","hurdle",1.03576908336176e-20,6.694247,8.010079,1.315832,0.787
"6066","RABGAP1L","hurdle",1.81382552929712e-19,6.346473,8.142598,1.796125,0.786
"5268","OLA1","hurdle",2.89762350988019e-20,4.672205,6.380218,1.708013,0.786
"7486","TMEM14A","hurdle",8.03300150766173e-18,4.909511,6.842624,1.933113,0.785
"5325","OSBPL8","hurdle",1.69224368844035e-17,5.745035,7.537506,1.792471,0.785
"5126","NPIP","hurdle",3.18534066507985e-20,1.226669,2.78212,1.555451,0.785
"5007","NEFL","hurdle",7.8719656899054e-26,1.617079,7.186661,5.569582,0.785
"2608","FRY","hurdle",2.2078156018768e-19,5.203974,6.899816,1.695842,0.785
"5378","PAM","hurdle",5.13124109070293e-20,4.920689,7.525721,2.605032,0.784
"4923","NAP1L2","hurdle",3.14990415236407e-21,4.823127,7.178625,2.355498,0.784
"4054","LOC285878","hurdle",1.76689159603089e-21,1.871229,6.436232,4.565003,0.784
"3077","HIVEP3","hurdle",1.36873909101253e-20,2.772681,5.211268,2.438587,0.784
"1653","CRMP1","hurdle",1.31064081259939e-18,4.677706,6.80451,2.126804,0.784
"794","C14orf2","hurdle",1.03949849684639e-17,5.312624,6.764755,1.452131,0.784
"7782","TTC39C","hurdle",2.72356743062184e-21,4.23525,7.102775,2.867525,0.783
"7691","TRIM37","hurdle",1.51169669046952e-17,4.638375,6.78397,2.145595,0.783
"7412","THRB","hurdle",1.64214567346933e-18,3.973051,6.942613,2.969562,0.783
"6165","REEP5","hurdle",1.16851560903035e-16,7.21674,9.080077,1.863337,0.783
"5506","PDS5B","hurdle",9.32712659350877e-16,7.281036,8.905975,1.624939,0.783
"5017","NELL2","hurdle",1.84968641384544e-23,3.782654,7.284209,3.501555,0.783
